step,train_mean_member_bce,valid_pooled_hits50,valid_pooled_bce,train_seconds,validation_seconds,elapsed_seconds,selected_so_far
20,0.3625578209757805,0.02095399773650223,0.4267466962337494,0.2708694785833359,0.1172156073153019,6.862683476880193,1
40,0.20864548534154892,0.13662539111909994,0.3773006498813629,0.2699042148888111,0.1153636984527111,13.69873079098761,1
60,0.1393057219684124,0.3237467545436389,0.3259187936782837,0.27096140943467617,0.11665479280054569,20.546493623405695,1
80,0.10689075663685799,0.34802942547100724,0.3195284605026245,0.2707782369107008,0.11573410406708717,27.40962147526443,1
100,0.08750908821821213,0.40499966713268093,0.3190135955810547,0.270356148481369,0.11481762304902077,34.23820436000824,1
120,0.07554811052978039,0.4428966114106917,0.32529252767562866,0.27044192887842655,0.11569750122725964,41.09227637574077,1
140,0.06773290783166885,0.46375074895146795,0.33384695649147034,0.27050883136689663,0.11544076725840569,47.95100040733814,1
160,0.0622045062482357,0.483739431462619,0.3189431428909302,0.2708843592554331,0.11662153527140617,54.80205239355564,1
180,0.057264143601059914,0.4765162106384395,0.32498180866241455,0.2702596038579941,0.11593005433678627,61.61519023962319,0
200,0.05243915505707264,0.4846048864922442,0.32945531606674194,0.2703136336058378,0.11556742712855339,68.45925416052341,1
220,0.04874243214726448,0.4986518873576992,0.3419909179210663,0.27097531221807003,0.11565857566893101,75.31510609202087,1
240,0.04481090512126684,0.5131981892017842,0.34828898310661316,0.26959347538650036,0.11506731249392033,82.16664559580386,1
260,0.04418347682803869,0.51429665135477,0.3516145348548889,0.2706033084541559,0.11661625653505325,89.01173815689981,1
280,0.04178392607718706,0.5265628120631116,0.37002041935920715,0.2706150971353054,0.11579032614827156,95.8608208540827,1
300,0.04147599916905165,0.5392117701884029,0.3812832832336426,0.2705478798598051,0.11593148298561573,102.69354222342372,1
320,0.03808556031435728,0.5353837960189068,0.3761981427669525,0.2704167515039444,0.11543936468660831,109.54237030074,0
340,0.036500321701169014,0.5368650555888422,0.38263803720474243,0.2699601911008358,0.11547941528260708,116.37215833552182,0
360,0.035829056054353714,0.5456361094467745,0.40327680110931396,0.270623279735446,0.11687484756112099,123.21696021594107,1
380,0.03406488709151745,0.538862259503362,0.39688634872436523,0.26993302069604397,0.11585929431021214,130.05935390479863,0
400,0.033255020156502724,0.5419579255708674,0.4102137088775635,0.27161236852407455,0.1162830013781786,136.90333378501236,0
