dataset,backbone,variant,split,selected_depth,val_metric,test_metric,metric_name,source
roman-empire,GT-sep,BASE,1,5,0.8845542669296265,0.8785739541053772,acc,results2/roman_empire/base.csv
roman-empire,GT-sep,BASE,2,5,0.8753750920295715,0.8768090009689331,acc,results2/roman_empire/base.csv
roman-empire,GT-sep,BASE,3,5,0.8787290453910828,0.8755735754966736,acc,results2/roman_empire/base.csv
roman-empire,GT-sep,BASE,4,5,0.880494236946106,0.8782209157943726,acc,results2/roman_empire/base.csv
roman-empire,GT-sep,BASE,5,5,0.8743159770965576,0.8819272518157959,acc,results2/roman_empire/base.csv
roman-empire,GT-sep,BASE,6,5,0.8695498704910278,0.8757500648498535,acc,results2/roman_empire/base.csv
roman-empire,GT-sep,BASE,7,5,0.8759046792984009,0.8644546270370483,acc,results2/roman_empire/base.csv
roman-empire,GT-sep,BASE,8,5,0.8764342069625854,0.8693963885307312,acc,results2/roman_empire/base.csv
roman-empire,GT-sep,BASE,9,5,0.8815533518791199,0.8715142607688904,acc,results2/roman_empire/base.csv
roman-empire,ResNet,BASE,0,3,0.655781090259552,0.656194806098938,acc,results2/roman_empire/base.csv
roman-empire,ResNet,BASE,1,1,0.6647837162017822,0.6643134355545044,acc,results2/roman_empire/base.csv
roman-empire,ResNet,BASE,2,2,0.6552515029907227,0.6574302911758423,acc,results2/roman_empire/base.csv
roman-empire,ResNet,BASE,3,5,0.655781090259552,0.6613130569458008,acc,results2/roman_empire/base.csv
roman-empire,ResNet,BASE,4,5,0.6593115329742432,0.6567242741584778,acc,results2/roman_empire/base.csv
roman-empire,ResNet,BASE,5,5,0.6586054563522339,0.6623720526695251,acc,results2/roman_empire/base.csv
roman-empire,ResNet,BASE,6,2,0.6573697924613953,0.6560183167457581,acc,results2/roman_empire/base.csv
roman-empire,ResNet,BASE,7,2,0.6526036858558655,0.6614895462989807,acc,results2/roman_empire/base.csv
roman-empire,ResNet,BASE,8,4,0.65754634141922,0.6590186953544617,acc,results2/roman_empire/base.csv
roman-empire,ResNet,BASE,9,3,0.6619594097137451,0.6528415083885193,acc,results2/roman_empire/base.csv
roman-empire,TAG,BASE,0,5,0.8792585730552673,0.8709847927093506,acc,results2/roman_empire/base.csv
roman-empire,TAG,BASE,1,4,0.8766107559204102,0.8736321926116943,acc,results2/roman_empire/base.csv
roman-empire,TAG,BASE,2,5,0.870432436466217,0.8732791543006897,acc,results2/roman_empire/base.csv
roman-empire,TAG,BASE,3,5,0.8808472752571106,0.8709847927093506,acc,results2/roman_empire/base.csv
roman-empire,TAG,BASE,4,5,0.8838481903076172,0.8743381500244141,acc,results2/roman_empire/base.csv
roman-empire,TAG,BASE,5,5,0.8748455047607422,0.8854570984840393,acc,results2/roman_empire/base.csv
roman-empire,TAG,BASE,6,5,0.8746690154075623,0.8778679370880127,acc,results2/roman_empire/base.csv
roman-empire,TAG,BASE,7,5,0.8729037642478943,0.8761030435562134,acc,results2/roman_empire/base.csv
roman-empire,TAG,BASE,8,5,0.8691967725753784,0.8639251589775085,acc,results2/roman_empire/base.csv
roman-empire,TAG,BASE,9,4,0.8799646496772766,0.8755735754966736,acc,results2/roman_empire/base.csv
