dataset,backbone,variant,metric_name,n_splits,mean_percent,population_sd_percent
questions,GAT-sep,GNNM,roc_auc,10,79.09944494342072,0.9234375532082842
questions,GT,BASE,roc_auc,10,77.78199714159715,0.750438055653028
questions,GT,ENS,roc_auc,10,78.17824035058149,0.8553547674868495
questions,GT,GNNM,roc_auc,10,78.65867714593786,0.937873693121832
questions,GT-sep,BASE,roc_auc,10,77.2659826971963,0.7231399749985745
questions,GT-sep,ENS,roc_auc,10,77.83177329494421,0.8518024439089613
questions,GT-sep,GNNM,roc_auc,10,78.62274046487143,0.7380939138994778
questions,ResNet,BASE,roc_auc,10,70.51983103560536,0.6655818459752535
questions,ResNet,ENS,roc_auc,10,70.82891950986935,0.7779105920301608
questions,ResNet,GNNM,roc_auc,10,71.52069340512435,0.8562482470400142
questions,TAG,BASE,roc_auc,10,78.32075874664346,1.1637646241991138
questions,TAG,ENS,roc_auc,10,78.61341025007562,1.1174311975287876
questions,TAG,GNNM,roc_auc,10,79.14728624895811,0.9275883404817834
tolokers,GCN,BASE,roc_auc,10,84.10278204804935,0.9859544836167325
tolokers,GCN,ENS,roc_auc,10,84.10616437427643,0.8106052430614544
tolokers,GCN,GNNM,roc_auc,10,83.31061955540372,0.6521770500089201
tolokers,SAGE,BASE,roc_auc,10,82.96581884830098,0.4088065103095442
tolokers,SAGE,ENS,roc_auc,10,83.0408739551391,0.4042101142992729
tolokers,SAGE,GNNM,roc_auc,10,83.4699074638925,0.4593104171516391
tolokers,GAT,BASE,roc_auc,10,84.01572273329917,0.5774593214831852
tolokers,GAT,ENS,roc_auc,10,84.5272470440231,0.5774814480309959
tolokers,GAT,GNNM,roc_auc,10,83.9702341735601,0.7469871909735797
tolokers,GAT-sep,BASE,roc_auc,10,84.03798237123438,0.532471898820541
tolokers,GAT-sep,ENS,roc_auc,10,84.35394857779622,0.5381177584051808
tolokers,GAT-sep,GNNM,roc_auc,10,84.83183941609799,0.6548777783120049
tolokers,GT,BASE,roc_auc,10,82.92170626496288,0.700453129833407
tolokers,GT,ENS,roc_auc,10,83.79961309983759,0.5889148745261538
tolokers,GT,GNNM,roc_auc,10,84.19321013260887,0.6309412650075423
tolokers,GT-sep,BASE,roc_auc,10,83.01538788978091,0.8131148147908683
tolokers,GT-sep,ENS,roc_auc,10,83.79498019407366,0.858032569377862
tolokers,GT-sep,GNNM,roc_auc,10,84.42119857711839,0.7949273984183245
tolokers,ResNet,BASE,roc_auc,10,72.91083401793243,1.1248111616917755
tolokers,ResNet,ENS,roc_auc,10,73.24850404930199,1.0244741735054324
tolokers,ResNet,GNNM,roc_auc,10,73.79906406491898,1.0392540575858296
tolokers,TAG,BASE,roc_auc,10,84.81466682392112,0.8053680572922893
tolokers,TAG,ENS,roc_auc,10,84.80600766208731,0.7129712224641067
tolokers,TAG,GNNM,roc_auc,10,85.04171987560632,0.7594333643205706
