dataset,comparison,n_backbones,n_official_masks,mean_paired_delta_pp,minimum_mask_delta_pp,maximum_mask_delta_pp,mask_wins
roman-empire,GNNM-ENS,8,10,1.122264713048935,0.346364825963974,1.4670856297016144,10
amazon-ratings,GNNM-ENS,8,10,0.0883958488702774,-0.3327615559101105,0.3715507686138153,7
minesweeper,GNNM-ENS,8,10,-0.33918875000000054,-0.7046375000000028,-0.10934999999999417,0
questions,GNNM-ENS,8,10,1.010055349808016,0.23400287225617683,1.7952423639314832,10
tolokers,GNNM-ENS,8,10,0.1700567878339279,-0.17620801238514283,0.5745379295011996,7
