Loading data...

============================================================
amazon-ratings ResNet 1L h=512 lr=3e-05 split=8 (ensemble x4)
============================================================

  Training model seed 0 (seed=8000)
  [mseed=8000] Step    1 | loss 1.6975 | val_acc=0.3377 val_loss=1.6055 val_f1_macro=0.1338 val_f1_weighted=0.2192 val_prec_macro=0.2412 val_rec_macro=0.1966 val_metric_name=acc val_metric=0.3377
  [mseed=8000] Step   50 | loss 1.4235 | val_acc=0.3766 val_loss=1.4057 val_f1_macro=0.1743 val_f1_weighted=0.2837 val_prec_macro=0.2247 val_rec_macro=0.2219 val_metric_name=acc val_metric=0.3766
  [mseed=8000] Step  100 | loss 1.3966 | val_acc=0.3882 val_loss=1.3996 val_f1_macro=0.1941 val_f1_weighted=0.3082 val_prec_macro=0.4262 val_rec_macro=0.2359 val_metric_name=acc val_metric=0.3882
  [mseed=8000] Step  150 | loss 1.3783 | val_acc=0.3907 val_loss=1.3973 val_f1_macro=0.2026 val_f1_weighted=0.3181 val_prec_macro=0.4218 val_rec_macro=0.2412 val_metric_name=acc val_metric=0.3907
  [mseed=8000] Step  200 | loss 1.3637 | val_acc=0.3866 val_loss=1.3985 val_f1_macro=0.2070 val_f1_weighted=0.3220 val_prec_macro=0.2664 val_rec_macro=0.2420 val_metric_name=acc val_metric=0.3866
  [mseed=8000] Step  250 | loss 1.3512 | val_acc=0.3884 val_loss=1.4019 val_f1_macro=0.2172 val_f1_weighted=0.3313 val_prec_macro=0.2731 val_rec_macro=0.2474 val_metric_name=acc val_metric=0.3884
  [mseed=8000] Step  300 | loss 1.3316 | val_acc=0.3885 val_loss=1.4062 val_f1_macro=0.2235 val_f1_weighted=0.3360 val_prec_macro=0.2732 val_rec_macro=0.2513 val_metric_name=acc val_metric=0.3885
  [mseed=8000] Step  350 | loss 1.3160 | val_acc=0.3933 val_loss=1.4112 val_f1_macro=0.2335 val_f1_weighted=0.3447 val_prec_macro=0.2897 val_rec_macro=0.2579 val_metric_name=acc val_metric=0.3933
  [mseed=8000] Step  400 | loss 1.2896 | val_acc=0.3949 val_loss=1.4176 val_f1_macro=0.2414 val_f1_weighted=0.3510 val_prec_macro=0.3008 val_rec_macro=0.2631 val_metric_name=acc val_metric=0.3949
  [mseed=8000] Step  450 | loss 1.2630 | val_acc=0.4008 val_loss=1.4243 val_f1_macro=0.2564 val_f1_weighted=0.3623 val_prec_macro=0.3339 val_rec_macro=0.2726 val_metric_name=acc val_metric=0.4008
  [mseed=8000] Step  500 | loss 1.2256 | val_acc=0.4078 val_loss=1.4344 val_f1_macro=0.2722 val_f1_weighted=0.3747 val_prec_macro=0.3439 val_rec_macro=0.2833 val_metric_name=acc val_metric=0.4078
  [mseed=8000] Step  550 | loss 1.1763 | val_acc=0.4089 val_loss=1.4457 val_f1_macro=0.2826 val_f1_weighted=0.3824 val_prec_macro=0.3407 val_rec_macro=0.2885 val_metric_name=acc val_metric=0.4089
  [mseed=8000] Step  600 | loss 1.1157 | val_acc=0.4158 val_loss=1.4646 val_f1_macro=0.2991 val_f1_weighted=0.3932 val_prec_macro=0.3602 val_rec_macro=0.2996 val_metric_name=acc val_metric=0.4158
  [mseed=8000] Step  650 | loss 1.0658 | val_acc=0.4199 val_loss=1.4961 val_f1_macro=0.3106 val_f1_weighted=0.4008 val_prec_macro=0.3645 val_rec_macro=0.3081 val_metric_name=acc val_metric=0.4199
  [mseed=8000] Step  700 | loss 0.9981 | val_acc=0.4250 val_loss=1.5318 val_f1_macro=0.3265 val_f1_weighted=0.4097 val_prec_macro=0.3772 val_rec_macro=0.3201 val_metric_name=acc val_metric=0.4250
  [mseed=8000] Step  750 | loss 0.9425 | val_acc=0.4318 val_loss=1.5773 val_f1_macro=0.3437 val_f1_weighted=0.4195 val_prec_macro=0.3923 val_rec_macro=0.3339 val_metric_name=acc val_metric=0.4318
  [mseed=8000] Step  800 | loss 0.8781 | val_acc=0.4380 val_loss=1.6278 val_f1_macro=0.3547 val_f1_weighted=0.4266 val_prec_macro=0.4016 val_rec_macro=0.3431 val_metric_name=acc val_metric=0.4380
  [mseed=8000] Step  850 | loss 0.8165 | val_acc=0.4424 val_loss=1.6863 val_f1_macro=0.3635 val_f1_weighted=0.4322 val_prec_macro=0.4070 val_rec_macro=0.3510 val_metric_name=acc val_metric=0.4424
  [mseed=8000] Step  900 | loss 0.7656 | val_acc=0.4473 val_loss=1.7518 val_f1_macro=0.3727 val_f1_weighted=0.4384 val_prec_macro=0.4123 val_rec_macro=0.3598 val_metric_name=acc val_metric=0.4473
  [mseed=8000] Step  950 | loss 0.7174 | val_acc=0.4522 val_loss=1.8189 val_f1_macro=0.3818 val_f1_weighted=0.4446 val_prec_macro=0.4144 val_rec_macro=0.3691 val_metric_name=acc val_metric=0.4522
  [mseed=8000] Step 1000 | loss 0.6667 | val_acc=0.4516 val_loss=1.8960 val_f1_macro=0.3874 val_f1_weighted=0.4450 val_prec_macro=0.4197 val_rec_macro=0.3742 val_metric_name=acc val_metric=0.4516
  [mseed=8000] Step 1050 | loss 0.6171 | val_acc=0.4560 val_loss=1.9765 val_f1_macro=0.3909 val_f1_weighted=0.4493 val_prec_macro=0.4208 val_rec_macro=0.3780 val_metric_name=acc val_metric=0.4560
  [mseed=8000] Step 1100 | loss 0.5686 | val_acc=0.4573 val_loss=2.0514 val_f1_macro=0.3944 val_f1_weighted=0.4513 val_prec_macro=0.4239 val_rec_macro=0.3813 val_metric_name=acc val_metric=0.4573
  [mseed=8000] Step 1150 | loss 0.5398 | val_acc=0.4583 val_loss=2.1313 val_f1_macro=0.3938 val_f1_weighted=0.4523 val_prec_macro=0.4188 val_rec_macro=0.3820 val_metric_name=acc val_metric=0.4583
  [mseed=8000] Step 1200 | loss 0.5073 | val_acc=0.4573 val_loss=2.2053 val_f1_macro=0.3947 val_f1_weighted=0.4520 val_prec_macro=0.4174 val_rec_macro=0.3838 val_metric_name=acc val_metric=0.4573
  [mseed=8000] Step 1250 | loss 0.4668 | val_acc=0.4591 val_loss=2.2794 val_f1_macro=0.3977 val_f1_weighted=0.4546 val_prec_macro=0.4172 val_rec_macro=0.3876 val_metric_name=acc val_metric=0.4591
  [mseed=8000] Step 1300 | loss 0.4338 | val_acc=0.4602 val_loss=2.3500 val_f1_macro=0.4000 val_f1_weighted=0.4558 val_prec_macro=0.4195 val_rec_macro=0.3896 val_metric_name=acc val_metric=0.4602
  [mseed=8000] Step 1350 | loss 0.4054 | val_acc=0.4596 val_loss=2.4210 val_f1_macro=0.3996 val_f1_weighted=0.4553 val_prec_macro=0.4182 val_rec_macro=0.3896 val_metric_name=acc val_metric=0.4596
  [mseed=8000] Step 1400 | loss 0.3912 | val_acc=0.4602 val_loss=2.4966 val_f1_macro=0.4014 val_f1_weighted=0.4561 val_prec_macro=0.4213 val_rec_macro=0.3909 val_metric_name=acc val_metric=0.4602
  [mseed=8000] Step 1450 | loss 0.3522 | val_acc=0.4627 val_loss=2.5637 val_f1_macro=0.4023 val_f1_weighted=0.4589 val_prec_macro=0.4185 val_rec_macro=0.3931 val_metric_name=acc val_metric=0.4627
  [mseed=8000] Step 1500 | loss 0.3527 | val_acc=0.4642 val_loss=2.6323 val_f1_macro=0.4036 val_f1_weighted=0.4601 val_prec_macro=0.4204 val_rec_macro=0.3941 val_metric_name=acc val_metric=0.4642
  [mseed=8000] Step 1550 | loss 0.3332 | val_acc=0.4624 val_loss=2.6938 val_f1_macro=0.4016 val_f1_weighted=0.4584 val_prec_macro=0.4189 val_rec_macro=0.3918 val_metric_name=acc val_metric=0.4624
  [mseed=8000] Step 1600 | loss 0.3074 | val_acc=0.4659 val_loss=2.7468 val_f1_macro=0.4053 val_f1_weighted=0.4621 val_prec_macro=0.4215 val_rec_macro=0.3958 val_metric_name=acc val_metric=0.4659
  [mseed=8000] Step 1650 | loss 0.2959 | val_acc=0.4650 val_loss=2.8041 val_f1_macro=0.4045 val_f1_weighted=0.4611 val_prec_macro=0.4219 val_rec_macro=0.3945 val_metric_name=acc val_metric=0.4650
  [mseed=8000] Step 1700 | loss 0.2797 | val_acc=0.4648 val_loss=2.8621 val_f1_macro=0.4040 val_f1_weighted=0.4613 val_prec_macro=0.4191 val_rec_macro=0.3949 val_metric_name=acc val_metric=0.4648
  [mseed=8000] Step 1750 | loss 0.2747 | val_acc=0.4640 val_loss=2.9151 val_f1_macro=0.4054 val_f1_weighted=0.4608 val_prec_macro=0.4189 val_rec_macro=0.3972 val_metric_name=acc val_metric=0.4640
  [mseed=8000] Step 1800 | loss 0.2549 | val_acc=0.4640 val_loss=2.9689 val_f1_macro=0.4045 val_f1_weighted=0.4605 val_prec_macro=0.4194 val_rec_macro=0.3955 val_metric_name=acc val_metric=0.4640
  [mseed=8000] Step 1850 | loss 0.2487 | val_acc=0.4635 val_loss=3.0109 val_f1_macro=0.4032 val_f1_weighted=0.4600 val_prec_macro=0.4180 val_rec_macro=0.3941 val_metric_name=acc val_metric=0.4635
  [mseed=8000] Step 1900 | loss 0.2391 | val_acc=0.4625 val_loss=3.0702 val_f1_macro=0.4035 val_f1_weighted=0.4590 val_prec_macro=0.4188 val_rec_macro=0.3943 val_metric_name=acc val_metric=0.4625
