Loading data...

============================================================
minesweeper TAG 1L h=256 lr=3e-05 split=4 (ensemble x4)
============================================================

  Training model seed 0 (seed=4000)
Training for 5000 steps
  [mseed=4000] Step    1 | loss 0.6216 | val_acc=0.8000 val_roc_auc=0.4687 val_loss=0.5542 val_metric_name=roc_auc val_metric=0.4687
  [mseed=4000] Step   50 | loss 0.4734 | val_acc=0.8000 val_roc_auc=0.7321 val_loss=0.4805 val_metric_name=roc_auc val_metric=0.7321
  [mseed=4000] Step  100 | loss 0.4233 | val_acc=0.8016 val_roc_auc=0.7847 val_loss=0.4291 val_metric_name=roc_auc val_metric=0.7847
  [mseed=4000] Step  150 | loss 0.3939 | val_acc=0.8168 val_roc_auc=0.8247 val_loss=0.3981 val_metric_name=roc_auc val_metric=0.8247
  [mseed=4000] Step  200 | loss 0.3708 | val_acc=0.8320 val_roc_auc=0.8517 val_loss=0.3676 val_metric_name=roc_auc val_metric=0.8517
  [mseed=4000] Step  250 | loss 0.3588 | val_acc=0.8372 val_roc_auc=0.8684 val_loss=0.3498 val_metric_name=roc_auc val_metric=0.8684
  [mseed=4000] Step  300 | loss 0.3400 | val_acc=0.8480 val_roc_auc=0.8811 val_loss=0.3306 val_metric_name=roc_auc val_metric=0.8811
  [mseed=4000] Step  350 | loss 0.3294 | val_acc=0.8536 val_roc_auc=0.8881 val_loss=0.3213 val_metric_name=roc_auc val_metric=0.8881
  [mseed=4000] Step  400 | loss 0.3219 | val_acc=0.8560 val_roc_auc=0.8926 val_loss=0.3186 val_metric_name=roc_auc val_metric=0.8926
  [mseed=4000] Step  450 | loss 0.3156 | val_acc=0.8592 val_roc_auc=0.8958 val_loss=0.3133 val_metric_name=roc_auc val_metric=0.8958
  [mseed=4000] Step  500 | loss 0.3093 | val_acc=0.8576 val_roc_auc=0.8976 val_loss=0.3139 val_metric_name=roc_auc val_metric=0.8976
  [mseed=4000] Step  550 | loss 0.3049 | val_acc=0.8608 val_roc_auc=0.8992 val_loss=0.3079 val_metric_name=roc_auc val_metric=0.8992
  [mseed=4000] Step  600 | loss 0.3048 | val_acc=0.8576 val_roc_auc=0.8994 val_loss=0.3093 val_metric_name=roc_auc val_metric=0.8994
  [mseed=4000] Step  650 | loss 0.3029 | val_acc=0.8580 val_roc_auc=0.9008 val_loss=0.3065 val_metric_name=roc_auc val_metric=0.9008
  [mseed=4000] Step  700 | loss 0.2985 | val_acc=0.8572 val_roc_auc=0.9013 val_loss=0.3048 val_metric_name=roc_auc val_metric=0.9013
  [mseed=4000] Step  750 | loss 0.2977 | val_acc=0.8556 val_roc_auc=0.9017 val_loss=0.3071 val_metric_name=roc_auc val_metric=0.9017
  [mseed=4000] Step  800 | loss 0.2988 | val_acc=0.8580 val_roc_auc=0.9024 val_loss=0.3048 val_metric_name=roc_auc val_metric=0.9024
  [mseed=4000] Step  850 | loss 0.2978 | val_acc=0.8564 val_roc_auc=0.9023 val_loss=0.3058 val_metric_name=roc_auc val_metric=0.9023
  [mseed=4000] Step  900 | loss 0.2982 | val_acc=0.8568 val_roc_auc=0.9031 val_loss=0.3042 val_metric_name=roc_auc val_metric=0.9031
  [mseed=4000] Step  950 | loss 0.2950 | val_acc=0.8552 val_roc_auc=0.9031 val_loss=0.3051 val_metric_name=roc_auc val_metric=0.9031
  [mseed=4000] Step 1000 | loss 0.2939 | val_acc=0.8568 val_roc_auc=0.9038 val_loss=0.3042 val_metric_name=roc_auc val_metric=0.9038
  [mseed=4000] Step 1050 | loss 0.2927 | val_acc=0.8560 val_roc_auc=0.9036 val_loss=0.3039 val_metric_name=roc_auc val_metric=0.9036
  [mseed=4000] Step 1100 | loss 0.2905 | val_acc=0.8572 val_roc_auc=0.9040 val_loss=0.3027 val_metric_name=roc_auc val_metric=0.9040
  [mseed=4000] Step 1150 | loss 0.2892 | val_acc=0.8572 val_roc_auc=0.9045 val_loss=0.3036 val_metric_name=roc_auc val_metric=0.9045
  [mseed=4000] Step 1200 | loss 0.2885 | val_acc=0.8584 val_roc_auc=0.9046 val_loss=0.3018 val_metric_name=roc_auc val_metric=0.9046
  [mseed=4000] Step 1250 | loss 0.2862 | val_acc=0.8600 val_roc_auc=0.9046 val_loss=0.3008 val_metric_name=roc_auc val_metric=0.9046
  [mseed=4000] Step 1300 | loss 0.2868 | val_acc=0.8568 val_roc_auc=0.9047 val_loss=0.3026 val_metric_name=roc_auc val_metric=0.9047
  [mseed=4000] Step 1350 | loss 0.2834 | val_acc=0.8620 val_roc_auc=0.9048 val_loss=0.3011 val_metric_name=roc_auc val_metric=0.9048
  [mseed=4000] Step 1400 | loss 0.2867 | val_acc=0.8580 val_roc_auc=0.9047 val_loss=0.3021 val_metric_name=roc_auc val_metric=0.9047
  [mseed=4000] Step 1450 | loss 0.2874 | val_acc=0.8592 val_roc_auc=0.9054 val_loss=0.3003 val_metric_name=roc_auc val_metric=0.9054
  [mseed=4000] Step 1500 | loss 0.2851 | val_acc=0.8600 val_roc_auc=0.9055 val_loss=0.2990 val_metric_name=roc_auc val_metric=0.9055
  [mseed=4000] Step 1550 | loss 0.2843 | val_acc=0.8596 val_roc_auc=0.9060 val_loss=0.2986 val_metric_name=roc_auc val_metric=0.9060
  [mseed=4000] Step 1600 | loss 0.2875 | val_acc=0.8596 val_roc_auc=0.9059 val_loss=0.2996 val_metric_name=roc_auc val_metric=0.9059
  [mseed=4000] Step 1650 | loss 0.2856 | val_acc=0.8596 val_roc_auc=0.9058 val_loss=0.2997 val_metric_name=roc_auc val_metric=0.9058
  [mseed=4000] Step 1700 | loss 0.2825 | val_acc=0.8608 val_roc_auc=0.9060 val_loss=0.2990 val_metric_name=roc_auc val_metric=0.9060
  [mseed=4000] Step 1750 | loss 0.2861 | val_acc=0.8588 val_roc_auc=0.9054 val_loss=0.3016 val_metric_name=roc_auc val_metric=0.9054
  [mseed=4000] Step 1800 | loss 0.2826 | val_acc=0.8600 val_roc_auc=0.9059 val_loss=0.3001 val_metric_name=roc_auc val_metric=0.9059
