split,gnnm_test_acc_percent,ens_512_test_acc_percent,ens_matched_test_acc_percent,ens_512_minus_gnnm_pp,ens_matched_minus_gnnm_pp,gnnm_validation_acc_percent,ens_512_validation_acc_percent,ens_matched_validation_acc_percent,gnnm_train_seconds,ens_512_train_seconds,ens_matched_train_seconds,gnnm_selected_step,ens_512_selected_step,ens_matched_selected_step
0,89.23402428627014,87.16907501220703,87.87504434585571,-2.0649492740631104,-1.3589799404144287,89.26742672920227,87.59046792984009,88.52603435516357,858.8759269788861,1155.2561004757881,685.2543363645673,2260,3160,4950
1,89.93998765945435,87.92799115180969,88.84574174880981,-2.0119965076446533,-1.0942459106445312,89.28508162498474,88.36716413497925,89.30273652076721,816.8120922595263,1057.2824293747544,654.944997228682,2140,2870,4490
2,89.71055150032043,87.38086819648743,88.1750762462616,-2.329683303833008,-1.535475254058838,89.2321228981018,87.18446493148804,87.66107559204102,1304.3536764159799,1394.1071652397513,681.476377941668,3600,3880,4690
3,89.46346640586853,87.64560222625732,88.22802305221558,-1.817864179611206,-1.235443353652954,89.93821740150452,87.83759474754333,88.72020840644836,959.417138889432,1251.200066447258,612.8969397768378,2560,3460,4140
4,89.16342854499817,87.4514639377594,87.59265542030334,-1.7119646072387695,-1.5707731246948242,89.72638845443726,87.71403431892395,87.71403431892395,978.8451429530978,1171.6036229357123,450.8117713034153,2620,3220,2970
