Loading data...

============================================================
Training amazon-ratings GAT 4L h=256 lr=3e-05 split=0
============================================================
Training for 5000 steps
Step    1 | loss 1.7677 | val_acc=0.2551 val_loss=1.5902 val_f1_macro=0.2029 val_f1_weighted=0.2631 val_prec_macro=0.2114 val_rec_macro=0.2125 val_metric_name=acc val_metric=0.2551
Step   50 | loss 1.4245 | val_acc=0.3866 val_loss=1.3938 val_f1_macro=0.1724 val_f1_weighted=0.2838 val_prec_macro=0.1549 val_rec_macro=0.2261 val_metric_name=acc val_metric=0.3866
Step  100 | loss 1.3777 | val_acc=0.4075 val_loss=1.3668 val_f1_macro=0.1977 val_f1_weighted=0.3159 val_prec_macro=0.2099 val_rec_macro=0.2502 val_metric_name=acc val_metric=0.4075
Step  150 | loss 1.3502 | val_acc=0.4176 val_loss=1.3446 val_f1_macro=0.2197 val_f1_weighted=0.3395 val_prec_macro=0.2812 val_rec_macro=0.2636 val_metric_name=acc val_metric=0.4176
Step  200 | loss 1.3249 | val_acc=0.4236 val_loss=1.3298 val_f1_macro=0.2436 val_f1_weighted=0.3621 val_prec_macro=0.3057 val_rec_macro=0.2749 val_metric_name=acc val_metric=0.4236
Step  250 | loss 1.3023 | val_acc=0.4235 val_loss=1.3193 val_f1_macro=0.2676 val_f1_weighted=0.3756 val_prec_macro=0.3971 val_rec_macro=0.2856 val_metric_name=acc val_metric=0.4235
Step  300 | loss 1.2787 | val_acc=0.4323 val_loss=1.3121 val_f1_macro=0.2833 val_f1_weighted=0.3901 val_prec_macro=0.3842 val_rec_macro=0.2944 val_metric_name=acc val_metric=0.4323
Step  350 | loss 1.2501 | val_acc=0.4437 val_loss=1.3081 val_f1_macro=0.3095 val_f1_weighted=0.4130 val_prec_macro=0.3976 val_rec_macro=0.3124 val_metric_name=acc val_metric=0.4437
Step  400 | loss 1.2288 | val_acc=0.4516 val_loss=1.3075 val_f1_macro=0.3261 val_f1_weighted=0.4223 val_prec_macro=0.4177 val_rec_macro=0.3255 val_metric_name=acc val_metric=0.4516
Step  450 | loss 1.2123 | val_acc=0.4504 val_loss=1.3066 val_f1_macro=0.3437 val_f1_weighted=0.4307 val_prec_macro=0.4039 val_rec_macro=0.3372 val_metric_name=acc val_metric=0.4504
Step  500 | loss 1.1870 | val_acc=0.4565 val_loss=1.3130 val_f1_macro=0.3595 val_f1_weighted=0.4389 val_prec_macro=0.4085 val_rec_macro=0.3516 val_metric_name=acc val_metric=0.4565
Step  550 | loss 1.1681 | val_acc=0.4606 val_loss=1.3138 val_f1_macro=0.3743 val_f1_weighted=0.4470 val_prec_macro=0.4220 val_rec_macro=0.3625 val_metric_name=acc val_metric=0.4606
Step  600 | loss 1.1462 | val_acc=0.4584 val_loss=1.3227 val_f1_macro=0.3728 val_f1_weighted=0.4454 val_prec_macro=0.4201 val_rec_macro=0.3604 val_metric_name=acc val_metric=0.4584
Step  650 | loss 1.1288 | val_acc=0.4637 val_loss=1.3283 val_f1_macro=0.3811 val_f1_weighted=0.4511 val_prec_macro=0.4212 val_rec_macro=0.3691 val_metric_name=acc val_metric=0.4637
Step  700 | loss 1.1061 | val_acc=0.4620 val_loss=1.3372 val_f1_macro=0.3839 val_f1_weighted=0.4514 val_prec_macro=0.4166 val_rec_macro=0.3723 val_metric_name=acc val_metric=0.4620
Step  750 | loss 1.0886 | val_acc=0.4650 val_loss=1.3515 val_f1_macro=0.3872 val_f1_weighted=0.4545 val_prec_macro=0.4203 val_rec_macro=0.3774 val_metric_name=acc val_metric=0.4650
