dataset,arm,role,lr,weight_decay,mean_validation_accuracy,test_seed0,test_seed1,test_seed2,mean_test_accuracy,sd_test_accuracy_across_optimizer_seeds,parameter_count,selected_epoch_seed0,selected_epoch_seed1,selected_epoch_seed2,training_seconds_all_three_seeds,partial_family_selected
cora_raw,base,selected,0.001,0.01,0.7093333800633749,0.7140000462532043,0.7070000171661377,0.7140000462532043,0.7116667032241821,0.004041468677753141,349831,896,947,788,16.78105471096933,False
cora_raw,base,default,0.001,0.0,0.7093333800633749,0.7140000462532043,0.7070000171661377,0.7150000333786011,0.7120000322659811,0.004358911195669841,349831,913,961,780,17.367908908054233,False
cora_raw,ens,selected,0.0003,0.01,0.7253333727518717,0.7360000610351562,0.7400000095367432,0.7320000529289246,0.7360000411669413,0.0039999783039463095,1399324,529,927,565,61.76814104616642,False
cora_raw,ens,default,0.001,0.0,0.7160000403722128,0.7470000386238098,0.7290000319480896,0.7210000157356262,0.7323333621025085,0.013316666812130078,1399324,620,72,19,59.16237018816173,False
cora_raw,tied,selected,0.001,0.01,0.6740000247955322,0.6890000104904175,0.6480000019073486,0.6940000057220459,0.6770000060399374,0.025238862253411865,357020,95,477,813,68.49894492141902,False
cora_raw,tied,default,0.001,0.0,0.6726667086283366,0.6890000104904175,0.6480000019073486,0.6950000524520874,0.6773333549499512,0.02557995946882871,357020,95,477,833,67.30179582163692,False
cora_raw,private_first,selected,0.003,0.0,0.7353333632151285,0.7250000238418579,0.7380000352859497,0.7410000562667847,0.7346667051315308,0.008504914863680052,604700,847,967,864,68.54952252656221,True
cora_raw,private_first,default,0.001,0.0,0.7153333624204,0.7280000448226929,0.7300000190734863,0.7310000061988831,0.7296666900316874,0.0015275055653706019,604700,553,975,856,68.91592330113053,True
cora_raw,private_last,selected,0.003,0.01,0.7173333565394083,0.7360000610351562,0.7230000495910645,0.7160000205039978,0.7250000437100729,0.010148910664157323,604700,35,628,94,70.22241046838462,False
cora_raw,private_last,default,0.001,0.0,0.7126666903495789,0.7410000562667847,0.7110000252723694,0.734000027179718,0.7286667029062907,0.01569502232462943,604700,237,742,814,69.11596788279712,False
cora_raw,untied,selected,0.003,0.0,0.7293333808581034,0.7380000352859497,0.7450000643730164,0.7310000061988831,0.7380000352859497,0.00700002908706665,852380,304,784,576,71.46367708407342,False
cora_raw,untied,default,0.001,0.0,0.7013333638509115,0.7330000400543213,0.7270000576972961,0.7170000076293945,0.7256667017936707,0.008082922607199491,852380,947,286,997,70.93292684480548,False
cora_normalized,base,selected,0.001,0.0,0.7160000205039978,0.7130000591278076,0.7050000429153442,0.6990000605583191,0.705666720867157,0.007023769259094088,349831,669,166,602,17.452084278687835,False
cora_normalized,base,default,0.001,0.0,0.7160000205039978,0.7130000591278076,0.7050000429153442,0.6990000605583191,0.705666720867157,0.007023769259094088,349831,669,166,602,17.452084278687835,False
cora_normalized,ens,selected,0.0003,0.0,0.7293333808581034,0.734000027179718,0.7420000433921814,0.7080000042915344,0.7280000249544779,0.017776408094397053,1399324,65,853,31,61.713413156569004,False
cora_normalized,ens,default,0.001,0.0,0.7180000344912211,0.7360000610351562,0.7050000429153442,0.7120000123977661,0.7176667054494222,0.016258346732169103,1399324,864,14,26,63.83845149166882,False
cora_normalized,tied,selected,0.0003,0.0,0.6866667071978251,0.7160000205039978,0.6670000553131104,0.6960000395774841,0.6930000384648641,0.02463735278360556,357020,664,975,777,69.85927108302712,False
cora_normalized,tied,default,0.001,0.0,0.6826666792233785,0.7070000171661377,0.6810000538825989,0.7020000219345093,0.6966666976610819,0.013796114798757239,357020,167,711,351,69.52366241440177,False
cora_normalized,private_first,selected,0.001,0.0,0.7266667087872823,0.7310000061988831,0.7540000081062317,0.7430000305175781,0.7426666816075643,0.011503623909723655,604700,926,621,847,71.30324646644294,False
cora_normalized,private_first,default,0.001,0.0,0.7266667087872823,0.7310000061988831,0.7540000081062317,0.7430000305175781,0.7426666816075643,0.011503623909723655,604700,926,621,847,71.30324646644294,False
cora_normalized,private_last,selected,0.001,0.0,0.7346667051315308,0.7590000629425049,0.7480000257492065,0.7500000596046448,0.752333382765452,0.005859479694738818,604700,743,713,833,67.32091990858316,True
cora_normalized,private_last,default,0.001,0.0,0.7346667051315308,0.7590000629425049,0.7480000257492065,0.7500000596046448,0.752333382765452,0.005859479694738818,604700,743,713,833,67.32091990858316,True
cora_normalized,untied,selected,0.001,0.0,0.7313333551088969,0.7250000238418579,0.7480000257492065,0.7390000224113464,0.737333357334137,0.011590226541970715,852380,949,709,418,69.17937465384603,False
cora_normalized,untied,default,0.001,0.0,0.7313333551088969,0.7250000238418579,0.7480000257492065,0.7390000224113464,0.737333357334137,0.011590226541970715,852380,949,709,418,69.17937465384603,False
