dataset,arm,comparator,seed0_difference_pp,seed1_difference_pp,seed2_difference_pp,mean_difference_pp
cora_raw,base,ens,-2.2000014781951904,-3.299999237060547,-1.8000006675720215,-2.4333337942759194
cora_raw,base,tied,2.5000035762786865,5.900001525878906,2.0000040531158447,3.466669718424479
cora_raw,base,untied,-2.399998903274536,-3.800004720687866,-1.699995994567871,-2.633333206176758
cora_raw,ens,base,2.2000014781951904,3.299999237060547,1.8000006675720215,2.4333337942759194
cora_raw,ens,tied,4.700005054473877,9.200000762939453,3.800004720687866,5.9000035127003985
cora_raw,ens,untied,-0.1999974250793457,-0.5000054836273193,0.10000467300415039,-0.19999941190083823
cora_raw,tied,base,-2.5000035762786865,-5.900001525878906,-2.0000040531158447,-3.466669718424479
cora_raw,tied,ens,-4.700005054473877,-9.200000762939453,-3.800004720687866,-5.9000035127003985
cora_raw,tied,untied,-4.900002479553223,-9.700006246566772,-3.700000047683716,-6.100002924601237
cora_raw,private_first,base,1.0999977588653564,3.100001811981201,2.7000010013580322,2.3000001907348633
cora_raw,private_first,ens,-1.100003719329834,-0.1999974250793457,0.9000003337860107,-0.1333336035410563
cora_raw,private_first,tied,3.600001335144043,9.000003337860107,4.700005054473877,5.766669909159343
cora_raw,private_first,untied,-1.3000011444091797,-0.700002908706665,1.0000050067901611,-0.33333301544189453
cora_raw,private_last,base,2.2000014781951904,1.6000032424926758,0.1999974250793457,1.3333340485890706
cora_raw,private_last,ens,0.0,-1.699995994567871,-1.6000032424926758,-1.0999997456868489
cora_raw,private_last,tied,4.700005054473877,7.500004768371582,2.2000014781951904,4.80000376701355
cora_raw,private_last,untied,-0.1999974250793457,-2.2000014781951904,-1.4999985694885254,-1.2999991575876872
cora_raw,untied,base,2.399998903274536,3.800004720687866,1.699995994567871,2.633333206176758
cora_raw,untied,ens,0.1999974250793457,0.5000054836273193,-0.10000467300415039,0.19999941190083823
cora_raw,untied,tied,4.900002479553223,9.700006246566772,3.700000047683716,6.100002924601237
cora_normalized,base,ens,-2.09999680519104,-3.700000047683716,-0.8999943733215332,-2.233330408732096
cora_normalized,base,tied,-0.29999613761901855,3.7999987602233887,0.3000020980834961,1.2666682402292888
cora_normalized,base,untied,-1.1999964714050293,-4.2999982833862305,-3.9999961853027344,-3.166663646697998
cora_normalized,ens,base,2.09999680519104,3.700000047683716,0.8999943733215332,2.233330408732096
cora_normalized,ens,tied,1.8000006675720215,7.4999988079071045,1.1999964714050293,3.4999986489613852
cora_normalized,ens,untied,0.9000003337860107,-0.5999982357025146,-3.100001811981201,-0.9333332379659017
cora_normalized,tied,base,0.29999613761901855,-3.7999987602233887,-0.3000020980834961,-1.2666682402292888
cora_normalized,tied,ens,-1.8000006675720215,-7.4999988079071045,-1.1999964714050293,-3.4999986489613852
cora_normalized,tied,untied,-0.9000003337860107,-8.09999704360962,-4.2999982833862305,-4.433331886927287
cora_normalized,private_first,base,1.799994707107544,4.899996519088745,4.399996995925903,3.699996074040731
cora_normalized,private_first,ens,-0.3000020980834961,1.1999964714050293,3.50000262260437,1.4666656653086345
cora_normalized,private_first,tied,1.4999985694885254,8.699995279312134,4.699999094009399,4.9666643142700195
cora_normalized,private_first,untied,0.5999982357025146,0.5999982357025146,0.40000081062316895,0.5333324273427328
cora_normalized,private_last,base,4.600000381469727,4.2999982833862305,5.099999904632568,4.666666189829509
cora_normalized,private_last,ens,2.5000035762786865,0.5999982357025146,4.200005531311035,2.433335781097412
cora_normalized,private_last,tied,4.300004243850708,8.09999704360962,5.4000020027160645,5.933334430058797
cora_normalized,private_last,untied,3.4000039100646973,0.0,1.100003719329834,1.5000025431315105
cora_normalized,untied,base,1.1999964714050293,4.2999982833862305,3.9999961853027344,3.166663646697998
cora_normalized,untied,ens,-0.9000003337860107,0.5999982357025146,3.100001811981201,0.9333332379659017
cora_normalized,untied,tied,0.9000003337860107,8.09999704360962,4.2999982833862305,4.433331886927287
