dataset,backbone,comparison,metric_name,n_splits,mean_paired_delta_pp,split_wins,split_ties,split_losses
questions,GT,GNNM-ENS,roc_auc,10,0.4804367953563593,8,0,2
questions,GT-sep,GNNM-ENS,roc_auc,10,0.7909671699272026,8,0,2
questions,ResNet,GNNM-ENS,roc_auc,10,0.6917738952550079,7,0,3
questions,TAG,GNNM-ENS,roc_auc,10,0.5338759988825004,9,0,1
questions,GCN,GNNM-BASE,roc_auc,10,1.1733154933284695,9,0,1
questions,SAGE,GNNM-BASE,roc_auc,10,3.354869097617461,10,0,0
questions,GAT,GNNM-BASE,roc_auc,10,1.9569554084537624,9,0,1
questions,GAT-sep,GNNM-BASE,roc_auc,10,1.526659570685438,10,0,0
questions,GT,GNNM-BASE,roc_auc,10,0.8766800043407065,9,0,1
questions,GT-sep,GNNM-BASE,roc_auc,10,1.3567577676751097,10,0,0
questions,ResNet,GNNM-BASE,roc_auc,10,1.0008623695189867,8,0,2
questions,TAG,GNNM-BASE,roc_auc,10,0.8265275023146579,10,0,0
questions,GCN,ENS-BASE,roc_auc,10,0.4020004202175432,9,0,1
questions,SAGE,ENS-BASE,roc_auc,10,0.7283131959853084,9,0,1
questions,GAT,ENS-BASE,roc_auc,10,0.8263681890701878,8,0,2
questions,GAT-sep,ENS-BASE,roc_auc,10,0.47172882576903324,9,0,1
questions,GT,ENS-BASE,roc_auc,10,0.39624320898434706,10,0,0
questions,GT-sep,ENS-BASE,roc_auc,10,0.5657905977479072,9,0,1
questions,ResNet,ENS-BASE,roc_auc,10,0.3090884742639788,7,0,3
questions,TAG,ENS-BASE,roc_auc,10,0.2926515034321575,9,0,1
tolokers,GCN,GNNM-ENS,roc_auc,10,-0.795544818872701,1,0,9
tolokers,SAGE,GNNM-ENS,roc_auc,10,0.4290335087533803,9,0,1
tolokers,GAT,GNNM-ENS,roc_auc,10,-0.5570128704630084,1,0,9
tolokers,GAT-sep,GNNM-ENS,roc_auc,10,0.4778908383017588,7,0,3
tolokers,GT,GNNM-ENS,roc_auc,10,0.39359703277128233,8,0,2
tolokers,GT-sep,GNNM-ENS,roc_auc,10,0.6262183830447188,9,0,1
tolokers,ResNet,GNNM-ENS,roc_auc,10,0.5505600156169921,9,0,1
tolokers,TAG,GNNM-ENS,roc_auc,10,0.23571221351900037,8,0,2
tolokers,GCN,GNNM-BASE,roc_auc,10,-0.7921624926456372,1,0,9
tolokers,SAGE,GNNM-BASE,roc_auc,10,0.5040886155915059,9,0,1
tolokers,GAT,GNNM-BASE,roc_auc,10,-0.04548855973906418,5,0,5
tolokers,GAT-sep,GNNM-BASE,roc_auc,10,0.7938570448636106,10,0,0
tolokers,GT,GNNM-BASE,roc_auc,10,1.2715038676459878,8,0,2
tolokers,GT-sep,GNNM-BASE,roc_auc,10,1.4058106873374865,10,0,0
tolokers,ResNet,GNNM-BASE,roc_auc,10,0.8882300469865424,9,0,1
tolokers,TAG,GNNM-BASE,roc_auc,10,0.22705305168519208,7,0,3
tolokers,GCN,ENS-BASE,roc_auc,10,0.0033823262270638033,4,0,6
tolokers,SAGE,ENS-BASE,roc_auc,10,0.07505510683812555,6,0,4
tolokers,GAT,ENS-BASE,roc_auc,10,0.5115243107239442,10,0,0
tolokers,GAT-sep,ENS-BASE,roc_auc,10,0.3159662065618518,9,0,1
tolokers,GT,ENS-BASE,roc_auc,10,0.8779068348747054,9,0,1
tolokers,GT-sep,ENS-BASE,roc_auc,10,0.7795923042927677,10,0,0
tolokers,ResNet,ENS-BASE,roc_auc,10,0.3376700313695502,6,0,4
tolokers,TAG,ENS-BASE,roc_auc,10,-0.008659161833808326,2,0,8
