policy,dataset,backbone,variant,split,selected_depth,test_metric,metric_name
mean_validation,roman-empire,GAT,BASE,5,5,0.8236851096153259,acc
mean_validation,roman-empire,GAT,BASE,6,5,0.8425697088241577,acc
mean_validation,roman-empire,GAT,BASE,7,5,0.8055065274238586,acc
mean_validation,roman-empire,GAT,BASE,8,5,0.8243910670280457,acc
mean_validation,roman-empire,GAT,BASE,9,5,0.8302152752876282,acc
split0_validation,roman-empire,GAT,BASE,0,5,0.8078008890151978,acc
split0_validation,roman-empire,GAT,BASE,1,5,0.8316272497177124,acc
split0_validation,roman-empire,GAT,BASE,2,5,0.8180373907089233,acc
split0_validation,roman-empire,GAT,BASE,3,5,0.8370984792709351,acc
split0_validation,roman-empire,GAT,BASE,4,5,0.8282738924026489,acc
split0_validation,roman-empire,GAT,BASE,5,5,0.8236851096153259,acc
split0_validation,roman-empire,GAT,BASE,6,5,0.8425697088241577,acc
split0_validation,roman-empire,GAT,BASE,7,5,0.8055065274238586,acc
split0_validation,roman-empire,GAT,BASE,8,5,0.8243910670280457,acc
split0_validation,roman-empire,GAT,BASE,9,5,0.8302152752876282,acc
per_split_validation,roman-empire,GAT-sep,BASE,0,5,0.8893399238586426,acc
per_split_validation,roman-empire,GAT-sep,BASE,1,5,0.8985174298286438,acc
per_split_validation,roman-empire,GAT-sep,BASE,2,5,0.8935756683349609,acc
per_split_validation,roman-empire,GAT-sep,BASE,3,5,0.8967525362968445,acc
per_split_validation,roman-empire,GAT-sep,BASE,4,5,0.8949876427650452,acc
per_split_validation,roman-empire,GAT-sep,BASE,5,5,0.8997529149055481,acc
per_split_validation,roman-empire,GAT-sep,BASE,6,5,0.8962230682373047,acc
per_split_validation,roman-empire,GAT-sep,BASE,7,5,0.8822802305221558,acc
per_split_validation,roman-empire,GAT-sep,BASE,8,4,0.8858100771903992,acc
per_split_validation,roman-empire,GAT-sep,BASE,9,5,0.8856335878372192,acc
mean_validation,roman-empire,GAT-sep,BASE,0,5,0.8893399238586426,acc
mean_validation,roman-empire,GAT-sep,BASE,1,5,0.8985174298286438,acc
mean_validation,roman-empire,GAT-sep,BASE,2,5,0.8935756683349609,acc
mean_validation,roman-empire,GAT-sep,BASE,3,5,0.8967525362968445,acc
mean_validation,roman-empire,GAT-sep,BASE,4,5,0.8949876427650452,acc
mean_validation,roman-empire,GAT-sep,BASE,5,5,0.8997529149055481,acc
mean_validation,roman-empire,GAT-sep,BASE,6,5,0.8962230682373047,acc
mean_validation,roman-empire,GAT-sep,BASE,7,5,0.8822802305221558,acc
mean_validation,roman-empire,GAT-sep,BASE,8,5,0.8792799115180969,acc
mean_validation,roman-empire,GAT-sep,BASE,9,5,0.8856335878372192,acc
split0_validation,roman-empire,GAT-sep,BASE,0,5,0.8893399238586426,acc
split0_validation,roman-empire,GAT-sep,BASE,1,5,0.8985174298286438,acc
split0_validation,roman-empire,GAT-sep,BASE,2,5,0.8935756683349609,acc
split0_validation,roman-empire,GAT-sep,BASE,3,5,0.8967525362968445,acc
split0_validation,roman-empire,GAT-sep,BASE,4,5,0.8949876427650452,acc
split0_validation,roman-empire,GAT-sep,BASE,5,5,0.8997529149055481,acc
split0_validation,roman-empire,GAT-sep,BASE,6,5,0.8962230682373047,acc
split0_validation,roman-empire,GAT-sep,BASE,7,5,0.8822802305221558,acc
split0_validation,roman-empire,GAT-sep,BASE,8,5,0.8792799115180969,acc
split0_validation,roman-empire,GAT-sep,BASE,9,5,0.8856335878372192,acc
per_split_validation,roman-empire,GT,BASE,0,5,0.8775149583816528,acc
per_split_validation,roman-empire,GT,BASE,1,5,0.8865160346031189,acc
per_split_validation,roman-empire,GT,BASE,2,5,0.8780444264411926,acc
per_split_validation,roman-empire,GT,BASE,3,5,0.8858100771903992,acc
per_split_validation,roman-empire,GT,BASE,4,5,0.8822802305221558,acc
per_split_validation,roman-empire,GT,BASE,5,5,0.8932226896286011,acc
per_split_validation,roman-empire,GT,BASE,6,5,0.8859865665435791,acc
per_split_validation,roman-empire,GT,BASE,7,5,0.8757500648498535,acc
per_split_validation,roman-empire,GT,BASE,8,5,0.8762795329093933,acc
per_split_validation,roman-empire,GT,BASE,9,5,0.8835156559944153,acc
mean_validation,roman-empire,GT,BASE,0,5,0.8775149583816528,acc
mean_validation,roman-empire,GT,BASE,1,5,0.8865160346031189,acc
mean_validation,roman-empire,GT,BASE,2,5,0.8780444264411926,acc
mean_validation,roman-empire,GT,BASE,3,5,0.8858100771903992,acc
mean_validation,roman-empire,GT,BASE,4,5,0.8822802305221558,acc
mean_validation,roman-empire,GT,BASE,5,5,0.8932226896286011,acc
mean_validation,roman-empire,GT,BASE,6,5,0.8859865665435791,acc
mean_validation,roman-empire,GT,BASE,7,5,0.8757500648498535,acc
mean_validation,roman-empire,GT,BASE,8,5,0.8762795329093933,acc
mean_validation,roman-empire,GT,BASE,9,5,0.8835156559944153,acc
split0_validation,roman-empire,GT,BASE,0,5,0.8775149583816528,acc
split0_validation,roman-empire,GT,BASE,1,5,0.8865160346031189,acc
split0_validation,roman-empire,GT,BASE,2,5,0.8780444264411926,acc
split0_validation,roman-empire,GT,BASE,3,5,0.8858100771903992,acc
split0_validation,roman-empire,GT,BASE,4,5,0.8822802305221558,acc
split0_validation,roman-empire,GT,BASE,5,5,0.8932226896286011,acc
split0_validation,roman-empire,GT,BASE,6,5,0.8859865665435791,acc
split0_validation,roman-empire,GT,BASE,7,5,0.8757500648498535,acc
split0_validation,roman-empire,GT,BASE,8,5,0.8762795329093933,acc
split0_validation,roman-empire,GT,BASE,9,5,0.8835156559944153,acc
per_split_validation,roman-empire,GT-sep,BASE,0,5,0.8738086819648743,acc
per_split_validation,roman-empire,GT-sep,BASE,1,5,0.8785739541053772,acc
per_split_validation,roman-empire,GT-sep,BASE,2,5,0.8768090009689331,acc
per_split_validation,roman-empire,GT-sep,BASE,3,5,0.8755735754966736,acc
per_split_validation,roman-empire,GT-sep,BASE,4,5,0.8782209157943726,acc
per_split_validation,roman-empire,GT-sep,BASE,5,5,0.8819272518157959,acc
per_split_validation,roman-empire,GT-sep,BASE,6,5,0.8757500648498535,acc
per_split_validation,roman-empire,GT-sep,BASE,7,5,0.8644546270370483,acc
per_split_validation,roman-empire,GT-sep,BASE,8,5,0.8693963885307312,acc
per_split_validation,roman-empire,GT-sep,BASE,9,5,0.8715142607688904,acc
mean_validation,roman-empire,GT-sep,BASE,0,5,0.8738086819648743,acc
mean_validation,roman-empire,GT-sep,BASE,1,5,0.8785739541053772,acc
mean_validation,roman-empire,GT-sep,BASE,2,5,0.8768090009689331,acc
mean_validation,roman-empire,GT-sep,BASE,3,5,0.8755735754966736,acc
mean_validation,roman-empire,GT-sep,BASE,4,5,0.8782209157943726,acc
mean_validation,roman-empire,GT-sep,BASE,5,5,0.8819272518157959,acc
mean_validation,roman-empire,GT-sep,BASE,6,5,0.8757500648498535,acc
mean_validation,roman-empire,GT-sep,BASE,7,5,0.8644546270370483,acc
mean_validation,roman-empire,GT-sep,BASE,8,5,0.8693963885307312,acc
mean_validation,roman-empire,GT-sep,BASE,9,5,0.8715142607688904,acc
split0_validation,roman-empire,GT-sep,BASE,0,5,0.8738086819648743,acc
split0_validation,roman-empire,GT-sep,BASE,1,5,0.8785739541053772,acc
split0_validation,roman-empire,GT-sep,BASE,2,5,0.8768090009689331,acc
split0_validation,roman-empire,GT-sep,BASE,3,5,0.8755735754966736,acc
split0_validation,roman-empire,GT-sep,BASE,4,5,0.8782209157943726,acc
split0_validation,roman-empire,GT-sep,BASE,5,5,0.8819272518157959,acc
split0_validation,roman-empire,GT-sep,BASE,6,5,0.8757500648498535,acc
split0_validation,roman-empire,GT-sep,BASE,7,5,0.8644546270370483,acc
split0_validation,roman-empire,GT-sep,BASE,8,5,0.8693963885307312,acc
split0_validation,roman-empire,GT-sep,BASE,9,5,0.8715142607688904,acc
per_split_validation,roman-empire,ResNet,BASE,0,3,0.656194806098938,acc
