dataset,backbone,metric_name,n_splits,base_mean_percent,base_population_sd_percent,ens_mean_percent,ens_population_sd_percent,gnnm_mean_percent,gnnm_population_sd_percent,gnnm_minus_ens_mean_pp,gnnm_minus_ens_min_pp,gnnm_minus_ens_max_pp,gnnm_minus_ens_split_wins,gnnm_minus_base_mean_pp,gnnm_minus_base_split_wins
roman-empire,TAG,acc,10,87.42145895957947,0.5226079849776444,88.33391845226288,0.598927589756732,89.6805477142334,0.274108503041369,1.34662926197052,0.7765650749206543,1.8355131149291992,10,2.2590887546539307,10
amazon-ratings,TAG,acc,10,52.25216269493102,0.19884754542152644,53.72203111648559,0.41626715981505047,53.826555609703064,0.37497977555415596,0.10452449321746826,-0.5879461765289307,0.8492588996887207,6,1.5743929147720337,10
minesweeper,TAG,roc_auc,10,94.00252,0.545148738969469,94.14,0.5414744426101719,94.11121,0.4606631164962076,-0.02878999999999743,-0.4800999999999944,0.5622000000000016,5,0.1086900000000024,5
questions,TAG,roc_auc,10,78.32075874664346,1.1637646241991138,78.61341025007562,1.1174311975287876,79.14728624895811,0.9275883404817834,0.5338759988825004,-0.0844475640081166,1.3244241057101203,9,0.8265275023146579,10
tolokers,TAG,roc_auc,10,84.81466682392112,0.8053680572922893,84.80600766208731,0.7129712224641067,85.04171987560632,0.7594333643205706,0.2357122135190004,-0.2917341098449322,0.6223751386143728,8,0.22705305168519208,7
