policy,dataset,backbone,variant,metric_name,n_splits,mean_percent,population_sd_percent
mean_validation,tolokers,GCN,ENS,roc_auc,10,84.21555788725941,0.7394048929079928
split0_validation,tolokers,GCN,ENS,roc_auc,10,84.21555788725941,0.7394048929079928
per_split_validation,tolokers,SAGE,ENS,roc_auc,10,83.0408739551391,0.4042101142992729
mean_validation,tolokers,SAGE,ENS,roc_auc,10,83.16018398770163,0.3055776778379792
split0_validation,tolokers,SAGE,ENS,roc_auc,10,82.98918333428227,0.28178358932704034
per_split_validation,tolokers,GAT,ENS,roc_auc,10,84.5272470440231,0.5774814480309959
mean_validation,tolokers,GAT,ENS,roc_auc,10,84.5406407847539,0.6372609469557274
split0_validation,tolokers,GAT,ENS,roc_auc,10,84.5406407847539,0.6372609469557274
per_split_validation,tolokers,GAT-sep,ENS,roc_auc,10,84.35394857779622,0.5381177584051808
mean_validation,tolokers,GAT-sep,ENS,roc_auc,10,84.20895591181822,0.5260885343736734
split0_validation,tolokers,GAT-sep,ENS,roc_auc,10,84.20895591181822,0.5260885343736734
per_split_validation,tolokers,GT,ENS,roc_auc,10,83.79961309983759,0.5889148745261538
mean_validation,tolokers,GT,ENS,roc_auc,10,83.76501712175562,0.6366882742583377
split0_validation,tolokers,GT,ENS,roc_auc,10,83.76501712175562,0.6366882742583377
per_split_validation,tolokers,GT-sep,ENS,roc_auc,10,83.79498019407366,0.858032569377862
mean_validation,tolokers,GT-sep,ENS,roc_auc,10,83.72759801967848,0.8666952294670195
split0_validation,tolokers,GT-sep,ENS,roc_auc,10,83.72759801967848,0.8666952294670195
per_split_validation,tolokers,ResNet,ENS,roc_auc,10,73.24850404930199,1.0244741735054324
mean_validation,tolokers,ResNet,ENS,roc_auc,10,73.14026961003609,1.0007244594930889
split0_validation,tolokers,ResNet,ENS,roc_auc,10,73.14026961003609,1.0007244594930889
per_split_validation,tolokers,TAG,ENS,roc_auc,10,84.80600766208731,0.7129712224641067
mean_validation,tolokers,TAG,ENS,roc_auc,10,84.78675754889122,0.7223890387906741
split0_validation,tolokers,TAG,ENS,roc_auc,10,84.58421111138223,0.7185526979720873
per_split_validation,tolokers,GCN,GNNM,roc_auc,10,83.31061955540372,0.6521770500089201
mean_validation,tolokers,GCN,GNNM,roc_auc,10,83.333509566764,0.6196538659501188
split0_validation,tolokers,GCN,GNNM,roc_auc,10,83.333509566764,0.6196538659501188
per_split_validation,tolokers,SAGE,GNNM,roc_auc,10,83.4699074638925,0.4593104171516391
mean_validation,tolokers,SAGE,GNNM,roc_auc,10,83.58659094051714,0.416084979066154
split0_validation,tolokers,SAGE,GNNM,roc_auc,10,83.26888612337967,0.46440840389381244
per_split_validation,tolokers,GAT,GNNM,roc_auc,10,83.9702341735601,0.7469871909735797
mean_validation,tolokers,GAT,GNNM,roc_auc,10,83.93583476353541,0.6662193299296648
split0_validation,tolokers,GAT,GNNM,roc_auc,10,83.93583476353541,0.6662193299296648
per_split_validation,tolokers,GAT-sep,GNNM,roc_auc,10,84.83183941609799,0.6548777783120049
mean_validation,tolokers,GAT-sep,GNNM,roc_auc,10,84.68882259800611,0.6240140827198232
split0_validation,tolokers,GAT-sep,GNNM,roc_auc,10,84.68882259800611,0.6240140827198232
per_split_validation,tolokers,GT,GNNM,roc_auc,10,84.19321013260887,0.6309412650075423
mean_validation,tolokers,GT,GNNM,roc_auc,10,84.24778827044511,0.6836365977908584
split0_validation,tolokers,GT,GNNM,roc_auc,10,84.24778827044511,0.6836365977908584
per_split_validation,tolokers,GT-sep,GNNM,roc_auc,10,84.42119857711839,0.7949273984183245
mean_validation,tolokers,GT-sep,GNNM,roc_auc,10,84.36153339352384,0.8429174942599827
split0_validation,tolokers,GT-sep,GNNM,roc_auc,10,84.36153339352384,0.8429174942599827
per_split_validation,tolokers,ResNet,GNNM,roc_auc,10,73.79906406491898,1.0392540575858296
mean_validation,tolokers,ResNet,GNNM,roc_auc,10,73.74209321935096,0.9925990143959661
split0_validation,tolokers,ResNet,GNNM,roc_auc,10,72.43681353689651,1.3445276721954955
per_split_validation,tolokers,TAG,GNNM,roc_auc,10,85.04171987560632,0.7594333643205706
mean_validation,tolokers,TAG,GNNM,roc_auc,10,84.96685455861659,0.819826163352098
split0_validation,tolokers,TAG,GNNM,roc_auc,10,84.96685455861659,0.819826163352098
