dataset,model,num_layers,hidden_dim,lr,split,best_step,train_metric_name,train_metric,train_acc,train_loss,train_roc_auc,train_f1_macro,train_f1_weighted,train_prec_macro,train_rec_macro,val_metric_name,val_metric,val_acc,val_loss,val_roc_auc,val_f1_macro,val_f1_weighted,val_prec_macro,val_rec_macro,test_metric_name,test_metric,test_acc,test_loss,test_roc_auc,test_f1_macro,test_f1_weighted,test_prec_macro,test_rec_macro
questions,ResNet,1,512,3e-05,0,1240,roc_auc,0.8634866563912509,0.9734668731689453,0.09890837222337723,0.8634866563912509,,,,,roc_auc,0.7149614671908284,0.9725266098976135,0.12474425137042999,0.7149614671908284,,,,,roc_auc,0.7064026607620715,0.9721199870109558,0.12657347321510315,0.7064026607620715,,,,
questions,ResNet,2,512,3e-05,0,1420,roc_auc,0.8951981481160776,0.9758381247520447,0.08849817514419556,0.8951981481160776,,,,,roc_auc,0.7146459311085327,0.970973014831543,0.13292355835437775,0.7146459311085327,,,,,roc_auc,0.7059421531300434,0.9704030752182007,0.13550400733947754,0.7059421531300434,,,,
questions,ResNet,3,512,3e-05,0,740,roc_auc,0.8232480416096611,0.9727718830108643,0.10893790423870087,0.8232480416096611,,,,,roc_auc,0.711897199660565,0.9724448323249817,0.12413042038679123,0.711897199660565,,,,,roc_auc,0.7032347515290609,0.9715477228164673,0.12636226415634155,0.7032347515290609,,,,
questions,ResNet,4,512,3e-05,0,990,roc_auc,0.8498729427520796,0.9739983677864075,0.10086890310049057,0.8498729427520796,,,,,roc_auc,0.7148017941568676,0.9713000655174255,0.12793956696987152,0.7148017941568676,,,,,roc_auc,0.7079107106986924,0.9703212976455688,0.13030438125133514,0.7079107106986924,,,,
questions,ResNet,5,512,3e-05,0,960,roc_auc,0.8287113878161277,0.9733442664146423,0.10544764250516891,0.8287113878161277,,,,,roc_auc,0.7128626269273621,0.9711365699768066,0.12628769874572754,0.7128626269273621,,,,,roc_auc,0.7080367759617094,0.9697489738464355,0.12893548607826233,0.7080367759617094,,,,
questions,ResNet,1,512,3e-05,1,770,roc_auc,0.8089406796783448,0.9721586108207703,0.11280578374862671,0.8089406796783448,,,,,roc_auc,0.7378624826097246,0.9734259843826294,0.11748158931732178,0.7378624826097246,,,,,roc_auc,0.7234093496094517,0.9725288152694702,0.11952608823776245,0.7234093496094517,,,,
questions,ResNet,2,512,3e-05,1,770,roc_auc,0.8239602780134966,0.9722403883934021,0.11235138028860092,0.8239602780134966,,,,,roc_auc,0.7386001189177333,0.9728536605834961,0.12030207365751266,0.7386001189177333,,,,,roc_auc,0.7218062889480478,0.972610592842102,0.1227157860994339,0.7218062889480478,,,,
questions,ResNet,3,512,3e-05,1,820,roc_auc,0.8337495453994423,0.9724448323249817,0.10852287709712982,0.8337495453994423,,,,,roc_auc,0.7422742150563704,0.9721994996070862,0.11997351795434952,0.7422742150563704,,,,,roc_auc,0.7208896605704338,0.9721199870109558,0.12300783395767212,0.7208896605704338,,,,
questions,ResNet,4,512,3e-05,1,760,roc_auc,0.8101471173995116,0.9717906713485718,0.11385692656040192,0.8101471173995116,,,,,roc_auc,0.741575255875171,0.9721994996070862,0.12005706131458282,0.741575255875171,,,,,roc_auc,0.7185165858940822,0.9722017645835876,0.12295681238174438,0.7185165858940822,,,,
questions,ResNet,5,512,3e-05,1,690,roc_auc,0.8084784591494496,0.9717906713485718,0.11376280337572098,0.8084784591494496,,,,,roc_auc,0.7403597550063787,0.9720360040664673,0.1201496496796608,0.7403597550063787,,,,,roc_auc,0.7212568891433796,0.9718747138977051,0.1227564737200737,0.7212568891433796,,,,
