epoch,train_mean_member_ce,valid_pooled_accuracy,valid_pooled_ce,train_step_seconds,validation_seconds,elapsed_seconds,is_selected_so_far
1,4.286333203315735,0.08449947834014893,3.3589625358581543,0.23149794340133667,0.08568217605352402,0.32423070073127747,1
2,3.676495313644409,0.277224063873291,2.9068713188171387,0.2234165370464325,0.0854271873831749,0.6415336951613426,1
3,3.417598307132721,0.28779488801956177,2.826843500137329,0.22333049774169922,0.08556070923805237,0.959739126265049,1
4,3.312109112739563,0.13799120485782623,2.8834152221679688,0.22440886497497559,0.08550649136304855,1.2697626128792763,0
5,3.2278407216072083,0.08570756763219833,2.9433391094207764,0.22379611432552338,0.08557701855897903,1.5792613103985786,0
6,3.177391827106476,0.1609785556793213,2.915006160736084,0.22341637313365936,0.085435651242733,1.8882055878639221,0
7,3.137832522392273,0.2860162854194641,2.853424549102783,0.22336234897375107,0.08594005554914474,2.197571560740471,0
8,3.1030132174491882,0.29531189799308777,2.807849645614624,0.224299855530262,0.08552411943674088,2.5142899826169014,1
9,3.077084243297577,0.29658710956573486,2.782747983932495,0.2232120782136917,0.08555418252944946,2.830909162759781,1
10,3.048334002494812,0.2991039752960205,2.7655115127563477,0.22319167852401733,0.08542300760746002,3.146700605750084,1
11,3.018868148326874,0.3006812334060669,2.728494167327881,0.22348559647798538,0.08558535575866699,3.461728796362877,1
12,2.984385311603546,0.30826535820961,2.663296699523926,0.22320736944675446,0.08559001982212067,3.776468500494957,1
13,2.945847809314728,0.3041377067565918,2.595782518386841,0.22321052849292755,0.08551395684480667,4.085250824689865,0
14,2.905555248260498,0.3036007881164551,2.5423667430877686,0.2232735976576805,0.08544491231441498,4.394033960998058,0
15,2.8651700615882874,0.30870163440704346,2.4951603412628174,0.22354339063167572,0.08568038791418076,4.71301781386137,1
16,2.82242488861084,0.3215208351612091,2.438624382019043,0.2243056371808052,0.08546746522188187,5.03000258654356,1
17,2.7796139121055603,0.3419242203235626,2.3750946521759033,0.2237263023853302,0.08547890186309814,5.3458423390984535,1
18,2.740627944469452,0.36118659377098083,2.317538261413574,0.22350163757801056,0.08547405898571014,5.6625992357730865,1
19,2.7020082473754883,0.3753145933151245,2.2641170024871826,0.22348572313785553,0.08565325289964676,5.978743180632591,1
20,2.6623928546905518,0.3802812099456787,2.212724447250366,0.2233361154794693,0.08553816378116608,6.294408842921257,1
21,2.624065577983856,0.38407328724861145,2.168827533721924,0.2239883542060852,0.08580923080444336,6.611156105995178,1
22,2.5864116549491882,0.3995435833930969,2.1284637451171875,0.2234284058213234,0.0855724960565567,6.926763638854027,1
23,2.5492777228355408,0.4136044681072235,2.093299150466919,0.22319835424423218,0.08556759357452393,7.24249904602766,1
24,2.5131102204322815,0.422765851020813,2.0625667572021484,0.22336062043905258,0.08543161302804947,7.55875039845705,1
25,2.4755839109420776,0.42860496044158936,2.034712076187134,0.22327224165201187,0.08551521599292755,7.874185644090176,1
26,2.437516450881958,0.43897444009780884,2.0000429153442383,0.2234073355793953,0.08559864014387131,8.194078341126442,1
27,2.399175465106964,0.45216280221939087,1.9635299444198608,0.22320225089788437,0.08545368909835815,8.509468547999859,1
28,2.364059627056122,0.4614584147930145,1.930720329284668,0.22395192086696625,0.08550902456045151,8.825891360640526,1
29,2.3306158781051636,0.46904256939888,1.8999332189559937,0.22349238395690918,0.08562235534191132,9.141886338591576,1
30,2.295967757701874,0.47246548533439636,1.867418646812439,0.22341721504926682,0.08547094464302063,9.457872197031975,1
31,2.2617174983024597,0.4778348207473755,1.8391387462615967,0.22348781675100327,0.08552414923906326,9.774606935679913,1
32,2.2326866388320923,0.4843115210533142,1.8150537014007568,0.22313764691352844,0.08545030653476715,10.092313140630722,1
33,2.2012412548065186,0.48914390802383423,1.7936253547668457,0.22340374439954758,0.08553950488567352,10.407976515591145,1
34,2.1731622219085693,0.4955199658870697,1.770978331565857,0.22346476465463638,0.0856105387210846,10.723324663937092,1
35,2.1416202187538147,0.5027349591255188,1.7467175722122192,0.2231711968779564,0.0855242908000946,11.039129368960857,1
36,2.1139346957206726,0.5102855563163757,1.7241309881210327,0.2232072800397873,0.08550676703453064,11.354487150907516,1
