Loading data...

============================================================
questions GAT 1L h=256 lr=3e-05 split=5 (ensemble x4)
============================================================

  Training model seed 0 (seed=5000)
Training for 5000 steps
  [mseed=5000] Step    1 | loss 0.9340 | val_acc=0.1253 val_roc_auc=0.5459 val_loss=0.8772 val_metric_name=roc_auc val_metric=0.5459
  [mseed=5000] Step   50 | loss 0.1434 | val_acc=0.9702 val_roc_auc=0.4266 val_loss=0.1434 val_metric_name=roc_auc val_metric=0.4266
  [mseed=5000] Step  100 | loss 0.1391 | val_acc=0.9702 val_roc_auc=0.4711 val_loss=0.1490 val_metric_name=roc_auc val_metric=0.4711
  [mseed=5000] Step  150 | loss 0.1368 | val_acc=0.9702 val_roc_auc=0.5368 val_loss=0.1469 val_metric_name=roc_auc val_metric=0.5368
  [mseed=5000] Step  200 | loss 0.1344 | val_acc=0.9702 val_roc_auc=0.5817 val_loss=0.1442 val_metric_name=roc_auc val_metric=0.5817
  [mseed=5000] Step  250 | loss 0.1334 | val_acc=0.9702 val_roc_auc=0.6131 val_loss=0.1420 val_metric_name=roc_auc val_metric=0.6131
  [mseed=5000] Step  300 | loss 0.1323 | val_acc=0.9702 val_roc_auc=0.6374 val_loss=0.1401 val_metric_name=roc_auc val_metric=0.6374
  [mseed=5000] Step  350 | loss 0.1305 | val_acc=0.9702 val_roc_auc=0.6566 val_loss=0.1385 val_metric_name=roc_auc val_metric=0.6566
  [mseed=5000] Step  400 | loss 0.1291 | val_acc=0.9702 val_roc_auc=0.6697 val_loss=0.1372 val_metric_name=roc_auc val_metric=0.6697
  [mseed=5000] Step  450 | loss 0.1289 | val_acc=0.9702 val_roc_auc=0.6786 val_loss=0.1361 val_metric_name=roc_auc val_metric=0.6786
  [mseed=5000] Step  500 | loss 0.1278 | val_acc=0.9702 val_roc_auc=0.6853 val_loss=0.1351 val_metric_name=roc_auc val_metric=0.6853
  [mseed=5000] Step  550 | loss 0.1271 | val_acc=0.9702 val_roc_auc=0.6907 val_loss=0.1341 val_metric_name=roc_auc val_metric=0.6907
  [mseed=5000] Step  600 | loss 0.1263 | val_acc=0.9702 val_roc_auc=0.6957 val_loss=0.1333 val_metric_name=roc_auc val_metric=0.6957
  [mseed=5000] Step  650 | loss 0.1254 | val_acc=0.9702 val_roc_auc=0.7004 val_loss=0.1325 val_metric_name=roc_auc val_metric=0.7004
  [mseed=5000] Step  700 | loss 0.1237 | val_acc=0.9704 val_roc_auc=0.7050 val_loss=0.1316 val_metric_name=roc_auc val_metric=0.7050
  [mseed=5000] Step  750 | loss 0.1231 | val_acc=0.9706 val_roc_auc=0.7096 val_loss=0.1309 val_metric_name=roc_auc val_metric=0.7096
  [mseed=5000] Step  800 | loss 0.1213 | val_acc=0.9710 val_roc_auc=0.7142 val_loss=0.1301 val_metric_name=roc_auc val_metric=0.7142
  [mseed=5000] Step  850 | loss 0.1203 | val_acc=0.9710 val_roc_auc=0.7187 val_loss=0.1294 val_metric_name=roc_auc val_metric=0.7187
  [mseed=5000] Step  900 | loss 0.1189 | val_acc=0.9711 val_roc_auc=0.7229 val_loss=0.1291 val_metric_name=roc_auc val_metric=0.7229
  [mseed=5000] Step  950 | loss 0.1188 | val_acc=0.9711 val_roc_auc=0.7265 val_loss=0.1285 val_metric_name=roc_auc val_metric=0.7265
  [mseed=5000] Step 1000 | loss 0.1172 | val_acc=0.9711 val_roc_auc=0.7296 val_loss=0.1285 val_metric_name=roc_auc val_metric=0.7296
  [mseed=5000] Step 1050 | loss 0.1163 | val_acc=0.9710 val_roc_auc=0.7324 val_loss=0.1283 val_metric_name=roc_auc val_metric=0.7324
  [mseed=5000] Step 1100 | loss 0.1162 | val_acc=0.9710 val_roc_auc=0.7346 val_loss=0.1284 val_metric_name=roc_auc val_metric=0.7346
  [mseed=5000] Step 1150 | loss 0.1143 | val_acc=0.9711 val_roc_auc=0.7372 val_loss=0.1280 val_metric_name=roc_auc val_metric=0.7372
  [mseed=5000] Step 1200 | loss 0.1141 | val_acc=0.9711 val_roc_auc=0.7392 val_loss=0.1277 val_metric_name=roc_auc val_metric=0.7392
  [mseed=5000] Step 1250 | loss 0.1125 | val_acc=0.9713 val_roc_auc=0.7408 val_loss=0.1278 val_metric_name=roc_auc val_metric=0.7408
  [mseed=5000] Step 1300 | loss 0.1123 | val_acc=0.9711 val_roc_auc=0.7425 val_loss=0.1279 val_metric_name=roc_auc val_metric=0.7425
  [mseed=5000] Step 1350 | loss 0.1118 | val_acc=0.9710 val_roc_auc=0.7440 val_loss=0.1280 val_metric_name=roc_auc val_metric=0.7440
  [mseed=5000] Step 1400 | loss 0.1106 | val_acc=0.9711 val_roc_auc=0.7452 val_loss=0.1278 val_metric_name=roc_auc val_metric=0.7452
  [mseed=5000] Step 1450 | loss 0.1096 | val_acc=0.9711 val_roc_auc=0.7461 val_loss=0.1281 val_metric_name=roc_auc val_metric=0.7461
