step,train_mean_member_bce,valid_pooled_hits50,valid_pooled_bce,train_seconds,validation_seconds,elapsed_seconds,selected_so_far
20,0.39226558059453964,0.022218893549031355,0.3963307738304138,0.2601073645055294,0.11707182042300701,6.694257574155927,1
40,0.2225767895579338,0.16328806337793755,0.3521490693092346,0.26037945225834846,0.11532263085246086,13.368738826364279,1
60,0.15319636091589928,0.23846614739364888,0.3202053904533386,0.2603768892586231,0.11716886423528194,20.035676492378116,1
80,0.11713427677750587,0.2863158245123494,0.3265219032764435,0.2601684257388115,0.11584965698421001,26.71239441819489,1
100,0.09702521003782749,0.3376273217495506,0.32864072918891907,0.26044438034296036,0.11576283909380436,33.38709688000381,1
120,0.08473239652812481,0.3619266360428733,0.3296974003314972,0.2605053763836622,0.11649985052645206,40.06691685691476,1
140,0.0753705482929945,0.40088875574196126,0.3326455354690552,0.26072822511196136,0.11675830371677876,46.73683932237327,1
160,0.06787916086614132,0.43222821383396576,0.3388591408729553,0.2603695411235094,0.11598858051002026,53.39501703903079,1
180,0.06086801737546921,0.4457925570867452,0.3383404016494751,0.26048492826521397,0.11584823206067085,60.083480482921004,1
200,0.0581083158031106,0.4388023433859264,0.3496814966201782,0.26082323864102364,0.11607889644801617,66.74919901974499,0
220,0.05489306151866913,0.45945676053525064,0.34443265199661255,0.2606292702257633,0.1156576406210661,73.41567695140839,1
240,0.0494080875068903,0.47408627920910723,0.3508870005607605,0.2603421285748482,0.11670848727226257,80.08616987802088,1
260,0.048887768760323524,0.4700419412822049,0.363346129655838,0.2605320177972317,0.11680750176310539,86.73105763085186,0
280,0.0460806917399168,0.49975034951068503,0.3654972314834595,0.261303324252367,0.11590485088527203,93.38900690898299,1
300,0.043439069762825966,0.5010152453232142,0.3834153711795807,0.26022904366254807,0.11668608896434307,100.0569183267653,1
320,0.04391488805413246,0.5048432194927102,0.3952866196632385,0.26048758067190647,0.11681120283901691,106.72829096764326,1
340,0.04171727132052183,0.5104520338193196,0.41301196813583374,0.261278023943305,0.11763704381883144,113.4188078828156,1
360,0.03990864846855402,0.519938752413288,0.3983317017555237,0.2608755473047495,0.11628071218729019,120.09956200234592,1
380,0.03843732550740242,0.5220857466213967,0.4281579554080963,0.2603417672216892,0.11623944155871868,126.78360501118004,1
400,0.036938260309398174,0.522801411357433,0.41368576884269714,0.260395098477602,0.11676671542227268,133.4745622817427,1
