step,train_mean_member_bce,valid_pooled_hits50,valid_pooled_bce,train_seconds,validation_seconds,elapsed_seconds,selected_so_far
20,0.3707387000322342,0.026879036016243925,0.38831910490989685,0.26881133764982224,0.11529595404863358,6.812973601743579,1
40,0.18228881806135178,0.3357466213967113,0.34132081270217896,0.2689518965780735,0.11423086561262608,13.61015753261745,1
60,0.11435781233012676,0.4018207842354038,0.32591405510902405,0.2692194804549217,0.11630046740174294,20.418986152857542,1
80,0.08724480494856834,0.430930031289528,0.3207849860191345,0.2694865185767412,0.1152824629098177,27.226607205346227,1
100,0.07327031157910824,0.4589241728247121,0.33269229531288147,0.2691862005740404,0.11578076519072056,34.02935682237148,1
120,0.06577717699110508,0.46506557486186006,0.35222601890563965,0.2692866586148739,0.11514420807361603,40.82153881713748,1
140,0.05965639743953943,0.49971706277877637,0.36301013827323914,0.26900770887732506,0.11475286073982716,47.60767092183232,1
160,0.054657784290611744,0.5154949737034817,0.38582295179367065,0.2698328457772732,0.11508062854409218,54.415227277204394,1
180,0.05094736162573099,0.5284767991478596,0.38379400968551636,0.26877843774855137,0.11530099809169769,61.21702387370169,1
200,0.04693539813160896,0.53020770920711,0.39091935753822327,0.2695193290710449,0.11575421132147312,68.01179388165474,1
220,0.0449072765186429,0.5409093935157446,0.41427862644195557,0.26985048688948154,0.1190302912145853,74.8116434533149,1
240,0.04402218014001846,0.5472338725783903,0.4036445915699005,0.2694904152303934,0.11568095721304417,81.62490714155138,1
260,0.04006196279078722,0.5458857599360895,0.43135732412338257,0.270243551582098,0.11519565246999264,88.4170974753797,0
280,0.03888201341032982,0.548781705612143,0.42696648836135864,0.26964790374040604,0.11561130546033382,95.21175829693675,1
300,0.03751827031373978,0.5475168097996139,0.42808204889297485,0.26947328820824623,0.11530528590083122,102.02437685802579,0
320,0.03685970138758421,0.544154849876839,0.4275902807712555,0.2697534691542387,0.11531680822372437,108.83441761694849,0
340,0.035742275416851044,0.5527261833433194,0.4368818998336792,0.2694484032690525,0.11504906602203846,115.63791894353926,1
360,0.034377592615783215,0.5545902403302044,0.4345998167991638,0.2694470826536417,0.11486376263201237,122.42832475528121,1
380,0.03379616979509592,0.5445210039278343,0.4558126926422119,0.26919897086918354,0.11594134196639061,129.21278642863035,0
400,0.03271613456308842,0.5484987683909194,0.45699626207351685,0.26978835836052895,0.11473382636904716,136.02004223503172,0
