dataset,model,variant,split,seed,num_layers,hidden_dim,lr,m,num_steps,best_step,num_params,train_seconds,val_metric,test_metric,test_acc,test_loss,n_test,mean_member_acc,at_least_one_member_correct_rate,pair_disagreement,error_jaccard,mean_entropy,nll,brier,ece10,checkpoint,prediction_file
roman-empire,SAGE,all_layer_be,0,0,5,512,3e-05,4,5000,2990,6870848,1310.0021940618753,0.8967342972755432,0.8958700895309448,0.8958700895309448,0.7940168976783752,5666,0.8869131207466125,0.923579216003418,0.05697728941837946,0.6697078856305128,0.05115380510687828,0.7937678098678589,0.18712547421455383,0.0839071342671446,experiments_iclr/all_layer_be_sage_results/checkpoints/roman-empire_SAGE_all_layer_be_split0.pt,experiments_iclr/all_layer_be_sage_results/predictions/roman-empire_SAGE_all_layer_be_split0.npz
roman-empire,SAGE,all_layer_be,1,1,5,512,3e-05,4,5000,1470,6870848,706.0678059458733,0.8900264501571655,0.8942816257476807,0.8942816257476807,0.5920783877372742,5666,0.8847952485084534,0.9278150200843811,0.06483115442097187,0.6371434109982578,0.08148587495088577,0.5920785665512085,0.1803179830312729,0.07480625958761467,experiments_iclr/all_layer_be_sage_results/checkpoints/roman-empire_SAGE_all_layer_be_split1.pt,experiments_iclr/all_layer_be_sage_results/predictions/roman-empire_SAGE_all_layer_be_split1.npz
roman-empire,SAGE,all_layer_be,2,2,5,512,3e-05,4,5000,3600,6870848,1550.7652887180448,0.8928508162498474,0.8978114724159241,0.8978114724159241,0.7471903562545776,5666,0.8895605206489563,0.9311683177947998,0.059183431789278984,0.6439832311318481,0.04903928562998772,0.7471785545349121,0.18194179236888885,0.08250572510487895,experiments_iclr/all_layer_be_sage_results/checkpoints/roman-empire_SAGE_all_layer_be_split2.pt,experiments_iclr/all_layer_be_sage_results/predictions/roman-empire_SAGE_all_layer_be_split2.npz
roman-empire,SAGE,all_layer_be,3,3,5,512,3e-05,4,5000,3230,6870848,1404.5004982724786,0.9004412889480591,0.8974584937095642,0.8974584937095642,0.7586705088615417,5666,0.8922078609466553,0.9308153390884399,0.056094832718372345,0.6574490358505711,0.05017639696598053,0.7586705684661865,0.1801796406507492,0.08242237667787947,experiments_iclr/all_layer_be_sage_results/checkpoints/roman-empire_SAGE_all_layer_be_split3.pt,experiments_iclr/all_layer_be_sage_results/predictions/roman-empire_SAGE_all_layer_be_split3.npz
roman-empire,SAGE,all_layer_be,4,4,5,512,3e-05,4,5000,3810,6870848,1633.6862390562892,0.9007943272590637,0.8978114724159241,0.8978114724159241,0.7888661026954651,5666,0.8916342854499817,0.9302858710289001,0.05830097571015358,0.6506308042890092,0.048637934029102325,0.7878910303115845,0.17788031697273254,0.08235400652974573,experiments_iclr/all_layer_be_sage_results/checkpoints/roman-empire_SAGE_all_layer_be_split4.pt,experiments_iclr/all_layer_be_sage_results/predictions/roman-empire_SAGE_all_layer_be_split4.npz
