dataset,model,comparison,n_paired_splits,splits,mean_paired_delta_pp,min_paired_delta_pp,max_paired_delta_pp,mean_member_delta_pp,mean_pooling_gain_delta_pp,mean_disagreement_delta_pp,split_wins,split_ties,split_losses
roman-empire,SAGE,base-gnnm,5,0 1 2 3 4,-3.2933294773101807,-3.7063181400299072,-2.665024995803833,-2.5926589965820312,-0.7006704807281494,-6.06718418498834,0,0,5
roman-empire,SAGE,ens_pooled-gnnm,5,0 1 2 3 4,-1.9872915744781494,-2.329683303833008,-1.7119646072387695,-2.11348295211792,0.1261913776397705,1.256618474920591,0,0,5
roman-empire,SAGE,freeze_output_factors-gnnm,5,0 1 2 3 4,-0.017650127410888672,-0.0706017017364502,0.017648935317993164,0.0026464462280273438,-0.020296573638916016,-0.015295905371506963,2,1,2
roman-empire,SAGE,gnnm_m1-gnnm,5,0 1 2 3 4,-4.034591913223267,-4.853510856628418,-3.000354766845703,-3.3339214324951167,-0.7006704807281494,-6.06718418498834,0,0,5
roman-empire,SAGE,heads_only-gnnm,5,0 1 2 3 4,-4.53582763671875,-5.135899782180786,-3.9357542991638184,-3.8430976867675786,-0.6927299499511719,-5.414754507752756,0,0,5
roman-empire,SAGE,independent_projectors-gnnm,5,0 1 2 3 4,-2.516767978668213,-2.9121100902557373,-2.276742458343506,-2.8291571140289307,0.3123891353607178,2.2049651543299356,0,0,5
roman-empire,SAGE,input_only-gnnm,5,0 1 2 3 4,-0.15178203582763672,-0.8118629455566406,0.28238892555236816,-0.18707990646362305,0.03529787063598633,0.04412279774745287,2,0,3
roman-empire,SAGE,output_only-gnnm,5,0 1 2 3 4,-4.546418190002441,-5.1006019115448,-3.953409194946289,-3.842216730117798,-0.7042014598846436,-6.0501233546528965,0,0,5
roman-empire,SAGE,untied_backbone-gnnm,5,0 1 2 3 4,-2.940347194671631,-3.6004245281219482,-2.52382755279541,-3.0788910388946533,0.13854384422302246,1.9366983572642011,0,0,5
