split,gnnm_val_acc_percent,gnnm_test_acc_percent,gnnm_train_seconds,gnnm_best_step,base_val_acc_percent,base_test_acc_percent,base_train_seconds,base_best_step,base_minus_gnnm_test_pp
0,89.26742672920227,89.23402428627014,858.8759269788861,2260,85.43689250946045,85.12177467346191,636.5718689784408,1640,-4.1122496128082275
1,89.28508162498474,89.93998765945435,816.8120922595263,2140,86.4783763885498,85.98658442497253,521.9582061246037,1290,-3.9534032344818115
2,89.2321228981018,89.71055150032043,1304.3536764159799,3600,84.99558568000793,84.68054533004761,530.0384234189987,1320,-5.030006170272827
3,89.93821740150452,89.46346640586853,959.417138889432,2560,85.80758571624756,85.84539294242859,721.1788151040673,1910,-3.6180734634399414
4,89.72638845443726,89.16342854499817,978.8451429530978,2620,85.63106656074524,84.38051342964172,513.3829951286316,1270,-4.782915115356445
