dataset,model,variant,n_splits,splits,mean_test_acc_percent,population_sd_test_acc_percent,mean_validation_acc_percent,mean_params_m,mean_member_acc_percent,mean_pooling_gain_pp,mean_pair_disagreement_percent
roman-empire,SAGE,base,5,0 1 2 3 4,86.20896220207214,0.4716768428737539,86.45719170570374,6.73077,86.20896220207214,0.0,0.0
roman-empire,SAGE,ens_pooled,5,0 1 2 3 4,87.51500010490417,0.25663628039486286,87.73874521255493,26.92308,86.68813824653625,0.8268618583679221,7.323802659908932
roman-empire,SAGE,freeze_output_factors,5,0 1 2 3 4,89.48464155197144,0.27825210018751034,89.5004391670227,6.735536,88.8042676448822,0.6803739070892267,6.051888279616833
roman-empire,SAGE,gnnm,5,0 1 2 3 4,89.50229167938232,0.2909477423537301,89.48984742164612,6.737728,88.80162119865417,0.7006704807281494,6.06718418498834
roman-empire,SAGE,gnnm_m1,5,0 1 2 3 4,85.46769976615906,0.6350346757269926,85.79699873924255,6.732112,85.46769976615906,0.0,0.0
roman-empire,SAGE,heads_only,5,0 1 2 3 4,84.96646404266357,0.564926817486345,85.24624586105347,6.758472,84.9585235118866,0.007940530776973098,0.6524296772355835
roman-empire,SAGE,independent_projectors,5,0 1 2 3 4,86.98552370071411,0.3843465033287389,87.21623659133911,7.220808,85.97246408462524,1.0130596160888627,8.272149339318275
roman-empire,SAGE,input_only,5,0 1 2 3 4,89.35050964355469,0.3211180781927274,89.58163976669312,6.735554,88.61454129219055,0.7359683513641357,6.111306982735792
roman-empire,SAGE,output_only,5,0 1 2 3 4,84.95587348937988,0.46796560775174517,85.50750017166138,6.732944,84.95940446853638,-0.003530979156496361,0.017060830335443217
roman-empire,SAGE,untied_backbone,5,0 1 2 3 4,86.5619444847107,0.5721808068925814,86.79611325263977,26.436928,85.72273015975952,0.8392143249511763,8.00388254225254
