Loading data...

============================================================
Training roman-empire SAGE 4L h=256 lr=3e-05 split=8
============================================================
Training for 5000 steps
Step    1 | loss 3.0822 | val_acc=0.0438 val_loss=2.9292 val_f1_macro=0.0207 val_f1_weighted=0.0264 val_prec_macro=0.0378 val_rec_macro=0.0450 val_metric_name=acc val_metric=0.0438
Step   50 | loss 1.7868 | val_acc=0.5207 val_loss=1.5580 val_f1_macro=0.2587 val_f1_weighted=0.4468 val_prec_macro=0.2766 val_rec_macro=0.2870 val_metric_name=acc val_metric=0.5207
Step  100 | loss 1.3336 | val_acc=0.6470 val_loss=1.1526 val_f1_macro=0.4665 val_f1_weighted=0.5980 val_prec_macro=0.5045 val_rec_macro=0.4821 val_metric_name=acc val_metric=0.6470
Step  150 | loss 1.0933 | val_acc=0.6955 val_loss=0.9754 val_f1_macro=0.5345 val_f1_weighted=0.6573 val_prec_macro=0.6111 val_rec_macro=0.5558 val_metric_name=acc val_metric=0.6955
Step  200 | loss 0.9476 | val_acc=0.7193 val_loss=0.8700 val_f1_macro=0.5691 val_f1_weighted=0.6890 val_prec_macro=0.5977 val_rec_macro=0.5883 val_metric_name=acc val_metric=0.7193
Step  250 | loss 0.8457 | val_acc=0.7382 val_loss=0.7974 val_f1_macro=0.5993 val_f1_weighted=0.7146 val_prec_macro=0.6160 val_rec_macro=0.6157 val_metric_name=acc val_metric=0.7382
Step  300 | loss 0.7687 | val_acc=0.7495 val_loss=0.7487 val_f1_macro=0.6222 val_f1_weighted=0.7303 val_prec_macro=0.6475 val_rec_macro=0.6352 val_metric_name=acc val_metric=0.7495
Step  350 | loss 0.7072 | val_acc=0.7620 val_loss=0.7103 val_f1_macro=0.6506 val_f1_weighted=0.7469 val_prec_macro=0.6801 val_rec_macro=0.6592 val_metric_name=acc val_metric=0.7620
Step  400 | loss 0.6493 | val_acc=0.7707 val_loss=0.6812 val_f1_macro=0.6694 val_f1_weighted=0.7576 val_prec_macro=0.7476 val_rec_macro=0.6760 val_metric_name=acc val_metric=0.7707
Step  450 | loss 0.6055 | val_acc=0.7783 val_loss=0.6576 val_f1_macro=0.6905 val_f1_weighted=0.7680 val_prec_macro=0.7559 val_rec_macro=0.6933 val_metric_name=acc val_metric=0.7783
Step  500 | loss 0.5581 | val_acc=0.7862 val_loss=0.6363 val_f1_macro=0.7109 val_f1_weighted=0.7783 val_prec_macro=0.7452 val_rec_macro=0.7084 val_metric_name=acc val_metric=0.7862
Step  550 | loss 0.5244 | val_acc=0.7965 val_loss=0.6192 val_f1_macro=0.7288 val_f1_weighted=0.7906 val_prec_macro=0.7528 val_rec_macro=0.7259 val_metric_name=acc val_metric=0.7965
Step  600 | loss 0.4870 | val_acc=0.8028 val_loss=0.6053 val_f1_macro=0.7428 val_f1_weighted=0.7984 val_prec_macro=0.7594 val_rec_macro=0.7402 val_metric_name=acc val_metric=0.8028
Step  650 | loss 0.4522 | val_acc=0.8076 val_loss=0.5956 val_f1_macro=0.7524 val_f1_weighted=0.8040 val_prec_macro=0.7659 val_rec_macro=0.7500 val_metric_name=acc val_metric=0.8076
Step  700 | loss 0.4256 | val_acc=0.8108 val_loss=0.5884 val_f1_macro=0.7567 val_f1_weighted=0.8073 val_prec_macro=0.7662 val_rec_macro=0.7559 val_metric_name=acc val_metric=0.8108
Step  750 | loss 0.3902 | val_acc=0.8145 val_loss=0.5826 val_f1_macro=0.7605 val_f1_weighted=0.8118 val_prec_macro=0.7648 val_rec_macro=0.7622 val_metric_name=acc val_metric=0.8145
Step  800 | loss 0.3578 | val_acc=0.8168 val_loss=0.5799 val_f1_macro=0.7634 val_f1_weighted=0.8143 val_prec_macro=0.7654 val_rec_macro=0.7665 val_metric_name=acc val_metric=0.8168
Step  850 | loss 0.3283 | val_acc=0.8221 val_loss=0.5773 val_f1_macro=0.7697 val_f1_weighted=0.8196 val_prec_macro=0.7710 val_rec_macro=0.7724 val_metric_name=acc val_metric=0.8221
Step  900 | loss 0.3083 | val_acc=0.8261 val_loss=0.5784 val_f1_macro=0.7771 val_f1_weighted=0.8237 val_prec_macro=0.7811 val_rec_macro=0.7771 val_metric_name=acc val_metric=0.8261
Step  950 | loss 0.2820 | val_acc=0.8289 val_loss=0.5815 val_f1_macro=0.7828 val_f1_weighted=0.8272 val_prec_macro=0.7840 val_rec_macro=0.7843 val_metric_name=acc val_metric=0.8289
Step 1000 | loss 0.2595 | val_acc=0.8297 val_loss=0.5862 val_f1_macro=0.7830 val_f1_weighted=0.8278 val_prec_macro=0.7850 val_rec_macro=0.7843 val_metric_name=acc val_metric=0.8297
Step 1050 | loss 0.2332 | val_acc=0.8332 val_loss=0.5908 val_f1_macro=0.7881 val_f1_weighted=0.8310 val_prec_macro=0.7913 val_rec_macro=0.7879 val_metric_name=acc val_metric=0.8332
Step 1100 | loss 0.2038 | val_acc=0.8351 val_loss=0.5967 val_f1_macro=0.7925 val_f1_weighted=0.8332 val_prec_macro=0.7953 val_rec_macro=0.7930 val_metric_name=acc val_metric=0.8351
Step 1150 | loss 0.1953 | val_acc=0.8362 val_loss=0.6039 val_f1_macro=0.7934 val_f1_weighted=0.8345 val_prec_macro=0.7949 val_rec_macro=0.7948 val_metric_name=acc val_metric=0.8362
Step 1200 | loss 0.1757 | val_acc=0.8383 val_loss=0.6090 val_f1_macro=0.7979 val_f1_weighted=0.8366 val_prec_macro=0.7986 val_rec_macro=0.8000 val_metric_name=acc val_metric=0.8383
Step 1250 | loss 0.1619 | val_acc=0.8402 val_loss=0.6181 val_f1_macro=0.7993 val_f1_weighted=0.8382 val_prec_macro=0.8005 val_rec_macro=0.8017 val_metric_name=acc val_metric=0.8402
Step 1300 | loss 0.1600 | val_acc=0.8413 val_loss=0.6258 val_f1_macro=0.8014 val_f1_weighted=0.8395 val_prec_macro=0.8018 val_rec_macro=0.8044 val_metric_name=acc val_metric=0.8413
Step 1350 | loss 0.1406 | val_acc=0.8415 val_loss=0.6331 val_f1_macro=0.8000 val_f1_weighted=0.8397 val_prec_macro=0.7993 val_rec_macro=0.8044 val_metric_name=acc val_metric=0.8415
Step 1400 | loss 0.1238 | val_acc=0.8411 val_loss=0.6427 val_f1_macro=0.7991 val_f1_weighted=0.8392 val_prec_macro=0.7988 val_rec_macro=0.8027 val_metric_name=acc val_metric=0.8411
Step 1450 | loss 0.1181 | val_acc=0.8431 val_loss=0.6476 val_f1_macro=0.8002 val_f1_weighted=0.8409 val_prec_macro=0.8004 val_rec_macro=0.8037 val_metric_name=acc val_metric=0.8431
Step 1500 | loss 0.1113 | val_acc=0.8447 val_loss=0.6608 val_f1_macro=0.8017 val_f1_weighted=0.8424 val_prec_macro=0.8025 val_rec_macro=0.8045 val_metric_name=acc val_metric=0.8447
Step 1550 | loss 0.1009 | val_acc=0.8440 val_loss=0.6680 val_f1_macro=0.8014 val_f1_weighted=0.8417 val_prec_macro=0.8016 val_rec_macro=0.8049 val_metric_name=acc val_metric=0.8440
Step 1600 | loss 0.0921 | val_acc=0.8440 val_loss=0.6771 val_f1_macro=0.8022 val_f1_weighted=0.8418 val_prec_macro=0.8025 val_rec_macro=0.8053 val_metric_name=acc val_metric=0.8440
Step 1650 | loss 0.0947 | val_acc=0.8447 val_loss=0.6850 val_f1_macro=0.8017 val_f1_weighted=0.8425 val_prec_macro=0.8013 val_rec_macro=0.8057 val_metric_name=acc val_metric=0.8447
Step 1700 | loss 0.0830 | val_acc=0.8445 val_loss=0.6933 val_f1_macro=0.8018 val_f1_weighted=0.8419 val_prec_macro=0.8020 val_rec_macro=0.8055 val_metric_name=acc val_metric=0.8445
Step 1750 | loss 0.0775 | val_acc=0.8447 val_loss=0.7038 val_f1_macro=0.8017 val_f1_weighted=0.8421 val_prec_macro=0.8031 val_rec_macro=0.8039 val_metric_name=acc val_metric=0.8447
Step 1800 | loss 0.0721 | val_acc=0.8470 val_loss=0.7039 val_f1_macro=0.8038 val_f1_weighted=0.8445 val_prec_macro=0.8045 val_rec_macro=0.8069 val_metric_name=acc val_metric=0.8470
Step 1850 | loss 0.0658 | val_acc=0.8473 val_loss=0.7124 val_f1_macro=0.8045 val_f1_weighted=0.8451 val_prec_macro=0.8042 val_rec_macro=0.8084 val_metric_name=acc val_metric=0.8473
Step 1900 | loss 0.0595 | val_acc=0.8464 val_loss=0.7188 val_f1_macro=0.8045 val_f1_weighted=0.8440 val_prec_macro=0.8048 val_rec_macro=0.8076 val_metric_name=acc val_metric=0.8464
Step 1950 | loss 0.0593 | val_acc=0.8478 val_loss=0.7232 val_f1_macro=0.8058 val_f1_weighted=0.8457 val_prec_macro=0.8069 val_rec_macro=0.8073 val_metric_name=acc val_metric=0.8478
Step 2000 | loss 0.0527 | val_acc=0.8494 val_loss=0.7319 val_f1_macro=0.8070 val_f1_weighted=0.8467 val_prec_macro=0.8085 val_rec_macro=0.8089 val_metric_name=acc val_metric=0.8494
Step 2050 | loss 0.0510 | val_acc=0.8494 val_loss=0.7359 val_f1_macro=0.8075 val_f1_weighted=0.8469 val_prec_macro=0.8078 val_rec_macro=0.8101 val_metric_name=acc val_metric=0.8494
Step 2100 | loss 0.0487 | val_acc=0.8496 val_loss=0.7433 val_f1_macro=0.8091 val_f1_weighted=0.8474 val_prec_macro=0.8091 val_rec_macro=0.8121 val_metric_name=acc val_metric=0.8496
Step 2150 | loss 0.0467 | val_acc=0.8501 val_loss=0.7434 val_f1_macro=0.8092 val_f1_weighted=0.8479 val_prec_macro=0.8093 val_rec_macro=0.8117 val_metric_name=acc val_metric=0.8501
Step 2200 | loss 0.0448 | val_acc=0.8523 val_loss=0.7459 val_f1_macro=0.8126 val_f1_weighted=0.8498 val_prec_macro=0.8149 val_rec_macro=0.8133 val_metric_name=acc val_metric=0.8523
Step 2250 | loss 0.0419 | val_acc=0.8512 val_loss=0.7596 val_f1_macro=0.8100 val_f1_weighted=0.8487 val_prec_macro=0.8115 val_rec_macro=0.8123 val_metric_name=acc val_metric=0.8512
Step 2300 | loss 0.0425 | val_acc=0.8521 val_loss=0.7577 val_f1_macro=0.8087 val_f1_weighted=0.8495 val_prec_macro=0.8097 val_rec_macro=0.8108 val_metric_name=acc val_metric=0.8521
Step 2350 | loss 0.0383 | val_acc=0.8512 val_loss=0.7737 val_f1_macro=0.8097 val_f1_weighted=0.8485 val_prec_macro=0.8104 val_rec_macro=0.8130 val_metric_name=acc val_metric=0.8512
