study,graph,partial_arm,n_optimizer_seeds,mean_delta_pp,sample_sd_pp,standard_error_pp,conditional_95_low_pp,conditional_95_high_pp
validation_tuning,cora,private_first,3,0.0666666666666667,1.0408329997330663,0.6009252125773316,-2.5189058396949267,2.6522391730282604
validation_tuning,wikics,private_last,3,0.7411208026908386,0.23964254668472382,0.13835768883771277,0.145815715110599,1.3364258902710782
validation_tuning,actor,private_first,3,-0.43859649122807004,1.2591997561364554,0.7269993181688937,-3.5666220921828997,2.6894291097267593
validation_tuning,chameleon_filtered,private_last,3,-3.0927835051546393,5.808983334837446,3.3538180920864495,-17.52309807465841,11.337531064349132
planetoid_confirmation,citeseer,private_first,3,-1.8333333333333335,1.1676186592091329,0.6741249472052229,-4.7338588777195785,1.067192211052912
planetoid_confirmation,pubmed,private_last,3,-0.8666666666666667,0.6429100507328637,0.37118429085533483,-2.463743769011369,0.7304104356780354
cora_preprocessing,cora_raw,private_first,3,-0.13333333333333333,1.0016652800877812,0.5783117190965824,-2.6216078302374055,2.354941163570739
cora_preprocessing,cora_normalized,private_last,3,2.4333333333333336,1.80092568789868,1.0397649306988148,-2.0404140841922063,6.907080750858873
