seed,variant,selected_epoch,valid_accuracy,valid_ce,test_accuracy,test_ce,parameter_count,trainable_parameter_count,epochs_run,train_step_seconds_total,validation_seconds_total,total_seconds,mean_train_step_ms,median_train_step_ms,peak_allocated_mib,checkpoint_sha256
0,base,892,0.7265344262123108,0.9575362801551819,0.7168487906455994,0.9977747797966003,187048,187048,1000,54.61446610838175,21.919670097529888,77.61608526110649,54.61446610838175,54.46714162826538,2353.25048828125,8aceae6852b0cb3fbf3be503614d95e90cbca5b926f7d77e3251f0eb0a0196ec
0,ens,918,0.7324742078781128,0.9125155210494995,0.7208197116851807,0.95890212059021,748192,748192,1000,217.714857570827,86.2008354216814,307.07884289324284,217.714857570827,217.66750141978264,2362.126953125,ca2d7f97d1750f0d979f0c42516d16ec2f96175326569e80628f15186c894483
0,gnnm,996,0.717070996761322,0.9139295816421509,0.7103059887886047,0.9470114707946777,189248,189248,1000,223.2672458589077,85.49217461794615,310.4769128188491,223.2672458589077,223.21390733122826,2519.68359375,f2d05109b23949318ec9d95f99d21e450134236d8f3cdbf4e5fb9cf2ed72c818
1,base,691,0.7221382856369019,0.943733811378479,0.7128572463989258,0.9835147261619568,187048,187048,1000,54.78772222995758,22.069952733814716,77.7585181593895,54.78772222995758,54.75570634007454,2353.25048828125,be7ef731911eaeaa7e4a7a448b0f8d4c4c6f937f7317409c8f29847e1c9d5abf
1,ens,958,0.7328433394432068,0.9123495817184448,0.7225480079650879,0.9553298950195312,748192,748192,1000,217.70449214428663,86.14118321239948,306.7473533526063,217.70449214428663,217.52414107322693,2362.126953125,0533c1f19ee3baf75694e1135494deacddd3edfc9f11c986289e6f230cd4938e
1,gnnm,988,0.7160307168960571,0.9225113391876221,0.706479012966156,0.9659618139266968,189248,189248,1000,223.75328385829926,85.80892150849104,317.0777840092778,223.75328385829926,223.67876395583153,2519.68359375,cf25739c95e6e107e681db677c339b09e253bb45aba8f47554182e1329cc2208
2,base,944,0.72505784034729,0.9578946232795715,0.7153056263923645,1.001140832901001,187048,187048,1000,54.49612866342068,21.903784193098545,77.39105128496885,54.49612866342068,54.46983873844147,2353.25048828125,7ea102f763495e0535e86be7233a6b39a191546ec59c2a330e29ca8fb5b46bf9
2,ens,998,0.7321050763130188,0.9122082591056824,0.720922589302063,0.9625489115715027,748192,748192,1000,222.33085247129202,86.80646919459105,312.14713107794523,222.33085247129202,217.44664758443832,2362.126953125,919a673431bfd93b7fde2db1aff31fa312aff572abc43b367a9d425c5bdf1480
2,gnnm,904,0.715594470500946,0.923195481300354,0.707939863204956,0.9614697098731995,189248,189248,1000,223.49152518808842,85.80189054459333,310.8528084680438,223.49152518808842,223.42230007052422,2519.68359375,beefe5dee6858a5f11f9f1045ffb3b4f5baf2b13cbf7081a91c553ab70750260
