seed,variant,num_members,test_nodes,mean_member_accuracy,pooled_accuracy,pool_minus_mean_member_accuracy,pairwise_prediction_disagreement,all_members_wrong_fraction,all_members_correct_fraction,pooled_correct_with_no_correct_member_fraction
0,base,1,48603,0.7083513363372631,0.7083513363372631,0.0,,0.2916486636627369,0.7083513363372631,0.0
0,ens,4,48603,0.707559204164352,0.7127955064502192,0.005236302285867134,0.09557366143379353,0.2320638643705121,0.6431701746805752,0.00012344916980433306
0,gnnm,4,48603,0.688481163714174,0.6941752566713989,0.005694092957224894,0.09413342111940964,0.25339999588502765,0.6283151245807872,0.00016459889307244408
1,base,1,48603,0.7026932493878979,0.7026932493878979,0.0,,0.29730675061210216,0.7026932493878979,0.0
1,ens,4,48603,0.7036036870152048,0.7101207744377919,0.006517087422587053,0.09695560630688092,0.23533526737032692,0.6388288788757895,0.00016459889307244408
1,gnnm,4,48603,0.6833683105981112,0.687920498734646,0.004552188136534796,0.09069056093931101,0.2602514248091682,0.6249408472728021,6.172458490216653e-05
2,base,1,48603,0.7081250128592885,0.7081250128592885,0.0,,0.2918749871407115,0.7081250128592885,0.0
2,ens,4,48603,0.7054451371314527,0.7099767504063536,0.004531613274900814,0.09311839461212956,0.23564389029483776,0.642696952862992,0.00010287430817027755
2,gnnm,4,48603,0.6839546941546818,0.6887023434767401,0.004747649322058289,0.09364648272740367,0.2581939386457626,0.6229450856942987,4.114972326811102e-05
