epoch,train_mean_member_ce,valid_pooled_accuracy,valid_pooled_ce,train_step_seconds,validation_seconds,elapsed_seconds,is_selected_so_far
1,4.286332964897156,0.08449947834014893,3.358961582183838,0.23175274580717087,0.08586905896663666,0.3244282901287079,1
2,3.6764951944351196,0.277224063873291,2.9068710803985596,0.2235194742679596,0.08572972565889359,0.6403044164180756,1
3,3.417598009109497,0.28779488801956177,2.826843023300171,0.2235775887966156,0.08580414950847626,0.9563024640083313,1
4,3.3121086955070496,0.13799120485782623,2.8834149837493896,0.2234206274151802,0.08577389270067215,1.2655607014894485,0
5,3.227840483188629,0.08570756763219833,2.9433388710021973,0.2234736829996109,0.08580902963876724,1.5749018639326096,0
6,3.177391469478607,0.1609785556793213,2.915005683898926,0.2234317809343338,0.08583711832761765,1.8842223435640335,0
7,3.137832522392273,0.2860162854194641,2.853424549102783,0.22368007898330688,0.08582157641649246,2.1937828809022903,0
8,3.1030132174491882,0.29531189799308777,2.807849645614624,0.2234327718615532,0.08577752858400345,2.5101121217012405,1
9,3.077084243297577,0.29658710956573486,2.782747745513916,0.22359726577997208,0.08573943376541138,2.82599039375782,1
10,3.048334062099457,0.2991039752960205,2.7655115127563477,0.22372491657733917,0.085856132209301,3.143265649676323,1
11,3.0188682079315186,0.3006812334060669,2.728494167327881,0.2234288901090622,0.08579518646001816,3.4600302800536156,1
12,2.9843851923942566,0.30826535820961,2.663296699523926,0.22361323237419128,0.08585406094789505,3.775666929781437,1
13,2.945848047733307,0.3041377067565918,2.595782995223999,0.22347092628479004,0.0858134999871254,4.085011996328831,0
14,2.905554950237274,0.3036007881164551,2.5423669815063477,0.2235855907201767,0.08573870360851288,4.394403837621212,0
15,2.865169882774353,0.30870163440704346,2.4951603412628174,0.22368977963924408,0.08594617992639542,4.711766235530376,1
16,2.822424829006195,0.3215208351612091,2.438624143600464,0.2234805002808571,0.08587731420993805,5.027432627975941,1
17,2.779613673686981,0.3419242203235626,2.375094413757324,0.2236030548810959,0.08590511977672577,5.343207277357578,1
18,2.740628182888031,0.36118659377098083,2.317538261413574,0.2242152839899063,0.0858527272939682,5.660296589136124,1
19,2.7020081281661987,0.3753145933151245,2.2641170024871826,0.2236880585551262,0.08581054955720901,5.976334728300571,1
20,2.662392795085907,0.3802812099456787,2.212724208831787,0.22365586459636688,0.08588457107543945,6.2921272069215775,1
21,2.6240654587745667,0.38407328724861145,2.168827533721924,0.2236066237092018,0.08578696101903915,6.609233163297176,1
22,2.586411476135254,0.3995435833930969,2.1284635066986084,0.22373223304748535,0.08584149926900864,6.925764806568623,1
23,2.5492777228355408,0.4136044681072235,2.093299150466919,0.22358103841543198,0.08573246002197266,7.242006242275238,1
24,2.513110041618347,0.42279940843582153,2.0625667572021484,0.22354482859373093,0.08583734184503555,7.55816425383091,1
25,2.4755837321281433,0.42860496044158936,2.034712076187134,0.22374175488948822,0.08570177108049393,7.875041373074055,1
26,2.437516152858734,0.43897444009780884,2.0000429153442383,0.2235788181424141,0.08577213436365128,8.191280715167522,1
27,2.399175524711609,0.4521292448043823,1.9635298252105713,0.22360575199127197,0.08582258969545364,8.507739409804344,1
28,2.3640595078468323,0.4614584147930145,1.930720329284668,0.22393415123224258,0.08580809831619263,8.82472962886095,1
29,2.3306156396865845,0.46904256939888,1.899933099746704,0.22357958555221558,0.08574782311916351,9.140566766262054,1
30,2.2959676384925842,0.47246548533439636,1.8674187660217285,0.22462861984968185,0.08588096499443054,9.458699077367783,1
31,2.26171737909317,0.4778348207473755,1.8391387462615967,0.22332385927438736,0.08582980930805206,9.77459815889597,1
32,2.2326866388320923,0.4843115210533142,1.8150535821914673,0.22360699623823166,0.08584635704755783,10.090940110385418,1
33,2.201241374015808,0.48914390802383423,1.7936254739761353,0.22354256361722946,0.08583391457796097,10.406382732093334,1
34,2.173162341117859,0.4955199658870697,1.770978331565857,0.2236134335398674,0.08598849177360535,10.722237229347229,1
35,2.14162015914917,0.5027349591255188,1.7467174530029297,0.2234089896082878,0.08577398210763931,11.038105599582195,1
36,2.1139347553253174,0.5102855563163757,1.7241309881210327,0.2235308587551117,0.08564869314432144,11.353527262806892,1
37,2.085909843444824,0.5147152543067932,1.7075645923614502,0.22356347739696503,0.08581243455410004,11.670420624315739,1
38,2.0612699389457703,0.5176683664321899,1.6937692165374756,0.2233860045671463,0.08577470481395721,11.985798515379429,1
39,2.0399855971336365,0.5212926268577576,1.6771913766860962,0.22342479974031448,0.08576244860887527,12.30117941647768,1
40,2.012987643480301,0.5270310640335083,1.6570099592208862,0.22343367338180542,0.08575424551963806,12.616529807448387,1
41,1.9930248260498047,0.5294137001037598,1.640852689743042,0.22356712073087692,0.08581005781888962,12.93258323520422,1
42,1.9711014330387115,0.53401118516922,1.626529335975647,0.2235618233680725,0.08578690141439438,13.248603589832783,1
43,1.9505683481693268,0.5395482778549194,1.6075972318649292,0.22356850653886795,0.08581948280334473,13.564992256462574,1
44,1.9290547668933868,0.5452196002006531,1.5895743370056152,0.22343313694000244,0.08573330193758011,13.882963664829731,1
45,1.9090825021266937,0.5495486259460449,1.572909951210022,0.2236761823296547,0.08574630320072174,14.198788329958916,1
46,1.8892334401607513,0.5552199482917786,1.5532691478729248,0.2233901023864746,0.08563611656427383,14.513741709291935,1
47,1.8697384893894196,0.5608241558074951,1.5362340211868286,0.2234238162636757,0.08574487268924713,14.829152286052704,1
48,1.8532108962535858,0.5641463994979858,1.5211378335952759,0.22352729737758636,0.08584001660346985,15.146335206925869,1
49,1.8334169387817383,0.5673680305480957,1.5048390626907349,0.22354033589363098,0.08584901690483093,15.462665162980556,1
50,1.8164785206317902,0.5703882575035095,1.4923609495162964,0.22346867620944977,0.08585906773805618,15.779050454497337,1
51,1.8012113273143768,0.5754219889640808,1.4755719900131226,0.22343835979700089,0.08575646579265594,16.0956746712327,1
52,1.7846834361553192,0.5796502828598022,1.4601126909255981,0.22361839562654495,0.08602362126111984,16.41280560940504,1
53,1.7687748968601227,0.5825698375701904,1.4485712051391602,0.22352521121501923,0.08570769429206848,16.72815728187561,1
54,1.7554002404212952,0.5860263705253601,1.4336369037628174,0.22343482077121735,0.08578847348690033,17.043893955647945,1
55,1.7377285957336426,0.5889794826507568,1.4220610857009888,0.22352148592472076,0.0859038382768631,17.360121965408325,1
56,1.7258298099040985,0.5912950038909912,1.4113386869430542,0.2234089970588684,0.08571363985538483,17.67510836571455,1
57,1.7129138112068176,0.5962616205215454,1.3987066745758057,0.22352981567382812,0.08581235259771347,17.991181030869484,1
58,1.6967870891094208,0.5972012281417847,1.393115758895874,0.2238011285662651,0.08600618690252304,18.30825364589691,1
59,1.6864833235740662,0.5997180938720703,1.3821120262145996,0.2237367108464241,0.08575840294361115,18.625475496053696,1
60,1.672134280204773,0.6015302538871765,1.3727999925613403,0.2237093448638916,0.08582743257284164,18.941467225551605,1
61,1.6609695553779602,0.6015638113021851,1.367962121963501,0.22352008521556854,0.08585008233785629,19.25908960402012,1
62,1.6500909924507141,0.6037114858627319,1.3584527969360352,0.22358807921409607,0.08581052720546722,19.575370393693447,1
63,1.6364356577396393,0.6060941219329834,1.3491661548614502,0.22376437485218048,0.08575905114412308,19.89239512383938,1
64,1.6257417500019073,0.608913004398346,1.3389610052108765,0.22366250306367874,0.08581121265888214,20.20830114930868,1
65,1.613753855228424,0.6100540161132812,1.3295252323150635,0.2236243188381195,0.08576985448598862,20.523527085781097,1
66,1.6039802730083466,0.6120004057884216,1.3231525421142578,0.22363191843032837,0.08583822846412659,20.84047044068575,1
67,1.5925390124320984,0.6132755875587463,1.316286325454712,0.223777636885643,0.0858149603009224,21.158603973686695,1
68,1.582249790430069,0.6139131784439087,1.3068110942840576,0.22366861253976822,0.0858469307422638,21.47436185181141,1
69,1.5730898678302765,0.6151548624038696,1.3012562990188599,0.2235470712184906,0.08581022173166275,21.789910525083542,1
70,1.5660523474216461,0.6159937977790833,1.2964013814926147,0.22343278676271439,0.08577138185501099,22.105722717940807,1
71,1.5552414059638977,0.6177388429641724,1.2886137962341309,0.2236730456352234,0.08583875000476837,22.421754203736782,1
72,1.5461875200271606,0.6188126802444458,1.2811415195465088,0.22351446002721786,0.08587146550416946,22.73757027834654,1
73,1.5378004908561707,0.6202892661094666,1.2773455381393433,0.22429795563220978,0.08597465604543686,23.057591438293457,1
74,1.5273737609386444,0.6222691535949707,1.2688692808151245,0.2236771434545517,0.08581385761499405,23.375090397894382,1
75,1.5219159424304962,0.6237121820449829,1.2607342004776,0.22374792397022247,0.08567343652248383,23.691209249198437,1
76,1.5128684341907501,0.624517560005188,1.256072759628296,0.2237919643521309,0.08592870831489563,24.007408685982227,1
77,1.5045472085475922,0.6247860193252563,1.2508985996246338,0.22349833697080612,0.08575356751680374,24.323075830936432,1
78,1.4968070685863495,0.6271015405654907,1.2449113130569458,0.2234218865633011,0.08573697507381439,24.638760522007942,1
79,1.4894529581069946,0.6287123560905457,1.2401074171066284,0.22389258444309235,0.08589322865009308,24.954791344702244,1
80,1.483621895313263,0.6288465857505798,1.23452627658844,0.2234879583120346,0.08576562255620956,25.27066621929407,1
81,1.475025624036789,0.6293163895606995,1.2305219173431396,0.22360862791538239,0.08583984524011612,25.586976625025272,1
82,1.469296246767044,0.6307929754257202,1.227954387664795,0.2234690934419632,0.08574487268924713,25.907028913497925,1
83,1.461755484342575,0.6334776282310486,1.2163565158843994,0.2235335037112236,0.08581407368183136,26.22283174842596,1
84,1.45685476064682,0.6339474320411682,1.215517282485962,0.22348544001579285,0.08581744134426117,26.539521872997284,1
85,1.4483968317508698,0.6349541544914246,1.2096586227416992,0.22339008003473282,0.08574864268302917,26.85540932416916,1
86,1.441836953163147,0.6360951662063599,1.201187252998352,0.22341051697731018,0.08588282018899918,27.172450341284275,1
87,1.4371478259563446,0.636598527431488,1.2016322612762451,0.22369275242090225,0.08578359335660934,27.488564528524876,1
