dataset,model,num_layers,hidden_dim,lr,split,num_model_seeds,best_steps,individual_val_metrics,individual_val_accs,train_metric_name,train_metric,train_acc,train_loss,train_roc_auc,train_f1_macro,train_f1_weighted,train_prec_macro,train_rec_macro,val_metric_name,val_metric,val_acc,val_loss,val_roc_auc,val_f1_macro,val_f1_weighted,val_prec_macro,val_rec_macro,test_metric_name,test_metric,test_acc,test_loss,test_roc_auc,test_f1_macro,test_f1_weighted,test_prec_macro,test_rec_macro
roman-empire,GT,2,512,3e-05,5,4,"[1520, 2350, 1900, 2360]","[0.8397, 0.8404, 0.8464, 0.8452]","[0.8397, 0.8404, 0.8464, 0.8452]",acc,1.0,1.0,0.00025233658379875124,,1.0,1.0,1.0,1.0,acc,0.8488967418670654,0.8488967418670654,0.8872382044792175,,0.8089606710694128,0.8459779389336252,0.8110991671126354,0.8099330400078041,acc,0.8593363761901855,0.8593363761901855,0.8052618503570557,,0.8221495972273243,0.8566338472918987,0.8282526456702194,0.8197305777029008
roman-empire,GT,3,512,3e-05,5,4,"[3300, 1700, 880, 2540]","[0.8662, 0.8643, 0.8581, 0.8634]","[0.8662, 0.8643, 0.8581, 0.8634]",acc,1.0,1.0,9.369830513605848e-05,,1.0,1.0,1.0,1.0,acc,0.8690202832221985,0.8690202832221985,0.7506364583969116,,0.8391132666942344,0.8667490667888066,0.8410283409093176,0.839739900505885,acc,0.8805153369903564,0.8805153369903564,0.6813793182373047,,0.8475358356886868,0.8784442834493691,0.8528197888915483,0.844880956825676
roman-empire,GT,4,512,3e-05,5,4,"[2530, 4080, 1450, 2880]","[0.875, 0.8805, 0.8729, 0.8757]","[0.875, 0.8805, 0.8729, 0.8757]",acc,1.0,1.0,2.067513378278818e-05,,1.0,1.0,1.0,1.0,acc,0.8829655647277832,0.8829655647277832,0.7396537065505981,,0.8558811738818434,0.8809538175608552,0.8594342436597883,0.8541895841169332,acc,0.8914577960968018,0.8914577960968018,0.6727994680404663,,0.8609460923696984,0.8897747864175977,0.8667426461641928,0.857970210893362
roman-empire,GT,5,512,3e-05,5,4,"[3250, 2460, 2990, 3180]","[0.884, 0.883, 0.8861, 0.8837]","[0.884, 0.883, 0.8861, 0.8837]",acc,1.0,1.0,1.3420599316305015e-05,,1.0,1.0,1.0,1.0,acc,0.888614296913147,0.888614296913147,0.7258561253547668,,0.8633683390965908,0.8867395316606194,0.8642216025079106,0.8644419843508081,acc,0.8956936001777649,0.8956936001777649,0.6513212323188782,,0.866527592983814,0.8940774171426747,0.8745711308969387,0.8618723329372648
roman-empire,GT,1,512,3e-05,6,4,"[780, 960, 880, 780]","[0.7914, 0.7942, 0.7875, 0.7873]","[0.7914, 0.7942, 0.7875, 0.7873]",acc,0.9897626042366028,0.9897626042366028,0.04667232930660248,,0.9856391184685955,0.9897595998969947,0.9863512840607702,0.9852909370212015,acc,0.7957634329795837,0.7957634329795837,0.8441562056541443,,0.7462160343709452,0.7924338393534988,0.753014702906005,0.7435188473412832,acc,0.7943875789642334,0.7943875789642334,0.8449006676673889,,0.7413364320670908,0.791034916272244,0.7483245035378462,0.7378798560639732
roman-empire,GT,2,512,3e-05,6,4,"[1620, 1450, 1000, 1750]","[0.8355, 0.8392, 0.8413, 0.8357]","[0.8355, 0.8392, 0.8413, 0.8357]",acc,0.9999117851257324,0.9999117851257324,0.0006085006752982736,,0.9999003758293852,0.9999117901511825,0.9998456790123456,0.9999553052650398,acc,0.8427184224128723,0.8427184224128723,0.8476545214653015,,0.8113183560541106,0.8413338923010231,0.8094656656879801,0.8156736804275981,acc,0.8487468957901001,0.8487468957901001,0.8120129108428955,,0.8170750422213194,0.8471642833687295,0.8201269004316535,0.8161725796805513
roman-empire,GT,3,512,3e-05,6,4,"[2840, 2220, 2690, 4580]","[0.8609, 0.8618, 0.8607, 0.8667]","[0.8609, 0.8618, 0.8607, 0.8667]",acc,1.0,1.0,1.3056474926997907e-05,,1.0,1.0,1.0,1.0,acc,0.8690202832221985,0.8690202832221985,0.866503894329071,,0.8421949951701614,0.8677377874206896,0.8439123488257181,0.8427100513010946,acc,0.8734557032585144,0.8734557032585144,0.8406553864479065,,0.8454805757362995,0.8718910569780708,0.8474485685757573,0.8459936879049808
roman-empire,GT,4,512,3e-05,6,4,"[2910, 2560, 3060, 2730]","[0.8789, 0.8734, 0.874, 0.8761]","[0.8789, 0.8734, 0.874, 0.8761]",acc,1.0,1.0,1.509003050159663e-05,,1.0,1.0,1.0,1.0,acc,0.8815533518791199,0.8815533518791199,0.794370174407959,,0.8569031839496045,0.8803950807703702,0.8592344164774489,0.8569848266517012,acc,0.8843981623649597,0.8843981623649597,0.7729981541633606,,0.8591340340368337,0.883064459139439,0.8584118854868974,0.862102322559296
roman-empire,GT,5,512,3e-05,6,4,"[2780, 2930, 2490, 1800]","[0.8851, 0.8858, 0.8861, 0.88]","[0.8851, 0.8858, 0.8861, 0.88]",acc,1.0,1.0,2.4738155843806453e-05,,1.0,1.0,1.0,1.0,acc,0.8889673352241516,0.8889673352241516,0.7241563200950623,,0.8636638412872377,0.8878885133554102,0.8630526342389124,0.866342174314932,acc,0.893399178981781,0.893399178981781,0.7007600665092468,,0.8672558908555579,0.8921519149099946,0.8666907411528857,0.8701930964598227
roman-empire,GT,1,512,3e-05,7,4,"[790, 780, 850, 1020]","[0.7944, 0.7914, 0.7919, 0.7908]","[0.7944, 0.7914, 0.7919, 0.7908]",acc,0.9901156425476074,0.9901156425476074,0.04494909942150116,,0.9857285764937905,0.9901060568200551,0.9862642166969979,0.9854128017019954,acc,0.7999999523162842,0.7999999523162842,0.8288908004760742,,0.7456223300223006,0.795620546317128,0.751624575436592,0.7433622211761455,acc,0.7993292808532715,0.7993292808532715,0.8534802198410034,,0.7424869201407681,0.7940548637064392,0.7527548788792175,0.736858760800819
roman-empire,GT,2,512,3e-05,7,4,"[2870, 1950, 2030, 2420]","[0.8395, 0.8436, 0.8388, 0.8411]","[0.8395, 0.8436, 0.8388, 0.8411]",acc,1.0,1.0,5.3305131586967036e-05,,1.0,1.0,1.0,1.0,acc,0.8504854440689087,0.8504854440689087,0.9920242428779602,,0.8184996916600881,0.8480082414857925,0.8226004143956875,0.8179477179781116,acc,0.8519237041473389,0.8519237041473389,0.9741199016571045,,0.8158210391280956,0.8495660435041655,0.8196296079390084,0.815626812873212
roman-empire,GT,3,512,3e-05,7,4,"[1490, 2600, 2400, 1660]","[0.857, 0.8583, 0.863, 0.8544]","[0.857, 0.8583, 0.863, 0.8544]",acc,1.0,1.0,5.928482278250158e-05,,1.0,1.0,1.0,1.0,acc,0.864077627658844,0.864077627658844,0.837130069732666,,0.834721133264397,0.8616650177678119,0.839654930111392,0.8329546494079121,acc,0.8658665418624878,0.8658665418624878,0.8378374576568604,,0.8318701219775998,0.8639137281462876,0.8361226176509343,0.8312921715064931
