dataset,model,variant,k,num_layers,hidden_dim,lr,num_params,mean_step_ms,std_step_ms,peak_mem_mb
tolokers,ResNet,TABM_k8,8,5,512,3e-05,2650720,134.509,1.359,804.3
tolokers,GCN,BASE,1,1,512,3e-05,796161,31.065,0.283,4267.2
tolokers,GCN,ENS_k4,4,1,512,3e-05,3184644,123.213,0.832,4303.6
tolokers,GCN,TABM_k2,2,1,512,3e-05,798744,62.609,0.458,4293.7
tolokers,GCN,TABM_k4,4,1,512,3e-05,801840,124.771,0.618,4293.8
tolokers,GCN,TABM_k8,8,1,512,3e-05,808032,248.843,0.911,4293.9
tolokers,GCN,BASE,1,2,512,3e-05,1585153,60.08,0.399,4407.0
tolokers,GCN,ENS_k4,4,2,512,3e-05,6340612,239.853,0.829,4479.6
tolokers,GCN,TABM_k2,2,2,512,3e-05,1587736,121.107,0.593,4436.6
tolokers,GCN,TABM_k4,4,2,512,3e-05,1590832,241.737,0.852,4436.6
tolokers,GCN,TABM_k8,8,2,512,3e-05,1597024,483.885,1.969,4436.7
tolokers,GCN,BASE,1,3,512,3e-05,2374145,89.396,0.456,4546.8
tolokers,GCN,ENS_k4,4,3,512,3e-05,9496580,356.973,1.103,4655.5
tolokers,GCN,TABM_k2,2,3,512,3e-05,2376728,179.629,0.74,4579.4
tolokers,GCN,TABM_k4,4,3,512,3e-05,2379824,358.797,1.157,4579.4
tolokers,GCN,TABM_k8,8,3,512,3e-05,2386016,717.325,1.515,4579.5
tolokers,GCN,BASE,1,4,512,3e-05,3163137,118.672,0.566,4686.8
tolokers,GCN,ENS_k4,4,4,512,3e-05,12652548,474.189,1.324,4831.6
tolokers,GCN,TABM_k2,2,4,512,3e-05,3165720,238.74,0.846,4722.4
tolokers,GCN,TABM_k4,4,4,512,3e-05,3168816,475.624,1.001,4722.4
tolokers,GCN,TABM_k8,8,4,512,3e-05,3175008,951.526,1.986,4722.5
tolokers,GCN,BASE,1,5,512,3e-05,3952129,148.084,0.653,4826.8
tolokers,GCN,ENS_k4,4,5,512,3e-05,15808516,591.508,1.372,5007.7
tolokers,GCN,TABM_k2,2,5,512,3e-05,3954712,297.226,0.927,4865.3
tolokers,GCN,TABM_k4,4,5,512,3e-05,3957808,592.959,1.298,4865.4
tolokers,GCN,TABM_k8,8,5,512,3e-05,3964000,1186.737,2.481,4865.5
tolokers,SAGE,BASE,1,1,512,3e-05,1320449,27.865,0.264,2224.1
tolokers,SAGE,ENS_k4,4,1,512,3e-05,5281796,111.103,0.657,2285.3
tolokers,SAGE,TABM_k2,2,1,512,3e-05,1323032,56.592,0.402,2247.6
tolokers,SAGE,TABM_k4,4,1,512,3e-05,1326128,112.757,0.614,2247.6
tolokers,SAGE,TABM_k8,8,1,512,3e-05,1332320,225.617,1.021,2247.7
tolokers,SAGE,BASE,1,2,512,3e-05,2633729,54.214,0.353,2411.5
tolokers,SAGE,ENS_k4,4,2,512,3e-05,10534916,216.575,0.91,2534.1
tolokers,SAGE,TABM_k2,2,2,512,3e-05,2636312,109.282,0.54,2440.1
tolokers,SAGE,TABM_k4,4,2,512,3e-05,2639408,218.487,0.918,2440.2
tolokers,SAGE,TABM_k8,8,2,512,3e-05,2645600,436.247,1.237,2440.3
tolokers,SAGE,BASE,1,3,512,3e-05,3947009,80.588,0.435,2599.6
tolokers,SAGE,ENS_k4,4,3,512,3e-05,15788036,321.84,0.96,2780.8
tolokers,SAGE,TABM_k2,2,3,512,3e-05,3949592,162.255,0.653,2633.2
tolokers,SAGE,TABM_k4,4,3,512,3e-05,3952688,324.278,1.298,2633.2
tolokers,SAGE,TABM_k8,8,3,512,3e-05,3958880,648.237,2.028,2633.3
tolokers,SAGE,BASE,1,4,512,3e-05,5260289,106.932,0.499,2786.4
tolokers,SAGE,ENS_k4,4,4,512,3e-05,21041156,427.448,1.119,3029.6
tolokers,SAGE,TABM_k2,2,4,512,3e-05,5262872,214.685,0.723,2825.5
tolokers,SAGE,TABM_k4,4,4,512,3e-05,5265968,428.974,1.158,2825.5
tolokers,SAGE,TABM_k8,8,4,512,3e-05,5272160,858.546,2.375,2825.6
tolokers,SAGE,BASE,1,5,512,3e-05,6573569,133.422,0.525,2973.7
tolokers,SAGE,ENS_k4,4,5,512,3e-05,26294276,533.127,1.248,3276.8
tolokers,SAGE,TABM_k2,2,5,512,3e-05,6576152,268.256,0.956,3017.2
tolokers,SAGE,TABM_k4,4,5,512,3e-05,6579248,535.2,1.372,3017.3
tolokers,SAGE,TABM_k8,8,5,512,3e-05,6585440,1069.076,2.216,3017.4
tolokers,GAT,BASE,1,1,512,3e-05,797185,40.209,0.31,8534.1
tolokers,GAT,ENS_k4,4,1,512,3e-05,3188740,160.512,0.723,8570.6
tolokers,GAT,TABM_k2,2,1,512,3e-05,799768,81.033,0.513,8558.5
tolokers,GAT,TABM_k4,4,1,512,3e-05,802864,162.205,0.928,8558.6
tolokers,GAT,TABM_k8,8,1,512,3e-05,809056,322.838,0.872,8558.7
tolokers,GAT,BASE,1,2,512,3e-05,1587201,78.556,0.37,10879.3
tolokers,GAT,ENS_k4,4,2,512,3e-05,6348804,314.559,0.933,10952.0
tolokers,GAT,TABM_k2,2,2,512,3e-05,1589784,158.216,0.72,10906.8
tolokers,GAT,TABM_k4,4,2,512,3e-05,1592880,315.89,0.974,10906.9
tolokers,GAT,TABM_k8,8,2,512,3e-05,1599072,633.778,1.954,10907.0
tolokers,GAT,BASE,1,3,512,3e-05,2377217,117.301,0.509,13224.2
tolokers,GAT,ENS_k4,4,3,512,3e-05,9508868,467.887,1.009,13333.0
tolokers,GAT,TABM_k2,2,3,512,3e-05,2379800,235.57,0.817,13254.7
tolokers,GAT,TABM_k4,4,3,512,3e-05,2382896,471.046,1.347,13254.7
tolokers,GAT,TABM_k8,8,3,512,3e-05,2389088,939.717,1.593,13254.8
tolokers,GAT,BASE,1,4,512,3e-05,3167233,155.732,0.538,15569.0
tolokers,GAT,ENS_k4,4,4,512,3e-05,12668932,622.458,1.222,15714.0
tolokers,GAT,TABM_k2,2,4,512,3e-05,3169816,312.397,0.807,15602.6
tolokers,GAT,TABM_k4,4,4,512,3e-05,3172912,624.64,1.331,15602.6
tolokers,GAT,TABM_k8,8,4,512,3e-05,3179104,1250.881,2.607,15602.7
tolokers,GAT,BASE,1,5,512,3e-05,3957249,194.289,0.553,17914.8
tolokers,GAT,ENS_k4,4,5,512,3e-05,15828996,776.972,1.275,18096.0
tolokers,GAT,TABM_k2,2,5,512,3e-05,3959832,390.302,0.975,17951.4
tolokers,GAT,TABM_k4,4,5,512,3e-05,3962928,780.03,1.56,17951.4
tolokers,GAT,TABM_k8,8,5,512,3e-05,3969120,1557.644,2.645,17951.5
tolokers,GAT-sep,BASE,1,1,512,3e-05,1321985,90.35,0.374,12632.7
tolokers,GAT-sep,ENS_k4,4,1,512,3e-05,5287940,361.229,0.88,12693.5
tolokers,GAT-sep,TABM_k2,2,1,512,3e-05,1324568,181.616,0.542,12658.2
tolokers,GAT-sep,TABM_k4,4,1,512,3e-05,1327664,362.817,0.8,12658.3
tolokers,GAT-sep,TABM_k8,8,1,512,3e-05,1333856,725.645,1.521,12658.4
tolokers,GAT-sep,BASE,1,2,512,3e-05,2636801,179.533,0.533,19052.2
tolokers,GAT-sep,ENS_k4,4,2,512,3e-05,10547204,717.052,1.223,19174.2
tolokers,GAT-sep,TABM_k2,2,2,512,3e-05,2639384,359.856,0.868,19082.7
