dataset,model,variant,k,num_layers,hidden_dim,lr,num_params,mean_step_ms,std_step_ms,peak_mem_mb
roman-empire,SAGE,BASE,1,5,512,3e-05,6730770,72.47,0.124,2051.0
roman-empire,SAGE,ENS_k4,4,5,512,3e-05,26923080,288.971,0.374,2360.7
roman-empire,SAGE,TABM_k2,2,5,512,3e-05,6733984,147.293,0.403,2246.5
roman-empire,SAGE,TABM_k4,4,5,512,3e-05,6737728,293.915,0.379,2246.6
roman-empire,SAGE,TABM_k8,8,5,512,3e-05,6745216,587.257,0.639,2246.7
roman-empire,GAT,BASE,1,1,512,3e-05,954386,13.953,0.148,997.7
roman-empire,GAT,ENS_k4,4,1,512,3e-05,3817544,55.308,0.149,1041.4
roman-empire,GAT,TABM_k2,2,1,512,3e-05,957600,30.405,0.125,1068.7
roman-empire,GAT,TABM_k4,4,1,512,3e-05,961344,60.519,0.21,1068.8
roman-empire,GAT,TABM_k8,8,1,512,3e-05,968832,120.776,0.391,1068.9
roman-empire,GAT,BASE,1,2,512,3e-05,1744402,25.175,0.082,1479.0
roman-empire,GAT,ENS_k4,4,2,512,3e-05,6977608,100.156,0.355,1558.9
roman-empire,GAT,TABM_k2,2,2,512,3e-05,1747616,52.828,0.189,1553.0
roman-empire,GAT,TABM_k4,4,2,512,3e-05,1751360,105.3,0.254,1553.1
roman-empire,GAT,TABM_k8,8,2,512,3e-05,1758848,210.575,0.414,1553.2
roman-empire,GAT,BASE,1,3,512,3e-05,2534418,36.4,0.1,1960.3
roman-empire,GAT,ENS_k4,4,3,512,3e-05,10137672,144.947,0.271,2076.3
roman-empire,GAT,TABM_k2,2,3,512,3e-05,2537632,75.318,0.209,2037.3
roman-empire,GAT,TABM_k4,4,3,512,3e-05,2541376,150.267,0.233,2037.4
roman-empire,GAT,TABM_k8,8,3,512,3e-05,2548864,300.227,0.576,2037.5
roman-empire,GAT,BASE,1,4,512,3e-05,3324434,47.665,0.093,2441.6
roman-empire,GAT,ENS_k4,4,4,512,3e-05,13297736,189.783,0.269,2593.8
roman-empire,GAT,TABM_k2,2,4,512,3e-05,3327648,97.71,0.188,2521.6
roman-empire,GAT,TABM_k4,4,4,512,3e-05,3331392,195.111,0.289,2521.7
roman-empire,GAT,TABM_k8,8,4,512,3e-05,3338880,389.85,0.872,2521.8
roman-empire,GAT,BASE,1,5,512,3e-05,4114450,58.907,0.119,2922.9
roman-empire,GAT,ENS_k4,4,5,512,3e-05,16457800,234.956,0.548,3111.2
roman-empire,GAT,TABM_k2,2,5,512,3e-05,4117664,120.174,0.199,3005.9
roman-empire,GAT,TABM_k4,4,5,512,3e-05,4121408,240.038,0.441,3006.0
roman-empire,GAT,TABM_k8,8,5,512,3e-05,4128896,479.907,0.82,3006.1
roman-empire,GAT-sep,BASE,1,1,512,3e-05,1479186,22.005,0.082,1392.1
roman-empire,GAT-sep,ENS_k4,4,1,512,3e-05,5916744,87.542,0.168,1461.9
roman-empire,GAT-sep,TABM_k2,2,1,512,3e-05,1482400,46.498,0.153,1464.5
roman-empire,GAT-sep,TABM_k4,4,1,512,3e-05,1486144,92.627,0.206,1464.5
roman-empire,GAT-sep,TABM_k8,8,1,512,3e-05,1493632,185.239,0.426,1464.6
roman-empire,GAT-sep,BASE,1,2,512,3e-05,2794002,41.38,0.208,2221.9
roman-empire,GAT-sep,ENS_k4,4,2,512,3e-05,11176008,164.695,0.247,2352.9
roman-empire,GAT-sep,TABM_k2,2,2,512,3e-05,2797216,84.986,0.121,2299.8
roman-empire,GAT-sep,TABM_k4,4,2,512,3e-05,2800960,169.806,0.207,2299.9
roman-empire,GAT-sep,TABM_k8,8,2,512,3e-05,2808448,339.519,0.431,2300.0
roman-empire,GAT-sep,BASE,1,3,512,3e-05,4108818,60.641,0.098,3052.5
roman-empire,GAT-sep,ENS_k4,4,3,512,3e-05,16435272,241.792,0.494,3244.4
roman-empire,GAT-sep,TABM_k2,2,3,512,3e-05,4112032,123.596,0.149,3135.4
roman-empire,GAT-sep,TABM_k4,4,3,512,3e-05,4115776,247.109,0.456,3135.5
roman-empire,GAT-sep,TABM_k8,8,3,512,3e-05,4123264,493.849,0.829,3135.6
roman-empire,GAT-sep,BASE,1,4,512,3e-05,5423634,80.072,0.121,3884.2
roman-empire,GAT-sep,ENS_k4,4,4,512,3e-05,21694536,319.351,0.214,4136.8
roman-empire,GAT-sep,TABM_k2,2,4,512,3e-05,5426848,162.47,0.298,3971.8
roman-empire,GAT-sep,TABM_k4,4,4,512,3e-05,5430592,324.62,0.441,3971.9
roman-empire,GAT-sep,TABM_k8,8,4,512,3e-05,5438080,648.465,0.792,3972.0
roman-empire,GAT-sep,BASE,1,5,512,3e-05,6738450,99.347,0.139,4713.2
roman-empire,GAT-sep,ENS_k4,4,5,512,3e-05,26953800,396.593,0.411,5028.8
roman-empire,GAT-sep,TABM_k2,2,5,512,3e-05,6741664,201.147,0.289,4806.6
roman-empire,GAT-sep,TABM_k4,4,5,512,3e-05,6745408,401.683,0.382,4806.7
roman-empire,GAT-sep,TABM_k8,8,5,512,3e-05,6752896,802.465,0.674,4806.8
roman-empire,GT,BASE,1,1,512,3e-05,2005010,26.09,0.071,1354.8
roman-empire,GT,ENS_k4,4,1,512,3e-05,8020040,103.797,0.127,1446.6
roman-empire,GT,TABM_k2,2,1,512,3e-05,2008224,54.688,0.157,1427.8
roman-empire,GT,TABM_k4,4,1,512,3e-05,2011968,109.122,0.245,1427.9
roman-empire,GT,TABM_k8,8,1,512,3e-05,2019456,217.908,0.253,1428.0
roman-empire,GT,BASE,1,2,512,3e-05,3845650,49.536,0.106,2247.5
roman-empire,GT,ENS_k4,4,2,512,3e-05,15382600,197.451,0.407,2423.6
roman-empire,GT,TABM_k2,2,2,512,3e-05,3848864,101.451,0.163,2326.7
roman-empire,GT,TABM_k4,4,2,512,3e-05,3852608,202.607,0.245,2326.8
roman-empire,GT,TABM_k8,8,2,512,3e-05,3860096,405.249,0.561,2326.9
roman-empire,GT,BASE,1,3,512,3e-05,5686290,73.017,0.092,3139.4
roman-empire,GT,ENS_k4,4,3,512,3e-05,22745160,291.197,0.302,3399.7
roman-empire,GT,TABM_k2,2,3,512,3e-05,5689504,148.304,0.168,3225.6
roman-empire,GT,TABM_k4,4,3,512,3e-05,5693248,296.21,0.367,3225.7
roman-empire,GT,TABM_k8,8,3,512,3e-05,5700736,592.196,0.77,3225.8
roman-empire,GT,BASE,1,4,512,3e-05,7526930,96.587,0.253,4031.3
roman-empire,GT,ENS_k4,4,4,512,3e-05,30107720,385.109,0.29,4375.8
roman-empire,GT,TABM_k2,2,4,512,3e-05,7530144,195.444,0.42,4124.5
roman-empire,GT,TABM_k4,4,4,512,3e-05,7533888,389.97,0.35,4124.5
roman-empire,GT,TABM_k8,8,4,512,3e-05,7541376,779.303,0.829,4124.7
