step,train_mean_member_bce,valid_pooled_hits50,valid_pooled_bce,train_seconds,validation_seconds,elapsed_seconds,selected_so_far
20,0.35932308435440063,0.012881965248651888,0.49517524242401123,0.06546314805746078,0.035008275881409645,2.701065629720688,1
40,0.2182692438364029,0.1419346248585314,0.4135507345199585,0.06551152281463146,0.03436611592769623,5.378905821591616,1
60,0.1502160280942917,0.1676652686239265,0.3823316991329193,0.0654163733124733,0.03399014100432396,8.053940093144774,1
80,0.11624957621097565,0.20775913720790892,0.36802446842193604,0.06533856131136417,0.03411754406988621,10.707434630021453,1
100,0.09594153612852097,0.26586112775447707,0.3689352869987488,0.0654594674706459,0.03408036381006241,13.381142808124423,1
120,0.0827116146683693,0.2732507822381999,0.3737601339817047,0.06541026942431927,0.034494588151574135,16.046337999403477,1
140,0.0759236067533493,0.2903102323413887,0.3836686611175537,0.06547247990965843,0.03352787718176842,18.718413529917598,1
160,0.06830067932605743,0.3476799147859663,0.3981249928474426,0.06543136015534401,0.03404261730611324,21.41962096095085,1
180,0.0652429610490799,0.3189534651487917,0.3667016923427582,0.06535129621624947,0.03428291343152523,24.096665112301707,0
200,0.060544271022081375,0.3585979628520072,0.39552363753318787,0.06539566069841385,0.034053560346364975,26.76220090314746,1
220,0.056979455053806305,0.363973770055256,0.4108099639415741,0.06539433635771275,0.03397642262279987,29.431658688932657,1
240,0.055292561650276184,0.3880067904933094,0.39865612983703613,0.06544090434908867,0.03405248373746872,32.11624772101641,1
260,0.0539311058819294,0.4213101657679249,0.39225056767463684,0.06540151685476303,0.03376462310552597,34.79535665363073,1
280,0.05317017436027527,0.39980693695492975,0.39825543761253357,0.06550745293498039,0.033966222777962685,37.44792525283992,0
300,0.05120811238884926,0.42425604154184143,0.42531296610832214,0.06535748764872551,0.03385326452553272,40.098732532933354,1
320,0.048068445175886154,0.44895479661806803,0.4465404450893402,0.06535379216074944,0.034255728125572205,42.76547431387007,1
340,0.04691487178206444,0.44917116037547433,0.4241993725299835,0.06548208370804787,0.03447111323475838,45.434796994552016,1
360,0.04532209783792496,0.4528659876173357,0.43533024191856384,0.06545507907867432,0.03398162126541138,48.10409736633301,1
380,0.045340873301029205,0.44689101923973107,0.46929919719696045,0.06540199741721153,0.03401021100580692,50.77656063809991,0
400,0.04164106026291847,0.4433459822914586,0.4583268463611603,0.06540759094059467,0.03440997190773487,53.41120396926999,0
