dataset,model,split,depth,n_test,members,gnnm_pooled_accuracy_percent,gnnm_mean_member_accuracy_percent,gnnm_pooling_gain_pp,gnnm_pair_disagreement_percent,gnnm_rescue_member_node_pairs,gnnm_harm_member_node_pairs,gnnm_net_correct_member_node_pairs,gnnm_member_ce_nats,gnnm_pooled_ce_nats,gnnm_ce_gap_nats,gnnm_reverse_kl_nats,gnnm_ce_kl_identity_max_abs_nats,gnnm_all_members_wrong_pooled_correct_nodes,gnnm_some_member_correct_pooled_wrong_nodes,untied_backbone_pooled_accuracy_percent,untied_backbone_mean_member_accuracy_percent,untied_backbone_pooling_gain_pp,untied_backbone_pair_disagreement_percent,untied_backbone_rescue_member_node_pairs,untied_backbone_harm_member_node_pairs,untied_backbone_net_correct_member_node_pairs,untied_backbone_member_ce_nats,untied_backbone_pooled_ce_nats,untied_backbone_ce_gap_nats,untied_backbone_reverse_kl_nats,untied_backbone_ce_kl_identity_max_abs_nats,untied_backbone_all_members_wrong_pooled_correct_nodes,untied_backbone_some_member_correct_pooled_wrong_nodes,gnnm_minus_untied_pooled_accuracy_percent,gnnm_minus_untied_mean_member_accuracy_percent,gnnm_minus_untied_pooling_gain_pp,gnnm_minus_untied_pair_disagreement_percent,gnnm_minus_untied_rescue_member_node_pairs,gnnm_minus_untied_harm_member_node_pairs,gnnm_minus_untied_member_ce_nats,gnnm_minus_untied_pooled_ce_nats,gnnm_minus_untied_ce_gap_nats,gnnm_minus_untied_reverse_kl_nats,both_pooled_correct_nodes,gnnm_only_pooled_correct_nodes,untied_only_pooled_correct_nodes,both_pooled_wrong_nodes,pooled_decision_disagreement_percent
roman-empire,GAT,0,5,5666,4,82.75679491704906,81.89639957642075,0.860395340628306,8.909871749617603,557,362,195,1.0647947877253157,0.986698411496619,0.07809637622869671,0.07809637622869671,3.552720455064079e-15,0,267,82.35086480762442,80.81980232968584,1.5310624779385829,11.974938228026828,797,450,347,1.3264710664895176,1.1645231344966018,0.16194793199291582,0.16194793199291582,4.9404924595819466e-15,3,333,0.405930109424645,1.0765972467349059,-0.6706671373102768,-3.065066478409225,-240.0,-88.0,-0.26167627876420196,-0.17782472299998286,-0.08385155576421911,-0.08385155576421911,4454,235,212,765,10.713025061771972
roman-empire,GAT,1,5,5666,4,82.2979174020473,81.69343452170844,0.6044828803388635,8.41863748676315,506,369,137,1.0544087834314007,0.9816416146302445,0.07276716880115613,0.07276716880115615,2.4424906541753444e-15,1,272,82.52735615954818,80.83745146487821,1.6899046946699636,12.283798093893399,847,464,383,1.0752769325309521,0.9348781826121448,0.14039874991880744,0.14039874991880746,3.774758283725532e-15,1,339,-0.22943875750087273,0.855983056830226,-1.0854218143311,-3.8651606071302496,-341.0,-95.0,-0.02086814909955148,0.04676343201809963,-0.0676315811176513,-0.06763158111765132,4448,215,228,775,10.307094952347335
roman-empire,GAT,2,4,5666,4,81.87433815743029,80.93893399223438,0.9354041651958966,10.815978350394163,696,484,212,0.822406942948552,0.7400382168808268,0.08236872606772509,0.08236872606772509,1.7763568394002505e-15,0,356,81.59195199435227,79.88881044828804,1.7031415460642352,13.263325097070242,911,525,386,0.9490036583500677,0.8202251912496202,0.12877846710044746,0.12877846710044746,3.094746681142624e-15,2,384,0.2823861630780158,1.0501235439463414,-0.7677373808683385,-2.4473467466760788,-215.0,-41.0,-0.12659671540151574,-0.0801869743687934,-0.04640974103272237,-0.04640974103272237,4399,240,224,803,10.60713025061772
roman-empire,GAT,3,4,5666,4,82.40381221320156,81.46399576420755,0.939816448994002,9.765854806447818,626,413,213,0.8652436852043789,0.7890695480878558,0.07617413711652297,0.07617413711652297,2.220446049250313e-15,0,290,82.4391104835863,81.10660077656195,1.3325097070243652,12.3308624544064,795,493,302,1.1379490205784701,0.9820758158102403,0.1558732047682299,0.1558732047682299,3.885780586188048e-15,1,367,-0.03529827038474309,0.3573949876456055,-0.39269325803036326,-2.5650076479585824,-169.0,-80.0,-0.27270533537409125,-0.1930062677223845,-0.07969906765170694,-0.07969906765170694,4427,242,244,753,10.818919872926227
roman-empire,GAT,4,4,5666,4,82.40381221320156,80.95658312742675,1.4472290857748038,11.724908812801505,758,430,328,0.864234806437612,0.7721285434134172,0.09210626302419468,0.09210626302419468,4.890185478778619e-15,1,329,82.63325097070243,80.80215319449347,1.8310977762089675,11.921990822449702,869,454,415,1.2076427095469553,1.0505466227919713,0.15709608675498418,0.15709608675498418,3.9968028886505635e-15,2,327,-0.22943875750087273,0.154429932933283,-0.3838686904341637,-0.1970820096481969,-111.0,-24.0,-0.3434079031093433,-0.2784180793785541,-0.0649898237307895,-0.0649898237307895,4468,201,214,783,9.72467349099894
