dataset,setting,comparator,all_layer_lr,all_layer_wd,tied_lr,tied_wd,all_layer_mean,all_layer_sd,tied_mean,tied_sd,paired_delta_mean,paired_delta_sd
cora,selected,new_same_runtime_tied36,0.0003,0.01,0.003,0.0,0.6913333733876547,0.02107921715337534,0.6690000295639038,0.01228820516478059,0.022333343823750813,0.009018502360803196
cora,default,new_same_runtime_tied36,0.001,0.0,0.001,0.0,0.6710000236829122,0.02858322234081493,0.6773333549499512,0.02557995946882871,-0.006333331267038981,0.00472582205027353
wikics,selected,new_same_runtime_tied36,0.001,0.01,0.001,0.01,0.7879824241002401,0.004249409910761781,0.7903768022855123,0.005277896313729907,-0.002394378185272217,0.005512841851566664
wikics,default,new_same_runtime_tied36,0.001,0.0,0.001,0.0,0.7878684004147848,0.004197438531657273,0.7904338240623474,0.005316557908352447,-0.0025654236475626626,0.005375829714476701
actor,selected,original_same_runtime_tied,0.003,0.01,0.003,0.01,0.3633772035439809,0.009984687011233034,0.3646929959456126,0.00790385653174426,-0.001315792401631673,0.002279019291839132
actor,default,original_same_runtime_tied,0.001,0.0,0.001,0.0,0.3723684350649516,0.012005461929293785,0.3730263411998749,0.00821710421183064,-0.0006579061349232992,0.0049670073917532035
chameleon_filtered,selected,original_same_runtime_tied,0.001,0.01,0.001,0.01,0.39003435770670575,0.019515150117833637,0.3711340129375458,0.005154639482498169,0.018900344769159954,0.02380825994236633
chameleon_filtered,default,original_same_runtime_tied,0.001,0.0,0.001,0.0,0.39003435770670575,0.019515150117833637,0.388316144545873,0.02542723276463391,0.001718213160832723,0.005952064985591582
