Loading data...

============================================================
Training tolokers SAGE 1L h=256 lr=3e-05 split=6
============================================================
Training for 5000 steps
Step    1 | loss 0.5848 | val_acc=0.7802 val_roc_auc=0.6609 val_loss=0.5377 val_metric_name=roc_auc val_metric=0.6609
Step   50 | loss 0.4805 | val_acc=0.7819 val_roc_auc=0.7101 val_loss=0.4791 val_metric_name=roc_auc val_metric=0.7101
Step  100 | loss 0.4654 | val_acc=0.7822 val_roc_auc=0.7276 val_loss=0.4630 val_metric_name=roc_auc val_metric=0.7276
Step  150 | loss 0.4531 | val_acc=0.7833 val_roc_auc=0.7452 val_loss=0.4537 val_metric_name=roc_auc val_metric=0.7452
Step  200 | loss 0.4415 | val_acc=0.7853 val_roc_auc=0.7531 val_loss=0.4496 val_metric_name=roc_auc val_metric=0.7531
Step  250 | loss 0.4370 | val_acc=0.7877 val_roc_auc=0.7568 val_loss=0.4447 val_metric_name=roc_auc val_metric=0.7568
Step  300 | loss 0.4340 | val_acc=0.7890 val_roc_auc=0.7591 val_loss=0.4423 val_metric_name=roc_auc val_metric=0.7591
Step  350 | loss 0.4320 | val_acc=0.7890 val_roc_auc=0.7612 val_loss=0.4398 val_metric_name=roc_auc val_metric=0.7612
Step  400 | loss 0.4315 | val_acc=0.7884 val_roc_auc=0.7630 val_loss=0.4382 val_metric_name=roc_auc val_metric=0.7630
Step  450 | loss 0.4261 | val_acc=0.7894 val_roc_auc=0.7650 val_loss=0.4362 val_metric_name=roc_auc val_metric=0.7650
Step  500 | loss 0.4247 | val_acc=0.7901 val_roc_auc=0.7672 val_loss=0.4349 val_metric_name=roc_auc val_metric=0.7672
Step  550 | loss 0.4217 | val_acc=0.7907 val_roc_auc=0.7692 val_loss=0.4348 val_metric_name=roc_auc val_metric=0.7692
Step  600 | loss 0.4194 | val_acc=0.7890 val_roc_auc=0.7715 val_loss=0.4333 val_metric_name=roc_auc val_metric=0.7715
Step  650 | loss 0.4213 | val_acc=0.7887 val_roc_auc=0.7734 val_loss=0.4329 val_metric_name=roc_auc val_metric=0.7734
Step  700 | loss 0.4196 | val_acc=0.7894 val_roc_auc=0.7750 val_loss=0.4325 val_metric_name=roc_auc val_metric=0.7750
Step  750 | loss 0.4164 | val_acc=0.7877 val_roc_auc=0.7766 val_loss=0.4327 val_metric_name=roc_auc val_metric=0.7766
Step  800 | loss 0.4161 | val_acc=0.7880 val_roc_auc=0.7778 val_loss=0.4315 val_metric_name=roc_auc val_metric=0.7778
Step  850 | loss 0.4141 | val_acc=0.7884 val_roc_auc=0.7789 val_loss=0.4309 val_metric_name=roc_auc val_metric=0.7789
Step  900 | loss 0.4141 | val_acc=0.7873 val_roc_auc=0.7808 val_loss=0.4309 val_metric_name=roc_auc val_metric=0.7808
Step  950 | loss 0.4158 | val_acc=0.7867 val_roc_auc=0.7814 val_loss=0.4308 val_metric_name=roc_auc val_metric=0.7814
Step 1000 | loss 0.4133 | val_acc=0.7856 val_roc_auc=0.7822 val_loss=0.4298 val_metric_name=roc_auc val_metric=0.7822
Step 1050 | loss 0.4117 | val_acc=0.7853 val_roc_auc=0.7823 val_loss=0.4297 val_metric_name=roc_auc val_metric=0.7823
Step 1100 | loss 0.4099 | val_acc=0.7853 val_roc_auc=0.7844 val_loss=0.4287 val_metric_name=roc_auc val_metric=0.7844
Step 1150 | loss 0.4114 | val_acc=0.7867 val_roc_auc=0.7828 val_loss=0.4306 val_metric_name=roc_auc val_metric=0.7828
Step 1200 | loss 0.4123 | val_acc=0.7850 val_roc_auc=0.7838 val_loss=0.4296 val_metric_name=roc_auc val_metric=0.7838
Step 1250 | loss 0.4097 | val_acc=0.7863 val_roc_auc=0.7849 val_loss=0.4284 val_metric_name=roc_auc val_metric=0.7849
Step 1300 | loss 0.4090 | val_acc=0.7873 val_roc_auc=0.7850 val_loss=0.4283 val_metric_name=roc_auc val_metric=0.7850
Step 1350 | loss 0.4091 | val_acc=0.7884 val_roc_auc=0.7861 val_loss=0.4279 val_metric_name=roc_auc val_metric=0.7861
Step 1400 | loss 0.4077 | val_acc=0.7870 val_roc_auc=0.7868 val_loss=0.4275 val_metric_name=roc_auc val_metric=0.7868
Step 1450 | loss 0.4090 | val_acc=0.7880 val_roc_auc=0.7870 val_loss=0.4278 val_metric_name=roc_auc val_metric=0.7870
Step 1500 | loss 0.4063 | val_acc=0.7884 val_roc_auc=0.7885 val_loss=0.4269 val_metric_name=roc_auc val_metric=0.7885
Step 1550 | loss 0.4079 | val_acc=0.7894 val_roc_auc=0.7877 val_loss=0.4270 val_metric_name=roc_auc val_metric=0.7877
Step 1600 | loss 0.4040 | val_acc=0.7897 val_roc_auc=0.7889 val_loss=0.4267 val_metric_name=roc_auc val_metric=0.7889
Step 1650 | loss 0.4059 | val_acc=0.7907 val_roc_auc=0.7891 val_loss=0.4262 val_metric_name=roc_auc val_metric=0.7891
Step 1700 | loss 0.4043 | val_acc=0.7897 val_roc_auc=0.7893 val_loss=0.4266 val_metric_name=roc_auc val_metric=0.7893
Step 1750 | loss 0.4047 | val_acc=0.7901 val_roc_auc=0.7895 val_loss=0.4260 val_metric_name=roc_auc val_metric=0.7895
Step 1800 | loss 0.4064 | val_acc=0.7897 val_roc_auc=0.7885 val_loss=0.4276 val_metric_name=roc_auc val_metric=0.7885
Step 1850 | loss 0.4048 | val_acc=0.7897 val_roc_auc=0.7905 val_loss=0.4260 val_metric_name=roc_auc val_metric=0.7905
Step 1900 | loss 0.4038 | val_acc=0.7873 val_roc_auc=0.7917 val_loss=0.4254 val_metric_name=roc_auc val_metric=0.7917
Step 1950 | loss 0.4014 | val_acc=0.7897 val_roc_auc=0.7922 val_loss=0.4260 val_metric_name=roc_auc val_metric=0.7922
Step 2000 | loss 0.4006 | val_acc=0.7911 val_roc_auc=0.7924 val_loss=0.4255 val_metric_name=roc_auc val_metric=0.7924
Step 2050 | loss 0.4010 | val_acc=0.7911 val_roc_auc=0.7933 val_loss=0.4255 val_metric_name=roc_auc val_metric=0.7933
Step 2100 | loss 0.3995 | val_acc=0.7904 val_roc_auc=0.7941 val_loss=0.4252 val_metric_name=roc_auc val_metric=0.7941
Step 2150 | loss 0.3985 | val_acc=0.7914 val_roc_auc=0.7936 val_loss=0.4261 val_metric_name=roc_auc val_metric=0.7936
Step 2200 | loss 0.4023 | val_acc=0.7894 val_roc_auc=0.7945 val_loss=0.4254 val_metric_name=roc_auc val_metric=0.7945
Step 2250 | loss 0.3983 | val_acc=0.7907 val_roc_auc=0.7949 val_loss=0.4257 val_metric_name=roc_auc val_metric=0.7949
Step 2300 | loss 0.3997 | val_acc=0.7931 val_roc_auc=0.7964 val_loss=0.4246 val_metric_name=roc_auc val_metric=0.7964
Step 2350 | loss 0.3986 | val_acc=0.7918 val_roc_auc=0.7957 val_loss=0.4259 val_metric_name=roc_auc val_metric=0.7957
Step 2400 | loss 0.3975 | val_acc=0.7914 val_roc_auc=0.7962 val_loss=0.4253 val_metric_name=roc_auc val_metric=0.7962
