Loading data...

============================================================
Training tolokers GCN 1L h=256 lr=3e-05 split=7
============================================================
Training for 5000 steps
Step    1 | loss 0.6391 | val_acc=0.7850 val_roc_auc=0.6651 val_loss=0.6155 val_metric_name=roc_auc val_metric=0.6651
Step   50 | loss 0.5033 | val_acc=0.7822 val_roc_auc=0.6977 val_loss=0.4881 val_metric_name=roc_auc val_metric=0.6977
Step  100 | loss 0.4800 | val_acc=0.7877 val_roc_auc=0.7321 val_loss=0.4675 val_metric_name=roc_auc val_metric=0.7321
Step  150 | loss 0.4736 | val_acc=0.7880 val_roc_auc=0.7472 val_loss=0.4606 val_metric_name=roc_auc val_metric=0.7472
Step  200 | loss 0.4657 | val_acc=0.7901 val_roc_auc=0.7564 val_loss=0.4550 val_metric_name=roc_auc val_metric=0.7564
Step  250 | loss 0.4585 | val_acc=0.7911 val_roc_auc=0.7619 val_loss=0.4506 val_metric_name=roc_auc val_metric=0.7619
Step  300 | loss 0.4540 | val_acc=0.7911 val_roc_auc=0.7660 val_loss=0.4466 val_metric_name=roc_auc val_metric=0.7660
Step  350 | loss 0.4540 | val_acc=0.7918 val_roc_auc=0.7690 val_loss=0.4432 val_metric_name=roc_auc val_metric=0.7690
Step  400 | loss 0.4484 | val_acc=0.7935 val_roc_auc=0.7718 val_loss=0.4403 val_metric_name=roc_auc val_metric=0.7718
Step  450 | loss 0.4464 | val_acc=0.7935 val_roc_auc=0.7744 val_loss=0.4376 val_metric_name=roc_auc val_metric=0.7744
Step  500 | loss 0.4399 | val_acc=0.7928 val_roc_auc=0.7770 val_loss=0.4346 val_metric_name=roc_auc val_metric=0.7770
Step  550 | loss 0.4363 | val_acc=0.7941 val_roc_auc=0.7794 val_loss=0.4323 val_metric_name=roc_auc val_metric=0.7794
Step  600 | loss 0.4362 | val_acc=0.7948 val_roc_auc=0.7821 val_loss=0.4285 val_metric_name=roc_auc val_metric=0.7821
Step  650 | loss 0.4328 | val_acc=0.7969 val_roc_auc=0.7846 val_loss=0.4267 val_metric_name=roc_auc val_metric=0.7846
Step  700 | loss 0.4283 | val_acc=0.7989 val_roc_auc=0.7875 val_loss=0.4233 val_metric_name=roc_auc val_metric=0.7875
