epoch,train_mean_member_ce,valid_pooled_accuracy,valid_pooled_ce,train_step_seconds,validation_seconds,elapsed_seconds,is_selected_so_far
1,3.764137864112854,0.0762777253985405,3.1424570083618164,0.22494804114103317,0.08607780188322067,0.3273855447769165,1
2,3.3058905005455017,0.07651263475418091,3.018216609954834,0.21787481009960175,0.08599714934825897,0.6464777141809464,1
3,3.176631510257721,0.1612805724143982,2.912515878677368,0.2176292985677719,0.08610586822032928,0.9655553922057152,1
4,3.094631850719452,0.22376589477062225,2.8595924377441406,0.21750709414482117,0.08609837293624878,1.2828950881958008,1
5,3.0367037057876587,0.2088996171951294,2.822645664215088,0.21769918501377106,0.08603091537952423,1.5867217928171158,0
6,2.977744698524475,0.24752508103847504,2.7479450702667236,0.21748720854520798,0.08600012212991714,1.9049440249800682,1
7,2.911151349544525,0.29393601417541504,2.6124749183654785,0.21739674359560013,0.0860719308257103,2.2225688621401787,1
8,2.8280826807022095,0.308735191822052,2.479574680328369,0.21758072078227997,0.08609971404075623,2.5419407784938812,1
9,2.7376973628997803,0.3293398916721344,2.377117395401001,0.21748487651348114,0.0859941765666008,2.8618729412555695,1
10,2.6546146869659424,0.35578373074531555,2.2776966094970703,0.21765680611133575,0.086000457406044,3.180646076798439,1
11,2.585960030555725,0.37601932883262634,2.2078795433044434,0.21750225871801376,0.08610221743583679,3.498447246849537,1
12,2.519677996635437,0.3931339681148529,2.1385345458984375,0.21727830916643143,0.08603396266698837,3.8206257447600365,1
13,2.4529877305030823,0.4265579283237457,2.087050676345825,0.21760275214910507,0.08596904575824738,4.138737507164478,1
14,2.3906424045562744,0.4446457624435425,2.0328211784362793,0.21777840703725815,0.0861433744430542,4.458130285143852,1
15,2.3353187441825867,0.45149165391921997,1.9825445413589478,0.21749812364578247,0.08610580861568451,4.77719996124506,1
16,2.279977560043335,0.46011608839035034,1.9422872066497803,0.21726489812135696,0.08786071836948395,5.096565656363964,1
17,2.2318824529647827,0.47508302330970764,1.901542067527771,0.21800285577774048,0.08598741888999939,5.4149701073765755,1
18,2.1875067353248596,0.48374104499816895,1.8627426624298096,0.2176627218723297,0.08602073043584824,5.733480058610439,1
19,2.1461265087127686,0.49125808477401733,1.8255856037139893,0.2182212769985199,0.08604630082845688,6.060202710330486,1
