dataset,model,num_layers,split,num_model_seeds,best_steps,individual_val_accs,train_acc,val_acc,test_acc,test_loss,test_f1_macro,test_f1_weighted,test_prec_macro,test_rec_macro,test_roc_auc
amazon-ratings,GAT,5,4,4,"[960, 996, 1000, 946]","[0.4846, 0.4836, 0.4877, 0.49]",0.681528627872467,0.4902825355529785,0.48685285449028015,1.6387544870376587,0.4125467578815386,0.48337036787789406,0.4182087483419374,0.4089135741283879,
amazon-ratings,GAT,5,5,4,"[976, 975, 996, 982]","[0.4922, 0.4837, 0.4953, 0.4895]",0.6804670691490173,0.49387553334236145,0.49158909916877747,1.5473098754882812,0.4254429748406068,0.4868676036674674,0.4353983363767148,0.4193783585393488,
amazon-ratings,GAT,5,6,4,"[990, 1000, 963, 990]","[0.4816, 0.4824, 0.4792, 0.4802]",0.6792421936988831,0.4816266596317291,0.4893026351928711,1.562425971031189,0.41470166011112275,0.48426817240635095,0.423186301338119,0.4098965137723102,
amazon-ratings,GAT,5,7,4,"[991, 991, 755, 880]","[0.4741, 0.4841, 0.4769, 0.4743]",0.674587607383728,0.47574716806411743,0.47836026549339294,1.5879063606262207,0.4020129459224509,0.47308401721693927,0.4105357078552047,0.3967970541009103,
amazon-ratings,GAT,5,8,4,"[803, 849, 931, 856]","[0.4952, 0.4909, 0.4914, 0.4934]",0.6738526821136475,0.4958353638648987,0.48570960760116577,1.5555611848831177,0.4095713153841533,0.47894171524419993,0.4219396243865779,0.40498792281949675,
amazon-ratings,GAT,5,9,4,"[974, 998, 965, 979]","[0.48, 0.4831, 0.4828, 0.4816]",0.6843050718307495,0.48407644033432007,0.4768904149532318,1.6337648630142212,0.4047542981664206,0.47247559342519774,0.4136033236385632,0.39997828313995204,
amazon-ratings,GAT-sep,5,0,4,"[979, 975, 948, 973]","[0.5246, 0.5146, 0.5234, 0.5234]",0.9444716572761536,0.5284990668296814,0.5435243844985962,1.9855291843414307,0.4924192473481634,0.5413484864100675,0.49805715915282667,0.48891192422821,
amazon-ratings,GAT-sep,5,1,4,"[996, 971, 982, 976]","[0.5334, 0.5388, 0.5342, 0.5326]",0.9472480416297913,0.5433610677719116,0.5400947332382202,2.0157432556152344,0.4878735721854164,0.5372217367297129,0.49571364965459364,0.4836804434323831,
amazon-ratings,GAT-sep,5,2,4,"[981, 991, 958, 913]","[0.521, 0.5246, 0.5117, 0.5292]",0.9259349703788757,0.529315710067749,0.531602144241333,1.9763051271438599,0.4690643460264198,0.5304898947837501,0.47089185615245777,0.4693395886596223,
amazon-ratings,GAT-sep,5,3,4,"[998, 976, 967, 990]","[0.5337, 0.5262, 0.5311, 0.5344]",0.9335293173789978,0.5418912172317505,0.5322554111480713,1.9789695739746094,0.4734602927078287,0.5292706198401583,0.48073268976024996,0.4693051035123288,
amazon-ratings,GAT-sep,5,4,4,"[984, 991, 985, 1000]","[0.5381, 0.5372, 0.5306, 0.5373]",0.9465131163597107,0.5477706789970398,0.5430344343185425,2.0081872940063477,0.4794143283199471,0.5414863476951564,0.48187964428192853,0.47842244490241176,
amazon-ratings,GAT-sep,5,5,4,"[993, 996, 951, 969]","[0.5216, 0.5259, 0.5305, 0.5305]",0.9360607266426086,0.5371549725532532,0.535685122013092,1.9867863655090332,0.4861616729623746,0.53334863443648,0.49191639001313964,0.4824673438724868,
amazon-ratings,GAT-sep,5,6,4,"[959, 956, 983, 969]","[0.5301, 0.5301, 0.5203, 0.5249]",0.922586977481842,0.5345419049263,0.5355218052864075,1.9198180437088013,0.47680852649738314,0.5312022316935546,0.485915241587355,0.47217195529861067,
amazon-ratings,GAT-sep,5,7,4,"[993, 955, 990, 965]","[0.5265, 0.5149, 0.5197, 0.5223]",0.9287114143371582,0.5281724333763123,0.5283357501029968,1.927066445350647,0.47178052944724136,0.5261108624340183,0.47672374253516886,0.468752968579782,
amazon-ratings,GAT-sep,5,8,4,"[974, 997, 956, 999]","[0.5241, 0.5267, 0.5265, 0.5319]",0.9354074597358704,0.5355218052864075,0.5332353115081787,2.038647174835205,0.47309491415754773,0.5303682345827156,0.47926846780816035,0.4708368263341862,
amazon-ratings,GAT-sep,5,9,4,"[982, 992, 977, 959]","[0.5164, 0.5259, 0.521, 0.5259]",0.9376939535140991,0.5302956104278564,0.5335619449615479,2.01596736907959,0.4791463882487986,0.5315482695094885,0.48526026635097674,0.47666256740540724,
amazon-ratings,GT,5,0,4,"[970, 976, 961, 998]","[0.5198, 0.5218, 0.5226, 0.5272]",0.926016628742218,0.5386248230934143,0.5381348729133606,1.773812174797058,0.48782300132469125,0.5342447987033396,0.5006034071780547,0.4805233013842186,
amazon-ratings,GT,5,1,4,"[999, 955, 960, 992]","[0.5329, 0.5362, 0.5316, 0.5272]",0.9366323351860046,0.5487505793571472,0.5448309779167175,1.800405502319336,0.4922551314715454,0.5409879334578799,0.5109396739353746,0.4806088523507809,
amazon-ratings,GT,5,2,4,"[966, 972, 983, 999]","[0.5337, 0.5334, 0.5282, 0.5336]",0.9286297559738159,0.5407480001449585,0.5427078008651733,1.84038507938385,0.4772055074161945,0.5399752110748998,0.4844864562251311,0.47283180673592656,
amazon-ratings,GT,5,3,4,"[966, 999, 985, 996]","[0.5314, 0.5246, 0.5306, 0.5336]",0.9337742924690247,0.5360117554664612,0.5382981896400452,1.8762754201889038,0.4782570198688737,0.5352567097454488,0.48883019152538393,0.4721023670601885,
amazon-ratings,GT,5,4,4,"[999, 953, 996, 983]","[0.5363, 0.5293, 0.5285, 0.5339]",0.9229952692985535,0.5428711175918579,0.5445043444633484,1.7910374402999878,0.476725442920773,0.5408477187588884,0.48552323023000915,0.4724707239897447,
amazon-ratings,GT,5,5,4,"[994, 969, 983, 988]","[0.5272, 0.5229, 0.5249, 0.5208]",0.9123795628547668,0.5332353115081787,0.5350318551063538,1.7810108661651611,0.4801785685033232,0.5304899637758226,0.4985197516177523,0.4701396773455834,
amazon-ratings,GT,5,6,4,"[996, 977, 901, 962]","[0.5318, 0.5321, 0.5269, 0.5318]",0.9035603404045105,0.5402580499649048,0.5410746335983276,1.7335203886032104,0.4798918447876931,0.5365796308174683,0.49124583210914097,0.4739380074552589,
amazon-ratings,GT,5,7,4,"[958, 1000, 969, 982]","[0.5131, 0.5218, 0.5203, 0.5159]",0.9319778084754944,0.5299689769744873,0.5345419049263,1.799733281135559,0.47740024052995134,0.5320795033704235,0.4836540712058256,0.47370162499913826,
amazon-ratings,GT,5,8,4,"[979, 974, 984, 997]","[0.529, 0.5236, 0.5247, 0.5231]",0.9276498556137085,0.5387881994247437,0.5366650223731995,1.8454866409301758,0.4740604130390573,0.5331030802681798,0.48295987170990057,0.4688202343210355,
amazon-ratings,GT,5,9,4,"[944, 998, 980, 963]","[0.5192, 0.5293, 0.5243, 0.5254]",0.9288747310638428,0.5309488773345947,0.5407480001449585,1.856902837753296,0.48670872806065163,0.5379738835329898,0.49693863555040424,0.48009657482969637,
amazon-ratings,GT-sep,5,0,4,"[995, 903, 999, 928]","[0.5267, 0.5225, 0.5247, 0.5259]",0.9560672640800476,0.5373182892799377,0.5420545339584351,1.8528918027877808,0.49188086175358964,0.5375398200837003,0.5109256207047614,0.48124803272719924,
amazon-ratings,GT-sep,5,1,4,"[925, 993, 989, 960]","[0.5324, 0.5295, 0.5295, 0.5259]",0.9620283842086792,0.5428711175918579,0.5402580499649048,1.9025603532791138,0.48976783841446403,0.5365615189095884,0.5077730017445322,0.47840612901926427,
amazon-ratings,GT-sep,5,2,4,"[980, 995, 988, 964]","[0.5246, 0.5272, 0.5341, 0.5288]",0.9550057053565979,0.5410746335983276,0.5433610677719116,1.9668713808059692,0.47888874640178763,0.5401012914347667,0.4898425524179169,0.47233814947095737,
amazon-ratings,GT-sep,5,3,4,"[996, 984, 980, 972]","[0.5367, 0.535, 0.5422, 0.5378]",0.956475555896759,0.5471174120903015,0.5322554111480713,1.9547690153121948,0.4720629032161433,0.5287069916484558,0.483027939328884,0.4657083319693317,
amazon-ratings,GT-sep,5,4,4,"[990, 993, 982, 970]","[0.5283, 0.5314, 0.5277, 0.5357]",0.9566388726234436,0.5397680997848511,0.5366650223731995,1.9206726551055908,0.4693677956789169,0.5329936211758984,0.47835906576692067,0.4646187398464975,
amazon-ratings,GT-sep,5,5,4,"[976, 999, 989, 973]","[0.5265, 0.5303, 0.5278, 0.5324]",0.9510860443115234,0.5384615063667297,0.5389515161514282,1.940863013267517,0.4852772210731183,0.5351320376472343,0.5061340141777229,0.47260113915717783,
amazon-ratings,GT-sep,5,6,4,"[975, 926, 990, 967]","[0.5385, 0.5399, 0.5292, 0.5373]",0.9391638040542603,0.5480973124504089,0.5427078008651733,1.8753511905670166,0.48598219796294106,0.5382078303174879,0.5034252659935736,0.475578351529866,
amazon-ratings,GT-sep,5,7,4,"[995, 925, 993, 910]","[0.528, 0.5205, 0.5197, 0.5264]",0.9524742960929871,0.5371549725532532,0.5350318551063538,1.8846938610076904,0.4784431298211006,0.5317698230492302,0.4898496135626872,0.47144808384995407,
amazon-ratings,GT-sep,5,8,4,"[938, 1000, 987, 972]","[0.5323, 0.5269, 0.5233, 0.5288]",0.9527192711830139,0.5363383889198303,0.5350318551063538,1.9028587341308594,0.47946322788111206,0.5312767547121401,0.4909309704678475,0.4727226942143935,
amazon-ratings,GT-sep,5,9,4,"[968, 910, 982, 973]","[0.5283, 0.5301, 0.5225, 0.5257]",0.948391318321228,0.5351951718330383,0.5365017056465149,1.926735758781433,0.4837481663978963,0.5327972610946392,0.4984161461175689,0.4754551363585036,
amazon-ratings,TAG,5,0,4,"[939, 988, 976, 991]","[0.4986, 0.5042, 0.5051, 0.5016]",0.9216886758804321,0.5106973648071289,0.5120038986206055,2.00480055809021,0.46644399513002643,0.5097818227719695,0.47181406497121064,0.4637331989955225,
amazon-ratings,TAG,5,1,4,"[999, 984, 971, 984]","[0.5073, 0.5145, 0.5016, 0.5078]",0.9241384863853455,0.5167401432991028,0.5067777037620544,1.9977160692214966,0.45587540807715515,0.506160811585411,0.45494896422752557,0.4582523610265265,
amazon-ratings,TAG,5,2,4,"[981, 482, 435, 980]","[0.5102, 0.4914, 0.489, 0.5019]",0.857014536857605,0.5155969262123108,0.5219663381576538,1.601662039756775,0.45152773395422346,0.5175158054773323,0.4606526049053687,0.44743215501061256,
amazon-ratings,TAG,5,3,4,"[977, 974, 944, 980]","[0.5109, 0.5114, 0.5043, 0.5033]",0.9201371669769287,0.5190266370773315,0.5162501931190491,1.9684616327285767,0.46537131812969823,0.5146337336886379,0.46800113940655363,0.4644442394535949,
amazon-ratings,TAG,5,4,4,"[972, 981, 959, 984]","[0.5066, 0.5102, 0.5058, 0.5082]",0.9140127301216125,0.5151069760322571,0.508084237575531,2.0175564289093018,0.4427616510529003,0.5072374006139106,0.4424293785203881,0.444739354859534,
amazon-ratings,TAG,5,5,4,"[965, 985, 996, 998]","[0.5107, 0.5063, 0.5061, 0.5105]",0.9114812612533569,0.5191899538040161,0.5182099938392639,1.9405338764190674,0.46317061354141176,0.5163934121289668,0.46423879935659,0.4638770953707619,
amazon-ratings,TAG,5,6,4,"[1000, 1000, 996, 976]","[0.5047, 0.5045, 0.5071, 0.4976]",0.9105013608932495,0.511023998260498,0.5134738087654114,2.0098111629486084,0.459219373321525,0.5118376901177749,0.4604255694014066,0.45969707052927966,
amazon-ratings,TAG,5,7,4,"[926, 993, 980, 965]","[0.5066, 0.4976, 0.5047, 0.4975]",0.9058467745780945,0.5111873149871826,0.5059611201286316,1.986914873123169,0.45426752300476947,0.5048854502503851,0.45362991436480826,0.45616495807881297,
amazon-ratings,TAG,5,8,4,"[992, 988, 987, 991]","[0.5065, 0.5084, 0.5063, 0.5002]",0.9203821420669556,0.5134738087654114,0.5105340480804443,2.0412774085998535,0.4550280748154399,0.5073384453393003,0.4623423908983499,0.45251270102386226,
amazon-ratings,TAG,5,9,4,"[1000, 996, 989, 986]","[0.5164, 0.5094, 0.5078, 0.5097]",0.9363057017326355,0.5180466771125793,0.5182099938392639,2.0988545417785645,0.4640047229961688,0.5170638599546524,0.46495478306835025,0.46513085311599395,
