dataset,model,variant,k,num_layers,hidden_dim,lr,num_params,mean_step_ms,std_step_ms,peak_mem_mb
amazon-ratings,SAGE,TABM_k4,4,2,512,3e-05,2791128,151.825,0.172,1281.5
amazon-ratings,SAGE,TABM_k8,8,2,512,3e-05,2798512,303.566,0.348,1281.7
amazon-ratings,SAGE,BASE,1,3,512,3e-05,4097541,53.697,0.048,1482.8
amazon-ratings,SAGE,ENS_k4,4,3,512,3e-05,16390164,214.377,0.207,1670.4
amazon-ratings,SAGE,TABM_k2,2,3,512,3e-05,4100716,110.107,0.217,1660.4
amazon-ratings,SAGE,TABM_k4,4,3,512,3e-05,4104408,219.544,0.235,1660.5
amazon-ratings,SAGE,TABM_k8,8,3,512,3e-05,4111792,438.931,0.403,1660.6
amazon-ratings,SAGE,BASE,1,4,512,3e-05,5410821,70.675,0.078,1857.0
amazon-ratings,SAGE,ENS_k4,4,4,512,3e-05,21643284,282.118,0.173,2104.6
amazon-ratings,SAGE,TABM_k2,2,4,512,3e-05,5413996,143.99,0.318,2039.3
amazon-ratings,SAGE,TABM_k4,4,4,512,3e-05,5417688,287.562,0.356,2039.4
amazon-ratings,SAGE,TABM_k8,8,4,512,3e-05,5425072,574.707,0.562,2039.5
amazon-ratings,SAGE,BASE,1,5,512,3e-05,6724101,87.753,0.281,2230.9
amazon-ratings,SAGE,ENS_k4,4,5,512,3e-05,26896404,350.138,0.256,2538.8
amazon-ratings,SAGE,TABM_k2,2,5,512,3e-05,6727276,177.814,0.155,2418.5
amazon-ratings,SAGE,TABM_k4,4,5,512,3e-05,6730968,355.082,0.268,2418.5
amazon-ratings,SAGE,TABM_k8,8,5,512,3e-05,6738352,709.952,0.434,2418.6
amazon-ratings,GAT,BASE,1,1,512,3e-05,947717,18.371,0.054,1995.8
amazon-ratings,GAT,ENS_k4,4,1,512,3e-05,3790868,73.1,0.135,2039.1
amazon-ratings,GAT,TABM_k2,2,1,512,3e-05,950892,39.353,0.128,2073.4
amazon-ratings,GAT,TABM_k4,4,1,512,3e-05,954584,78.541,0.186,2073.4
amazon-ratings,GAT,TABM_k8,8,1,512,3e-05,961968,156.723,0.256,2073.6
amazon-ratings,GAT,BASE,1,2,512,3e-05,1737733,33.881,0.061,2756.3
amazon-ratings,GAT,ENS_k4,4,2,512,3e-05,6950932,135.097,0.177,2835.8
amazon-ratings,GAT,TABM_k2,2,2,512,3e-05,1740908,70.509,0.177,2837.3
amazon-ratings,GAT,TABM_k4,4,2,512,3e-05,1744600,140.574,0.205,2837.4
amazon-ratings,GAT,TABM_k8,8,2,512,3e-05,1751984,280.976,0.381,2837.5
amazon-ratings,GAT,BASE,1,3,512,3e-05,2527749,49.412,0.06,3515.8
amazon-ratings,GAT,ENS_k4,4,3,512,3e-05,10110996,197.241,0.256,3631.5
amazon-ratings,GAT,TABM_k2,2,3,512,3e-05,2530924,101.579,0.181,3600.7
amazon-ratings,GAT,TABM_k4,4,3,512,3e-05,2534616,203.012,0.414,3600.7
amazon-ratings,GAT,TABM_k8,8,3,512,3e-05,2542000,405.395,0.619,3600.8
amazon-ratings,GAT,BASE,1,4,512,3e-05,3317765,65.007,0.075,4275.4
amazon-ratings,GAT,ENS_k4,4,4,512,3e-05,13271060,259.313,0.258,4427.3
amazon-ratings,GAT,TABM_k2,2,4,512,3e-05,3320940,132.637,0.17,4365.7
amazon-ratings,GAT,TABM_k4,4,4,512,3e-05,3324632,265.214,0.404,4365.7
amazon-ratings,GAT,TABM_k8,8,4,512,3e-05,3332016,529.925,0.542,4365.8
amazon-ratings,GAT,BASE,1,5,512,3e-05,4107781,80.617,0.094,5034.9
amazon-ratings,GAT,ENS_k4,4,5,512,3e-05,16431124,321.566,0.202,5223.0
amazon-ratings,GAT,TABM_k2,2,5,512,3e-05,4110956,163.82,0.24,5129.1
amazon-ratings,GAT,TABM_k4,4,5,512,3e-05,4114648,327.361,0.412,5129.1
amazon-ratings,GAT,TABM_k8,8,5,512,3e-05,4122032,654.623,0.652,5129.2
amazon-ratings,GAT-sep,BASE,1,1,512,3e-05,1472517,32.06,0.11,2868.7
amazon-ratings,GAT-sep,ENS_k4,4,1,512,3e-05,5890068,127.86,0.181,2935.8
amazon-ratings,GAT-sep,TABM_k2,2,1,512,3e-05,1475692,66.819,0.153,2947.4
amazon-ratings,GAT-sep,TABM_k4,4,1,512,3e-05,1479384,133.354,0.246,2947.5
amazon-ratings,GAT-sep,TABM_k8,8,1,512,3e-05,1486768,266.345,0.388,2947.6
amazon-ratings,GAT-sep,BASE,1,2,512,3e-05,2787333,61.342,0.086,4451.2
amazon-ratings,GAT-sep,ENS_k4,4,2,512,3e-05,11149332,244.68,0.207,4580.0
amazon-ratings,GAT-sep,TABM_k2,2,2,512,3e-05,2790508,125.275,0.171,4535.7
amazon-ratings,GAT-sep,TABM_k4,4,2,512,3e-05,2794200,250.174,0.233,4535.7
amazon-ratings,GAT-sep,TABM_k8,8,2,512,3e-05,2801584,500.264,0.492,4535.8
amazon-ratings,GAT-sep,BASE,1,3,512,3e-05,4102149,90.619,0.147,6035.0
amazon-ratings,GAT-sep,ENS_k4,4,3,512,3e-05,16408596,361.794,0.273,6225.9
amazon-ratings,GAT-sep,TABM_k2,2,3,512,3e-05,4105324,184.056,0.406,6124.5
amazon-ratings,GAT-sep,TABM_k4,4,3,512,3e-05,4109016,367.506,0.383,6124.6
amazon-ratings,GAT-sep,TABM_k8,8,3,512,3e-05,4116400,734.341,0.571,6124.7
amazon-ratings,GAT-sep,BASE,1,4,512,3e-05,5416965,119.96,0.094,7618.1
amazon-ratings,GAT-sep,ENS_k4,4,4,512,3e-05,21667860,478.999,0.325,7868.7
amazon-ratings,GAT-sep,TABM_k2,2,4,512,3e-05,5420140,242.483,0.201,7712.6
amazon-ratings,GAT-sep,TABM_k4,4,4,512,3e-05,5423832,484.441,0.364,7712.7
amazon-ratings,GAT-sep,TABM_k8,8,4,512,3e-05,5431216,968.377,0.63,7712.8
amazon-ratings,GAT-sep,BASE,1,5,512,3e-05,6731781,149.257,0.142,9202.0
amazon-ratings,GAT-sep,ENS_k4,4,5,512,3e-05,26927124,596.067,0.363,9519.5
