dataset,model,variant,k,num_layers,hidden_dim,lr,num_params,mean_step_ms,std_step_ms,peak_mem_mb
minesweeper,SAGE,TABM_k2,2,3,512,3e-05,3948050,49.886,0.29,704.0
minesweeper,SAGE,TABM_k4,4,3,512,3e-05,3951140,100.547,0.558,704.0
minesweeper,SAGE,TABM_k8,8,3,512,3e-05,3957320,197.895,1.284,704.1
minesweeper,SAGE,BASE,1,4,512,3e-05,5258753,32.477,0.16,804.6
minesweeper,SAGE,ENS_k4,4,4,512,3e-05,21035012,128.156,0.276,1052.7
minesweeper,SAGE,TABM_k2,2,4,512,3e-05,5261330,65.109,0.204,872.3
minesweeper,SAGE,TABM_k4,4,4,512,3e-05,5264420,130.373,0.921,872.4
minesweeper,SAGE,TABM_k8,8,4,512,3e-05,5270600,258.947,0.438,872.4
minesweeper,SAGE,BASE,1,5,512,3e-05,6572033,40.276,0.171,965.9
minesweeper,SAGE,ENS_k4,4,5,512,3e-05,26288132,159.74,0.512,1273.8
minesweeper,SAGE,TABM_k2,2,5,512,3e-05,6574610,81.199,0.32,1037.6
minesweeper,SAGE,TABM_k4,4,5,512,3e-05,6577700,161.157,0.557,1037.7
minesweeper,SAGE,TABM_k8,8,5,512,3e-05,6583880,322.078,1.641,1037.7
minesweeper,GAT,BASE,1,1,512,3e-05,795649,8.55,0.161,843.8
minesweeper,GAT,ENS_k4,4,1,512,3e-05,3182596,33.522,0.243,880.2
minesweeper,GAT,TABM_k2,2,1,512,3e-05,798226,18.483,0.285,865.2
minesweeper,GAT,TABM_k4,4,1,512,3e-05,801316,35.155,0.445,865.2
minesweeper,GAT,TABM_k8,8,1,512,3e-05,807496,70.775,1.419,865.3
minesweeper,GAT,BASE,1,2,512,3e-05,1585665,15.654,0.105,1165.9
minesweeper,GAT,ENS_k4,4,2,512,3e-05,6342660,62.01,0.255,1238.5
minesweeper,GAT,TABM_k2,2,2,512,3e-05,1588242,31.948,0.137,1190.2
minesweeper,GAT,TABM_k4,4,2,512,3e-05,1591332,64.22,0.881,1190.3
minesweeper,GAT,TABM_k8,8,2,512,3e-05,1597512,128.834,1.858,1190.4
minesweeper,GAT,BASE,1,3,512,3e-05,2375681,22.761,0.101,1488.0
minesweeper,GAT,ENS_k4,4,3,512,3e-05,9502724,90.347,0.214,1596.8
minesweeper,GAT,TABM_k2,2,3,512,3e-05,2378258,46.227,0.238,1515.4
minesweeper,GAT,TABM_k4,4,3,512,3e-05,2381348,93.001,0.8,1515.4
minesweeper,GAT,TABM_k8,8,3,512,3e-05,2387528,185.339,1.741,1515.5
minesweeper,GAT,BASE,1,4,512,3e-05,3165697,29.932,0.111,1809.6
minesweeper,GAT,ENS_k4,4,4,512,3e-05,12662788,118.983,0.364,1954.5
minesweeper,GAT,TABM_k2,2,4,512,3e-05,3168274,60.486,0.196,1840.0
minesweeper,GAT,TABM_k4,4,4,512,3e-05,3171364,120.649,0.271,1840.0
minesweeper,GAT,TABM_k8,8,4,512,3e-05,3177544,241.986,1.702,1840.1
minesweeper,GAT,BASE,1,5,512,3e-05,3955713,37.116,0.128,2131.7
minesweeper,GAT,ENS_k4,4,5,512,3e-05,15822852,147.548,0.197,2312.8
minesweeper,GAT,TABM_k2,2,5,512,3e-05,3958290,74.85,0.228,2165.1
minesweeper,GAT,TABM_k4,4,5,512,3e-05,3961380,150.079,0.956,2165.2
minesweeper,GAT,TABM_k8,8,5,512,3e-05,3967560,298.815,1.746,2165.3
minesweeper,GAT-sep,BASE,1,1,512,3e-05,1320449,14.673,0.151,1216.6
minesweeper,GAT-sep,ENS_k4,4,1,512,3e-05,5281796,58.13,0.217,1278.2
minesweeper,GAT-sep,TABM_k2,2,1,512,3e-05,1323026,29.909,0.218,1238.9
minesweeper,GAT-sep,TABM_k4,4,1,512,3e-05,1326116,59.754,0.719,1238.9
minesweeper,GAT-sep,TABM_k8,8,1,512,3e-05,1332296,121.27,1.377,1239.0
