seed,tied_test_accuracy,untied_test_accuracy,tied_minus_untied,tied_selected_epoch,untied_selected_epoch
0,0.6941752433776855,0.7063761353492737,-0.012200891971588135,296,299
1,0.6879205107688904,0.7049564719200134,-0.017035961151123047,300,293
2,0.6887023448944092,0.7063144445419312,-0.017612099647521973,300,299
